代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10672312.8900000006
真實報酬,672312.8900000006
趨勢值,1.1464984608

選擇檔數,5
找到最佳解世代,2221
找到最佳解實驗,1
Stock#,CAT,CSCO,HD,INTC,XOM,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,16909,61919,13264,56996,26119,
剩餘資金,3.4800000000,16.3000000002,54.0800000000,10.3599999998,68.1700000002,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2000338.1799999999,1957895.0800000003,2028517.6000000001,1996010.2800000000,2015932.5900000003,9998693.7300000004,
FS(3),1978018.3000000000,1973374.8300000003,2076665.9200000002,2038187.3199999998,2057722.9900000002,10123969.3600000013,
FS(4),1991376.4099999999,1966563.7400000005,2094837.6000000001,2025648.1999999997,2064252.7400000002,10142678.6900000013,
FS(5),1992221.8599999999,1949226.4200000004,2117784.3199999998,2005699.5999999996,2058767.7500000000,10123699.9500000011,
FS(6),2009976.3100000001,1993188.9100000001,2100673.7600000002,2038757.2800000000,2069998.9200000002,10212595.1799999997,
FS(7),2044977.9399999999,2006811.0900000001,2121100.3199999998,2056996.0000000000,2076528.6700000002,10306414.0199999996,
FS(8),2022827.1499999999,1992569.7200000002,2122559.3600000003,2070675.0399999998,2083580.8000000000,10292212.0700000003,
FS(9),2037199.8000000000,1993188.9100000001,2114070.3999999999,2079224.4399999997,2091938.8800000004,10315622.4300000016,
FS(10),2052248.8100000001,2008668.6600000001,2101071.6800000002,2108862.3599999999,2091416.5000000000,10362268.0099999998,
FS(11),2093844.9500000000,2013622.1800000004,2093245.9200000002,2108862.3599999999,2091938.8800000004,10401514.2900000010,
FS(12),2109232.1399999997,2011764.6100000003,2091256.3200000001,2121971.4399999995,2095334.3500000001,10429558.8600000013,
FS(13),2111092.1299999999,2018575.7000000004,2104785.6000000001,2112852.0800000001,2103953.6200000001,10451259.1300000008,
FS(14),2110077.5900000003,2024767.6000000006,2111550.2400000002,2120261.5600000001,2086715.0800000001,10453372.0700000003,
FS(15),2103990.3500000001,2066253.3300000001,2121896.1600000001,2119121.6399999997,2087498.6500000001,10498760.1300000008,
FS(16),2102130.3599999999,2087924.9800000002,2136884.4800000000,2117981.7199999997,2115184.7900000005,10560106.3300000001,
FS(17),2105343.0700000003,2090401.7400000002,2139006.7199999997,2135650.4800000000,2112834.0800000005,10583236.0899999999,
FS(18),2105512.1599999997,2073064.4200000002,2134496.9600000000,2139640.1999999997,2126938.3400000008,10579652.0800000001,
FS(19),2117517.5500000003,2065014.9500000004,2153597.1200000001,2156169.0399999996,2146788.7800000003,10639087.4400000013,
FS(20),2108724.8699999996,2082352.2700000005,2169513.9199999999,2170418.0399999996,2141303.7900000005,10672312.8900000006,
