代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10413297.8900000006
真實報酬,413297.8900000006
趨勢值,1.1715646061

選擇檔數,7
找到最佳解世代,2510
找到最佳解實驗,1
Stock#,AXP,BA,CVX,HD,KO,UTX,V,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,14598,5264,11953,7918,31076,11892,12901,
剩餘資金,10.7200000000,26.6800000000,67.9699999999,5.4400000001,7.2800000000,103.9599999999,43.2699999999,
FS(1),1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,10000000.0000000000,
FS(2),1439227.5400000000,1463260.7600000000,1444468.4900000000,1464043.6400000001,1436650.7600000000,1427619.6400000001,1385997.7000000002,10061271.5300000012,
FS(3),1440979.2999999998,1450469.2400000000,1439089.6399999999,1447811.7400000002,1437583.0400000000,1430592.6400000001,1400833.8500000001,10047362.4500000011,
FS(4),1433680.2999999998,1464839.9599999997,1429766.3000000000,1431579.8400000003,1443487.4800000002,1441414.3600000001,1415799.0100000000,10060570.2500000000,
FS(5),1439081.5600000001,1484316.7600000000,1430005.3599999999,1441081.4400000002,1422666.5600000001,1455684.7600000000,1437214.6700000002,10110054.1100000013,
FS(6),1438643.6199999999,1505004.2799999998,1433471.7300000000,1452245.8200000001,1408060.8400000001,1460560.4800000000,1452695.8699999999,10150685.6400000006,
FS(7),1445212.7200000000,1490580.9200000002,1439448.2300000000,1443060.9400000002,1408682.3599999999,1466387.5599999998,1449728.6400000001,10143104.3699999992,
FS(8),1450613.9800000000,1526270.8399999999,1430603.0100000000,1439497.8400000003,1407439.3200000001,1468528.1200000001,1463790.7300000000,10186746.8399999999,
FS(9),1427403.1599999999,1536272.4399999997,1433591.2600000000,1449236.9800000002,1426395.6799999999,1478279.5599999998,1461855.5800000001,10213037.6600000020,
FS(10),1418206.4200000002,1547011.0000000000,1428810.0600000001,1442110.7800000000,1430435.5600000001,1471857.8800000001,1456824.1899999999,10195258.8900000006,
FS(11),1438205.6799999999,1547326.8399999999,1431200.6599999999,1445673.8800000004,1435407.7200000000,1500517.6000000001,1468435.0899999999,10266770.4700000007,
FS(12),1455139.3600000001,1558907.6399999999,1430842.0700000001,1462697.5800000001,1427327.9600000000,1506939.2799999998,1464951.8200000001,10306808.7100000009,
FS(13),1447402.4200000002,1564750.6799999999,1432515.4900000000,1472595.0800000001,1433543.1600000001,1507771.7200000000,1446761.4099999999,10305342.9600000009,
FS(14),1438059.7000000000,1568172.2799999998,1445066.1399999999,1483126.0200000003,1431989.3599999999,1510387.9600000000,1446503.3900000001,10323307.8499999996,
FS(15),1437913.7200000000,1553064.5999999999,1492041.4299999999,1489222.8800000004,1417072.8800000001,1514074.4800000000,1450244.6799999999,10353637.6699999999,
FS(16),1441417.2400000000,1553433.0800000001,1493953.9099999999,1489618.7800000000,1416762.1200000001,1513123.1200000001,1453856.9600000000,10362168.2099999990,
FS(17),1438935.5799999998,1554801.7200000000,1505906.9099999999,1507275.9200000004,1423598.8400000001,1512052.8400000001,1457727.2600000000,10400302.0700000022,
FS(18),1447110.4600000000,1556170.3599999999,1500767.1199999999,1505929.8600000001,1427327.9600000000,1517285.3199999998,1471015.2900000000,10425609.3699999992,
FS(19),1455431.3200000001,1560013.0800000001,1501125.7100000000,1502683.4800000002,1420802.0000000000,1523707.0000000000,1475272.6199999999,10439038.2100000009,
FS(20),1449738.1000000001,1552432.9200000002,1496464.0400000000,1500703.9800000002,1425774.1600000001,1517166.3999999999,1471015.2900000000,10413297.8900000006,
