代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10463975.5000000000
真實報酬,463975.5000000000
趨勢值,0.3237253219

選擇檔數,3
找到最佳解世代,2104
找到最佳解實驗,1
Stock#,DIS,VZ,WMT,
分配資金,3333333,3333333,3333333,
張數,33548,69720,40165,
剩餘資金,3.7200000000,19.7999999998,39.6500000002,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3362855.2400000002,3334030.1999999997,3430933.9500000007,10127820.3900000006,
FS(3),3352790.8400000003,3344488.1999999997,3398801.9500000007,10096081.9900000002,
FS(4),3418880.3999999999,3375164.9999999995,3396392.0500000003,10190438.4499999993,
FS(5),3437667.2800000003,3416996.9999999995,3412056.4000000004,10266721.6799999997,
FS(6),3488324.7600000002,3428849.3999999999,3388359.0500000003,10305534.2099999990,
FS(7),3500737.5200000000,3437215.7999999998,3385949.1500000004,10323903.4699999988,
FS(8),3500066.5600000001,3403053.0000000000,3377916.1500000004,10281036.7099999990,
FS(9),3566491.6000000001,3304747.7999999998,3377514.5000000005,10248754.9000000004,
FS(10),3648348.7200000002,3334030.1999999997,3365465.0000000005,10347844.9199999999,
FS(11),3651703.5200000000,3350763.0000000000,3361850.1500000004,10364317.6699999999,
FS(12),3591652.6000000001,3308931.0000000000,3333734.6500000004,10234319.2500000000,
FS(13),3559446.5200000000,3381439.7999999998,3358235.3000000003,10299122.6199999992,
FS(14),3594671.9200000004,3352854.6000000001,3358235.3000000003,10305762.8200000003,
FS(15),3552401.4400000004,3390503.3999999999,3382334.3000000003,10325240.1400000006,
FS(16),3567498.0400000005,3469286.9999999995,3406834.9500000002,10443620.9900000002,
FS(17),3504092.3200000003,3458131.7999999998,3473107.2000000002,10435332.3200000003,
FS(18),3497718.2000000002,3437215.7999999998,3453426.3500000006,10388361.3499999996,
FS(19),3487653.7999999998,3437913.0000000000,3489976.5000000005,10415544.2999999989,
FS(20),3514827.6800000002,3545979.0000000000,3448606.5500000003,10509414.2300000004,
FS(21),3516169.6000000001,3507633.0000000000,3440171.9000000004,10463975.5000000000,
