代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10443938.1199999992
真實報酬,443938.1199999992
趨勢值,1.1892411336

選擇檔數,4
找到最佳解世代,4152
找到最佳解實驗,1
Stock#,DIS,UTX,VZ,XOM,
分配資金,2500000,2500000,2500000,2500000,
張數,22552,18953,47001,31137,
剩餘資金,110.8000000001,99.2999999999,16.8100000001,10.2699999998,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,9999999.9999999981,
FS(2),2477899.0400000005,2516678.6399999997,2529610.6299999999,2533316.5899999999,10057504.9000000004,
FS(3),2486694.3200000003,2530703.8599999999,2551701.1000000001,2505293.2900000000,10074392.5700000003,
FS(4),2502706.2400000002,2502084.8299999996,2538070.8100000001,2547950.9800000000,10090812.8599999994,
FS(5),2496166.1600000006,2533167.7500000000,2543710.9300000002,2544214.5400000000,10117259.3800000008,
FS(6),2471810.0000000000,2532409.6299999999,2571911.5299999998,2580022.0899999999,10156153.2500000000,
FS(7),2468652.7200000002,2537716.4699999997,2583661.7799999998,2588429.0800000001,10178460.0499999989,
FS(8),2495940.6400000001,2568609.8599999999,2582251.7500000000,2563208.1099999999,10210010.3599999994,
FS(9),2464142.3200000003,2611822.7000000002,2563921.3599999999,2581890.3100000001,10221776.6899999995,
FS(10),2466397.5200000005,2611064.5799999996,2570971.5100000002,2597147.4399999999,10245581.0499999989,
FS(11),2470231.3600000003,2645559.0400000000,2556401.2000000002,2603997.5800000001,10276189.1799999997,
FS(12),2476094.8800000004,2662995.7999999998,2514570.3100000001,2635134.5800000001,10288795.5700000003,
FS(13),2517365.0400000005,2688582.3499999996,2535720.7600000002,2641050.6099999999,10382718.7599999998,
FS(14),2489851.6000000006,2692941.5400000000,2557811.2300000000,2651948.5600000001,10392552.9300000016,
FS(15),2543299.8400000003,2659963.3199999998,2516450.3500000001,2696474.4699999997,10416187.9800000004,
FS(16),2562694.5600000001,2648022.9300000002,2493419.8599999999,2693360.7700000000,10397498.1199999992,
FS(17),2598326.7200000002,2645179.9800000000,2497649.9500000002,2670942.1299999999,10412098.7799999993,
FS(18),2617044.8800000004,2647454.3399999999,2518800.4000000004,2670630.7599999998,10453930.3799999990,
FS(19),2637341.6800000002,2649918.2300000000,2509400.2000000002,2647278.0099999998,10443938.1199999992,
