代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10745108.1699999999
真實報酬,745108.1699999999
趨勢值,0.1970892339

選擇檔數,3
找到最佳解世代,2412
找到最佳解實驗,1
Stock#,VZ,WBA,WMT,
分配資金,3333333,3333333,3333333,
張數,61911,46002,35310,
剩餘資金,44.7599999998,28.0800000003,68.9999999998,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3369241.3799999999,3380715.0600000001,3359815.5000000000,10109772.9399999995,
FS(3),3361192.9499999997,3394975.6800000002,3321680.6999999997,10077850.3300000001,
FS(4),3406387.9800000000,3373814.7600000002,3326624.0999999996,10106827.8399999999,
FS(5),3401435.0999999996,3335633.1000000001,3294845.1000000001,10031914.3000000007,
FS(6),3406387.9800000000,3411076.3800000004,3343572.8999999999,10161038.2599999998,
FS(7),3404530.6499999999,3383935.2000000002,3427963.7999999998,10216430.6500000004,
FS(8),3363669.3899999997,3326432.7000000002,3381354.6000000001,10071457.6899999995,
FS(9),3301758.3899999997,3261569.8800000004,3316384.2000000002,9879713.4699999988,
FS(10),3326522.7899999996,3381175.0800000001,3347810.1000000001,10055508.9699999988,
FS(11),3318474.3599999999,3437297.5200000000,3312853.1999999997,10068626.0800000001,
FS(12),3324665.4600000000,3509060.6400000001,3383120.1000000001,10216847.1999999993,
FS(13),3340762.3199999998,3541262.0400000000,3409602.6000000001,10291627.9600000009,
FS(14),3383480.9099999997,3522861.2400000002,3395831.7000000002,10302174.8499999996,
FS(15),3398958.6599999997,3558282.7799999998,3430435.5000000000,10387677.9399999995,
FS(16),3403911.5399999996,3572083.3800000004,3430082.3999999999,10406078.3200000003,
FS(17),3541973.0699999998,3554142.6000000001,3453387.0000000000,10549503.6699999999,
FS(18),3554974.3799999999,3413376.4800000000,3444912.6000000001,10413264.4600000009,
FS(19),3493682.4899999998,3484219.5600000001,3502114.8000000003,10480017.8499999996,
FS(20),3436724.3699999996,3506760.5400000000,3493640.3999999999,10437126.3100000005,
FS(21),3496778.0399999996,3533901.7199999997,3524007.0000000000,10554687.7599999998,
FS(22),3602026.7399999998,3624985.6800000002,3616519.2000000002,10843532.6199999992,
FS(23),3534543.7500000000,3669607.6200000001,3540955.7999999998,10745108.1699999999,
