代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10804449.0999999996
真實報酬,804449.0999999996
趨勢值,0.3386765302

選擇檔數,2
找到最佳解世代,2203
找到最佳解實驗,1
Stock#,MRK,VZ,
分配資金,5000000,5000000,
張數,68380,89206,
剩餘資金,54.3999999997,3.7000000003,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),4941876.9999999991,5051739.4800000004,9993616.4799999986,
FS(3),5000000.0000000000,5103478.9600000000,10103478.9600000009,
FS(4),5012992.1999999993,5103478.9600000000,10116471.1600000001,
FS(5),5134024.7999999989,5142729.5999999996,10276754.3999999985,
FS(6),5161376.7999999998,5198037.3200000003,10359414.1200000010,
FS(7),5118981.1999999993,5214986.4600000000,10333967.6600000001,
FS(8),5107356.5999999996,5238180.0200000005,10345536.6199999992,
FS(9),5101886.1999999993,5232827.6600000001,10334713.8599999994,
FS(10),5066328.5999999996,5257805.3399999999,10324133.9399999995,
FS(11),5117613.5999999996,5270294.1799999997,10387907.7799999993,
FS(12),5201037.1999999993,5371096.9600000000,10572134.1600000001,
FS(13),5220867.3999999994,5407671.4199999999,10628538.8200000003,
FS(14),5113510.7999999998,5304192.4600000000,10417703.2599999998,
FS(15),5114194.5999999996,5277430.6600000001,10391625.2599999998,
FS(16),5105989.0000000000,5231043.5400000000,10337032.5400000010,
FS(17),5158641.5999999996,5278322.7200000007,10436964.3200000003,
FS(18),5220183.5999999996,5410347.5999999996,10630531.1999999993,
FS(19),5281041.7999999998,5357716.0600000005,10638757.8599999994,
FS(20),5327540.1999999993,5303300.4000000004,10630840.5999999996,
FS(21),5425323.5999999996,5379125.5000000000,10804449.0999999996,
