代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10359794.1699999999
真實報酬,359794.1699999999
趨勢值,0.4558665227

選擇檔數,5
找到最佳解世代,1920
找到最佳解實驗,1
Stock#,DIS,INTC,JNJ,V,VZ,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,65082,101729,31491,96432,66137,
剩餘資金,30.1400000000,7.8600000000,6.5900000001,0.3200000002,17.1200000001,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000019,
FS(2),2003904.9199999999,2006103.7399999998,2011651.6700000002,1982642.2400000000,2019179.7300000002,10023482.3000000007,
FS(3),1973967.1999999997,2021363.0900000001,2020469.1499999999,1929604.6400000001,2021163.8400000001,9966567.9200000018,
FS(4),2007159.0199999998,2081383.2000000000,2026767.3500000001,1935390.5600000001,2021825.2100000002,10072525.3400000017,
FS(5),2017572.1399999999,2072227.5900000001,2027082.2600000002,1926711.6800000002,2056216.4500000002,10099810.1200000010,
FS(6),1996745.8999999999,2033570.5699999996,2023303.3400000001,1928640.3200000001,2064814.2600000000,10047074.3900000006,
FS(7),1998047.5399999998,2035605.1500000001,2027397.1699999999,1971070.4000000001,2058861.9299999999,10090982.1900000013,
FS(8),2037096.7400000000,2049847.2099999997,2039678.6599999999,1984570.8799999999,2081348.5100000000,10192542.0000000000,
FS(9),2063129.5399999998,2024414.9599999997,2042197.9399999999,1961427.2000000000,2085978.1000000001,10177147.7400000002,
FS(10),2071590.1999999997,2032553.2800000000,2045661.9500000000,2043394.4000000001,2074734.8100000003,10267934.6400000006,
FS(11),2094368.8999999999,2014242.0600000001,2038733.9299999999,2077145.6000000001,2041004.9400000002,10265495.4300000016,
FS(12),2110639.3999999999,1971515.8799999997,2040623.3899999999,2098360.6400000006,2022486.5800000001,10243625.8900000006,
FS(13),2078098.3999999999,1939979.8899999999,2030231.3600000001,2098360.6400000006,2029100.2800000000,10175770.5700000003,
FS(14),2079400.0399999998,1996948.1299999997,2027082.2600000002,2144648.0000000000,2028438.9100000001,10276517.3400000017,
FS(15),2108686.9399999999,2043743.4699999997,2025822.6200000001,2109932.4800000000,2041666.3100000003,10329851.8200000003,
FS(16),2102829.5600000001,2038657.0199999998,2032120.8200000001,2081002.8799999999,2052909.6000000001,10307519.8800000008,
FS(17),2110639.3999999999,2044760.7600000000,2033380.4600000000,2077145.6000000001,2054893.7100000002,10320819.9300000016,
FS(18),2101527.9199999999,2068158.4299999997,2037474.2900000003,2080038.5600000001,2062830.1500000001,10350029.3500000015,
FS(19),2076796.7600000000,2065106.5600000001,2045032.1300000001,2091610.4000000001,2070766.5900000001,10349312.4400000013,
FS(20),2107385.3000000003,2075279.4599999997,2045032.1300000001,2122468.6400000006,2066798.3700000001,10416963.9000000022,
FS(21),2100877.1000000001,2094607.9699999997,2044087.3999999999,2125361.6000000001,2066798.3700000001,10431732.4400000013,
FS(22),2098924.6400000001,2075279.4599999997,2028341.8999999999,2108968.1600000006,2048280.0100000000,10359794.1699999999,
