代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10669303.0199999996
真實報酬,669303.0199999996
趨勢值,0.9304069784

選擇檔數,7
找到最佳解世代,1962
找到最佳解實驗,26
Stock#,CAT,CVX,DIS,HD,NKE,UTX,VZ,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,24694,19620,45293,45452,83738,20513,52714,
剩餘資金,23.1000000000,38.8000000000,29.7800000000,14.6400000000,0.7200000001,45.6800000000,21.5999999999,
FS(1),1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,10000000.0000000019,
FS(2),1435979.1999999997,1438577.2000000000,1443970.6199999999,1425389.3599999999,1424384.1000000003,1430827.4299999999,1442276.6399999999,10041407.5499999989,
FS(3),1446350.6799999999,1434849.3999999999,1433100.3000000000,1430389.0799999998,1416010.3000000003,1427750.4799999997,1435423.8199999998,10023877.0600000024,
FS(4),1443387.3999999999,1433868.3999999999,1475222.7900000000,1429025.5200000000,1416010.3000000003,1443545.4900000000,1442803.7800000000,10083866.6799999997,
FS(5),1462648.7199999997,1457804.8000000000,1504663.2400000000,1445388.2400000000,1430245.7600000000,1461596.9299999999,1440695.2199999997,10203045.9099999983,
FS(6),1454746.6399999997,1464475.6000000001,1503304.4500000000,1452660.5599999998,1440294.3200000001,1451545.5600000001,1460199.3999999999,10227229.5300000012,
FS(7),1461414.0199999998,1457804.8000000000,1508739.6100000001,1439934.0000000000,1442806.4600000002,1472468.8200000001,1473905.0399999998,10257075.7500000000,
FS(8),1451536.4199999999,1451134.0000000000,1509645.4700000000,1441297.5599999998,1446993.3600000003,1472673.9500000000,1465997.9399999997,10239281.6999999993,
FS(9),1454499.6999999997,1451722.5999999999,1531386.1100000001,1460387.3999999999,1460391.4400000004,1477802.2000000000,1470742.1999999997,10306934.6500000004,
FS(10),1490552.9399999999,1446425.2000000000,1525950.9500000000,1474932.0400000000,1463740.9600000002,1467340.5700000001,1465470.7999999998,10334416.4600000009,
FS(11),1468575.2799999998,1443482.2000000000,1527309.7400000000,1485840.5199999998,1473789.5200000003,1473699.6000000001,1471796.4800000000,10344496.3399999999,
FS(12),1468081.3999999999,1451526.4000000001,1528668.5300000000,1479477.2399999998,1473789.5200000003,1485186.8800000001,1474959.3199999998,10361692.2900000010,
FS(13),1487095.7799999998,1465064.2000000002,1528668.5300000000,1478113.6799999999,1483838.0800000001,1480879.1499999999,1486029.2600000000,10409691.6800000016,
FS(14),1475983.4800000000,1466830.0000000002,1530027.3200000001,1472659.4399999999,1563389.1800000004,1487238.1799999999,1493409.2199999997,10489539.8199999984,
FS(15),1466105.8799999999,1471146.4000000001,1523686.3000000000,1470841.3599999999,1539105.1600000001,1502417.7999999998,1498680.6199999999,10471986.5199999996,
FS(16),1480428.3999999999,1460944.0000000000,1537727.1300000001,1484931.4800000000,1546641.5800000001,1489494.6099999999,1510804.8399999999,10510975.0400000010,
FS(17),1541175.6399999997,1467026.2000000000,1540444.7100000000,1481295.3200000001,1559202.2800000003,1499340.8500000001,1526619.0399999998,10615107.0400000010,
FS(18),1532532.7400000000,1450545.4000000001,1557656.0500000000,1469023.2799999998,1536593.0200000003,1498315.2000000000,1501316.3199999998,10545985.0100000016,
FS(19),1534508.2599999998,1447994.8000000000,1589361.1500000001,1482658.8799999999,1539942.5400000003,1503033.1899999999,1493936.3599999999,10591438.1800000016,
FS(20),1541916.4599999997,1460355.4000000001,1599325.6100000001,1488567.6399999999,1546641.5800000001,1510212.7400000000,1496572.0599999998,10643594.4900000021,
FS(21),1567598.2199999997,1476051.4000000001,1592531.6599999999,1481749.8399999999,1548316.3400000001,1518007.6799999999,1500789.1799999997,10685047.3200000003,
FS(22),1559696.1399999997,1477424.8000000000,1589814.0800000001,1485840.5199999998,1544966.8200000001,1520674.3699999999,1539270.3999999999,10717690.1300000008,
FS(23),1552041.0000000000,1487823.3999999999,1581208.4099999999,1470386.8399999999,1539105.1600000001,1510007.6099999999,1528727.5999999999,10669303.0199999996,
