代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11188428.1999999993
真實報酬,1188428.1999999993
趨勢值,1.0323262366

選擇檔數,3
找到最佳解世代,1775
找到最佳解實驗,1
Stock#,GS,KO,VZ,
分配資金,3333333,3333333,3333333,
張數,25418,133226,126742,
剩餘資金,16.4800000003,18.4800000001,18.3999999999,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,9999999.9999999981,
FS(2),3331807.9200000009,3334665.2600000002,3397971.4199999999,10064445.5999999996,
FS(3),3361801.1600000001,3359978.1999999997,3372623.0200000000,10094403.3799999990,
FS(4),3452543.4200000009,3429255.7199999997,3361216.2399999998,10243016.3800000008,
FS(5),3443138.7600000007,3491871.9399999999,3394169.1600000001,10329180.8599999994,
FS(6),3509225.5600000005,3490539.6799999997,3377692.6999999997,10377458.9399999995,
FS(7),3488636.9800000004,3494536.4600000000,3357413.9799999995,10340588.4199999999,
FS(8),3564890.9800000004,3511855.8399999999,3408110.7799999998,10484858.5999999996,
FS(9),3534643.5600000005,3518517.1400000001,3401773.6799999997,10454935.3799999990,
FS(10),3691218.4400000004,3521181.6600000001,3396704.0000000000,10609105.0999999996,
FS(11),3715365.5400000000,3489207.4199999999,3382762.3799999999,10587336.3399999999,
FS(12),3702910.7200000007,3482546.1200000001,3386564.6399999997,10572022.4799999986,
FS(13),3785010.8600000003,3546494.6000000001,3380227.5400000000,10711734.0000000000,
FS(14),3736208.3000000007,3602449.5200000000,3361216.2399999998,10699875.0600000005,
FS(15),3725024.3800000008,3614439.8599999999,3422052.3999999999,10761517.6400000006,
FS(16),3746121.3200000003,3647746.3599999999,3551329.2399999998,10945197.9199999999,
FS(17),3766964.0800000001,3659736.6999999997,3584282.1600000001,11010983.9399999995,
FS(18),3742308.6200000001,3667730.2600000002,3623572.1799999997,11033612.0599999987,
FS(19),3741546.0800000001,3655739.9199999999,3664129.6200000001,11061416.6199999992,
FS(20),3878294.9200000009,3663733.4800000000,3660327.3599999999,11202356.7599999998,
FS(21),3833559.2400000002,3671727.0400000000,3683140.9199999999,11188428.1999999993,
