代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11069529.0800000001
真實報酬,1069529.0800000001
趨勢值,1.2959486834

選擇檔數,6
找到最佳解世代,2550
找到最佳解實驗,1
Stock#,AAPL,CSCO,JNJ,UNH,VZ,WBA,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,46606,82263,28592,51140,55078,60190,
剩餘資金,35.4400000001,17.6199999999,38.3200000000,13.3999999998,5.7199999999,4.8999999999,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000019,
FS(2),1678783.5600000003,1688054.3799999999,1675815.4399999999,1680473.7999999998,1658404.3000000000,1703381.8999999999,10084917.3800000008,
FS(3),1723059.2600000000,1730831.1399999999,1684964.8800000001,1734170.7999999998,1663361.3199999998,1703381.8999999999,10239773.2999999989,
FS(4),1716534.4200000002,1692990.1599999997,1678388.7200000002,1727522.5999999999,1664462.8799999999,1714817.9999999998,10194720.7799999993,
FS(5),1750556.8000000003,1697925.9399999999,1682677.5200000000,1731102.3999999999,1677681.6000000001,1725652.2000000000,10265600.4600000009,
FS(6),1751488.9200000002,1695458.0499999998,1710411.7600000000,1739796.2000000000,1698611.2400000000,1728661.7000000000,10324431.8700000010,
FS(7),1753819.2200000002,1696280.6799999999,1714986.4800000000,1763832.0000000000,1697509.6799999999,1743107.3000000000,10369539.3600000013,
FS(8),1778054.3400000001,1748929.0000000000,1724707.7600000000,1775594.2000000000,1701915.9199999999,1749126.2999999998,10478331.5200000014,
FS(9),1784579.1800000002,1764558.9699999997,1732141.6799999999,1769968.7999999998,1702466.7000000000,1758756.7000000000,10512476.0300000012,
FS(10),1799027.0400000003,1776075.7899999998,1745579.9199999999,1752581.2000000000,1717888.5400000000,1758154.8000000000,10549311.2900000010,
FS(11),1841438.5000000000,1804045.2100000000,1752442.0000000000,1751047.0000000000,1730556.4800000000,1752737.7000000000,10632270.8900000025,
FS(12),1833515.4800000004,1798286.7999999998,1760447.7600000000,1745421.6000000001,1744876.7600000000,1758154.8000000000,10640707.2000000011,
FS(13),1885714.2000000002,1789237.8699999999,1775315.6000000001,1786333.5999999999,1767458.7400000002,1759960.4999999998,10764024.5099999998,
FS(14),1889442.6800000002,1780188.9399999999,1771026.8000000000,1803209.7999999998,1780126.6799999999,1788851.7000000000,10812850.6000000015,
FS(15),1916008.1000000001,1782656.8300000001,1771884.5600000001,1824688.5999999999,1783982.1399999999,1793064.9999999998,10872289.2300000004,
FS(16),1923465.0600000003,1771140.0100000000,1767309.8400000001,1812414.9999999998,1771864.9800000000,1776211.8000000000,10822410.6900000013,
FS(17),1946302.0000000000,1817207.2899999998,1776745.2000000002,1827245.5999999999,1797751.6399999999,1827373.2999999998,10992629.0300000012,
FS(18),1938378.9800000004,1818852.5499999998,1773600.0800000001,1807812.3999999999,1809868.8000000000,1826771.3999999999,10975288.2100000009,
FS(19),1909949.3200000001,1798286.7999999998,1785036.8800000001,1791958.9999999998,1802157.8799999999,2035028.8000000000,11122422.6799999997,
FS(20),1913211.7400000000,1799109.4299999999,1781605.8400000001,1800141.4000000001,1798853.1999999997,2024194.6000000001,11117120.2099999990,
FS(21),1889442.6800000002,1801577.3199999998,1771598.6400000001,1795538.7999999998,1794997.7400000002,2016369.8999999999,11069529.0800000001,
