代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10612725.5600000024
真實報酬,612725.5600000024
趨勢值,0.8943397364

選擇檔數,6
找到最佳解世代,5089
找到最佳解實驗,1
Stock#,DIS,GS,IBM,KO,MCD,TRV,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,49989,11284,12287,56382,22245,31977,
剩餘資金,32.7399999998,19.2000000001,57.3200000002,14.0800000001,70.6000000000,24.7600000001,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000019,
FS(2),1656668.1999999997,1653915.0800000001,1661874.0700000001,1659900.1600000001,1667333.3499999999,1666666.0000000000,9966360.8600000013,
FS(3),1691160.6099999996,1687767.0800000001,1691485.7400000000,1681889.1399999999,1686686.4999999998,1690648.7500000000,10129641.8200000003,
FS(4),1677163.6899999997,1704467.4000000004,1689765.5600000003,1684708.2400000000,1677343.6000000001,1686171.9700000000,10119624.4600000009,
FS(5),1695159.7299999995,1705144.4400000004,1704509.9600000000,1675687.1200000001,1687576.2999999998,1682334.7300000000,10150416.2800000012,
FS(6),1725153.1299999997,1722634.6400000001,1706107.2700000000,1675123.3000000000,1692915.0999999996,1688730.1300000001,10210667.5700000003,
FS(7),1728152.4699999997,1717444.0000000000,1716059.7400000000,1679070.0400000000,1681570.1499999999,1693206.9100000001,10215507.3100000024,
FS(8),1723653.4599999995,1751408.8400000003,1718394.2700000000,1680197.6800000002,1681347.6999999997,1689049.8999999999,10244055.8500000015,
FS(9),1745148.7299999995,1745992.5200000000,1724783.5100000000,1689782.6200000001,1685129.3499999999,1707916.3299999998,10298757.0600000005,
FS(10),1742149.3899999999,1710560.7600000002,1738667.8200000001,1689218.8000000000,1713825.3999999999,1709515.1799999999,10303941.3500000015,
FS(11),1743649.0599999998,1700405.1600000001,1733261.5400000000,1689782.6200000001,1723613.2000000000,1714951.2700000000,10305666.8500000015,
FS(12),1737150.4899999998,1734370.0000000000,1755009.5300000003,1691474.0800000001,1720053.9999999998,1739573.5600000001,10377635.6600000020,
FS(13),1711656.0999999999,1768447.6800000002,1696031.9300000002,1701059.0200000003,1712713.1499999997,1719108.2800000000,10309020.1600000020,
FS(14),1730651.9199999997,1800945.6000000001,1708810.4099999999,1724175.6399999999,1722056.0499999998,1747248.0400000000,10433891.6600000001,
FS(15),1733651.2599999998,1797560.4000000004,1718148.5300000003,1733196.7600000000,1744968.3999999999,1758120.2200000000,10485649.5700000003,
FS(16),1748148.0699999996,1780183.0400000000,1716182.6099999999,1737143.5000000000,1747415.3499999999,1761957.4600000000,10491034.0299999993,
FS(17),1772642.6799999997,1776007.9600000000,1718271.4000000001,1720228.9000000001,1750752.0999999999,1777626.1900000002,10515533.2300000004,
FS(18),1797637.1799999997,1786163.5600000001,1728469.6099999999,1726430.9200000002,1752086.8000000000,1759719.0700000001,10550511.1400000006,
FS(19),1795637.6199999999,1807151.8000000003,1737807.7300000002,1725303.2800000003,1723613.2000000000,1750125.9700000000,10539643.5999999996,
FS(20),1825131.1299999997,1842019.3600000003,1731295.6200000001,1725867.1000000001,1723613.2000000000,1750445.7400000000,10598376.1500000004,
FS(21),1806135.3099999998,1818210.1200000001,1764470.5200000000,1728686.2000000002,1730064.2499999998,1765155.1600000001,10612725.5600000024,
