代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10623183.5199999996
真實報酬,623183.5199999996
趨勢值,0.8114327436

選擇檔數,4
找到最佳解世代,2324
找到最佳解實驗,1
Stock#,CVX,DIS,TRV,XOM,
分配資金,2500000,2500000,2500000,2500000,
張數,25982,62688,44006,29793,
剩餘資金,11.9600000000,2.5599999998,19.1399999999,69.3700000001,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2506755.3200000003,2538239.6800000002,2495599.4000000004,2485103.5000000000,10025697.9000000004,
FS(3),2528320.3799999999,2538866.5600000001,2519362.6400000001,2485997.2900000000,10072546.8699999992,
FS(4),2523123.9800000000,2552031.0400000000,2526403.6000000001,2481230.4100000001,10082789.0299999993,
FS(5),2537414.0800000001,2566449.2799999998,2516282.2200000002,2500595.8600000003,10120741.4399999995,
FS(6),2539492.6399999997,2581494.3999999999,2547086.4200000004,2472292.5100000002,10140365.9699999988,
FS(7),2500519.6399999997,2718154.2400000002,2588012.0000000000,2459481.5200000000,10266167.3999999985,
FS(8),2512471.3599999999,2715019.8400000003,2572609.9000000004,2478846.9700000002,10278948.0699999984,
FS(9),2505975.8599999999,2721288.6399999997,2595933.0800000001,2467525.6299999999,10290723.2099999990,
FS(10),2518966.8599999999,2710631.6800000002,2589332.1800000002,2529793.0000000000,10348723.7200000007,
FS(11),2503117.8399999999,2701228.4800000004,2611775.2400000002,2471994.5800000001,10288116.1399999987,
FS(12),2511432.0800000001,2739468.1600000001,2616615.9000000004,2493445.5400000000,10360961.6799999997,
FS(13),2524682.8999999999,2739468.1600000001,2630697.8200000003,2499106.2100000000,10393955.0899999999,
FS(14),2564955.0000000000,2730691.8400000003,2680864.6600000001,2517577.8700000001,10494089.3699999992,
FS(15),2606526.1999999997,2673645.7599999998,2663702.3200000003,2545583.2900000000,10489457.5699999984,
FS(16),2657191.0999999996,2641048.0000000000,2658861.6600000001,2594145.8799999999,10551246.6400000006,
FS(17),2650955.4199999999,2659227.5200000000,2610895.1200000001,2561373.5800000001,10482451.6399999987,
FS(18),2652774.1599999997,2692452.1600000001,2622776.7400000002,2542603.9900000002,10510607.0499999989,
FS(19),2695644.4600000000,2741975.6800000002,2637298.7200000002,2548264.6600000001,10623183.5199999996,
