代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10470551.9900000021
真實報酬,470551.9900000021
趨勢值,0.8631184964

選擇檔數,3
找到最佳解世代,2104
找到最佳解實驗,1
Stock#,PG,V,WBA,
分配資金,3333333,3333333,3333333,
張數,53694,179597,81419,
剩餘資金,9.4800000001,12.6800000002,39.1400000002,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3342997.9199999999,3378232.2500000000,3324376.9100000001,10045608.0800000001,
FS(3),3311318.4600000000,3396191.9500000002,3347174.2300000000,10054685.6400000006,
FS(4),3316150.9199999999,3412355.6800000002,3356130.3199999998,10084637.9199999999,
FS(5),3336017.7000000002,3430315.3800000004,3365086.4100000001,10131420.4900000021,
FS(6),3323668.0800000001,3444683.1400000001,3339032.3300000001,10107384.5500000007,
FS(7),3339239.3399999999,3489582.3900000001,3365900.6000000006,10194723.3300000001,
FS(8),3376825.1400000001,3459050.9000000004,3360201.2700000005,10196078.3100000024,
FS(9),3382194.5400000000,3480602.5400000000,3364272.2200000002,10227070.3000000007,
FS(10),3398839.6799999997,3426723.4399999999,3374856.6900000004,10200420.8100000005,
FS(11),3446090.4000000004,3433907.3200000003,3409052.6699999999,10289051.3900000006,
FS(12),3436425.4800000000,3397987.9200000004,3391140.4900000002,10225554.8900000006,
FS(13),3428908.3199999998,3408763.7400000002,3449762.1699999999,10287435.2300000004,
FS(14),3421391.1600000001,3473418.6600000001,3465231.7800000003,10360042.6000000015,
FS(15),3397228.8600000003,3491378.3600000003,3475816.2500000000,10364424.4700000007,
FS(16),3402598.2599999998,3491378.3600000003,3456275.6900000004,10350253.3100000005,
FS(17),3427297.5000000000,3536277.6100000003,3490471.6699999999,10454047.7800000012,
FS(18),3437499.3599999999,3541665.5200000000,3491285.8600000003,10470451.7400000002,
FS(19),3463272.4800000000,3487786.4200000004,3514897.3700000001,10465957.2700000014,
FS(20),3484750.0800000001,3507542.0900000003,3478258.8199999998,10470551.9900000021,
