代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11374387.1000000015
真實報酬,1374387.1000000015
趨勢值,0.4308684462

選擇檔數,1
找到最佳解世代,2147
找到最佳解實驗,1
Stock#,AAPL,
分配資金,10000000,
張數,203915,
剩餘資金,8.4000000002,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),10179445.2000000011,10179445.2000000011,
FS(3),10246737.1500000004,10246737.1500000004,
FS(4),10405790.8500000015,10405790.8500000015,
FS(5),10479200.2500000000,10479200.2500000000,
FS(6),10311989.9500000011,10311989.9500000011,
FS(7),10305872.5000000000,10305872.5000000000,
FS(8),10430260.6500000004,10430260.6500000004,
FS(9),10422104.0500000007,10422104.0500000007,
FS(10),10630097.3500000015,10630097.3500000015,
FS(11),10889069.4000000004,10889069.4000000004,
FS(12),10978792.0000000019,10978792.0000000019,
FS(13),11270390.4500000011,11270390.4500000011,
FS(14),11282625.3499999996,11282625.3499999996,
FS(15),11457992.2500000000,11457992.2500000000,
FS(16),11608889.3499999996,11608889.3499999996,
FS(17),11751629.8500000015,11751629.8500000015,
FS(18),11435561.5999999996,11435561.5999999996,
FS(19),11413130.9499999993,11413130.9499999993,
FS(20),11374387.1000000015,11374387.1000000015,
