代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10675337.5000000000
真實報酬,675337.5000000000
趨勢值,0.2212231097

選擇檔數,1
找到最佳解世代,1854
找到最佳解實驗,1
Stock#,INTC,
分配資金,10000000,
張數,500250,
剩餘資金,2.5000000008,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),9824912.5000000000,9824912.5000000000,
FS(3),9774887.5000000000,9774887.5000000000,
FS(4),10045022.5000000000,10045022.5000000000,
FS(5),9954977.5000000000,9954977.5000000000,
FS(6),9854927.5000000000,9854927.5000000000,
FS(7),10145072.5000000000,10145072.5000000000,
FS(8),10385192.5000000000,10385192.5000000000,
FS(9),10565282.5000000000,10565282.5000000000,
FS(10),10775387.5000000000,10775387.5000000000,
FS(11),10990495.0000000000,10990495.0000000000,
FS(12),10970485.0000000000,10970485.0000000000,
FS(13),11105552.5000000000,11105552.5000000000,
FS(14),10975487.5000000000,10975487.5000000000,
FS(15),10815407.5000000000,10815407.5000000000,
FS(16),11085542.5000000000,11085542.5000000000,
FS(17),11125562.5000000000,11125562.5000000000,
FS(18),11275637.5000000000,11275637.5000000000,
FS(19),11160580.0000000000,11160580.0000000000,
FS(20),11110555.0000000000,11110555.0000000000,
FS(21),10675337.5000000000,10675337.5000000000,
