代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11035452.6400000006
真實報酬,1035452.6400000006
趨勢值,0.1634608130

選擇檔數,1
找到最佳解世代,2109
找到最佳解實驗,1
Stock#,HD,
分配資金,10000000,
張數,281373,
剩餘資金,3.5800000002,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),10126617.8500000015,10126617.8500000015,
FS(3),10256049.4300000016,10256049.4300000016,
FS(4),10239167.0500000007,10239167.0500000007,
FS(5),10506471.4000000004,10506471.4000000004,
FS(6),10675295.1999999993,10675295.1999999993,
FS(7),10455824.2599999998,10455824.2599999998,
FS(8),10467079.1800000016,10467079.1800000016,
FS(9),10709059.9600000009,10709059.9600000009,
FS(10),10762520.8300000001,10762520.8300000001,
FS(11),10711873.6899999995,10711873.6899999995,
FS(12),10647157.9000000004,10647157.9000000004,
FS(13),10585255.8399999999,10585255.8399999999,
FS(14),10658412.8200000003,10658412.8200000003,
FS(15),10427686.9600000009,10427686.9600000009,
FS(16),10438941.8800000008,10438941.8800000008,
FS(17),10275745.5400000010,10275745.5400000010,
FS(18),10261676.8900000006,10261676.8900000006,
FS(19),10495216.4799999986,10495216.4799999986,
FS(20),10962295.6600000001,10962295.6600000001,
FS(21),11035452.6400000006,11035452.6400000006,
