代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10459936.0999999996
真實報酬,459936.0999999996
趨勢值,0.3287226088

選擇檔數,3
找到最佳解世代,2074
找到最佳解實驗,1
Stock#,DIS,PG,WMT,
分配資金,3333333,3333333,3333333,
張數,76120,52435,56430,
剩餘資金,38.2000000001,40.0500000000,12.9000000000,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3314303.0000000000,3354831.3499999996,3329947.1999999997,9999082.5500000007,
FS(3),3334855.4000000004,3382621.8999999999,3328818.6000000001,10046296.9000000004,
FS(4),3267869.8000000003,3370561.8500000001,3312453.8999999999,9950886.5500000007,
FS(5),3335616.6000000001,3368988.7999999998,3340104.5999999996,10044711.0000000000,
FS(6),3372154.2000000002,3364269.6499999994,3332204.3999999999,10068629.2500000000,
FS(7),3426960.6000000006,3338576.5000000000,3331075.7999999998,10096613.9000000004,
FS(8),3446751.8000000003,3363220.9499999997,3340104.5999999996,10150078.3499999996,
FS(9),3468065.4000000004,3339100.8499999996,3353083.5000000000,10160250.7500000000,
FS(10),3438378.6000000001,3333857.3499999996,3333333.0000000000,10105569.9500000011,
FS(11),3426199.3999999999,3341198.2499999995,3349133.3999999999,10116532.0500000007,
FS(12),3431527.8000000003,3371086.2000000002,3340104.5999999996,10142719.5999999996,
FS(13),3374437.8000000003,3353782.6499999999,3480615.2999999998,10208836.7500000000,
FS(14),3334855.4000000004,3330711.2500000000,3522937.7999999998,10188505.4500000011,
FS(15),3379005.0000000000,3323894.6999999997,3557360.0999999996,10260260.8000000007,
FS(16),3379005.0000000000,3311310.2999999998,3596296.7999999998,10286613.0999999996,
FS(17),3379005.0000000000,3271459.6999999997,3596296.7999999998,10246762.5000000000,
FS(18),3382811.0000000000,3280898.0000000000,3671912.9999999995,10335623.0000000000,
FS(19),3387378.2000000002,3276703.1999999997,3685456.2000000002,10349538.6000000015,
FS(20),3461975.7999999998,3300823.2999999998,3706335.3000000003,10469135.4000000004,
FS(21),3440662.2000000002,3267789.2500000000,3692792.0999999996,10401244.5500000007,
FS(22),3479483.4000000004,3266216.1999999997,3714235.4999999995,10459936.0999999996,
