代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11082360.5600000005
真實報酬,1082360.5600000005
趨勢值,0.8369190392

選擇檔數,2
找到最佳解世代,2221
找到最佳解實驗,1
Stock#,JNJ,MRK,
分配資金,5000000,5000000,
張數,80932,134480,
剩餘資金,21.0399999999,33.6000000000,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),5045321.9199999999,5037654.3999999994,10082976.3200000003,
FS(3),5034800.7599999998,5043033.5999999996,10077834.3599999994,
FS(4),5082550.6399999997,5096825.5999999996,10179376.2400000002,
FS(5),5082550.6399999997,5154651.9999999991,10237202.6400000006,
FS(6),5097118.3999999994,5172134.3999999994,10269252.8000000007,
FS(7),5027516.8799999999,5173479.1999999993,10200996.0800000001,
FS(8),5105211.5999999996,5224581.5999999996,10329793.2000000011,
FS(9),5216088.4400000004,5164065.5999999996,10380154.0400000010,
FS(10),5297020.4400000004,5216512.7999999998,10513533.2400000002,
FS(11),5342342.3600000003,5236684.7999999989,10579027.1600000001,
FS(12),5365812.6399999997,5224581.5999999996,10590394.2400000002,
FS(13),5399804.0800000001,5275683.9999999991,10675488.0800000001,
FS(14),5422465.0400000000,5272994.3999999994,10695459.4400000013,
FS(15),5373096.5200000005,5305269.5999999996,10678366.1200000010,
FS(16),5392520.1999999993,5403440.0000000000,10795960.1999999993,
FS(17),5381999.0400000000,5349648.0000000000,10731647.0400000010,
FS(18),5375524.4800000004,5388647.1999999993,10764171.6800000016,
FS(19),5409515.9199999999,5450508.0000000000,10860023.9199999999,
FS(20),5417609.1200000001,5470680.0000000000,10888289.1200000010,
FS(21),5467786.9600000000,5614573.5999999996,11082360.5600000005,
