代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10854543.3399999999
真實報酬,854543.3399999999
趨勢值,0.5727090777

選擇檔數,5
找到最佳解世代,1171
找到最佳解實驗,1
Stock#,AAPL,NKE,PG,WBA,WMT,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,23626,90049,32685,66979,28839,
剩餘資金,59.0999999999,11.7099999999,4.8500000001,7.0600000000,15.3500000002,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000019,
FS(2),2023153.4799999997,2036920.0900000001,2005556.4500000002,1983255.2500000000,2040374.6000000001,10089259.8700000010,
FS(3),2058592.4799999997,2075641.1599999999,2005229.6000000001,2000669.7900000000,2049891.4700000000,10190024.5000000000,
FS(4),2044889.3999999999,2057631.3600000001,2002941.6500000001,1983925.0400000000,2057966.3900000001,10147353.8399999999,
FS(5),2072059.2999999998,2032417.6399999999,2011766.6000000001,1989283.3600000001,2069501.9900000002,10175028.8900000006,
FS(6),2052922.2399999998,2054929.8899999999,2017649.8999999999,2004018.7400000002,2079595.6400000001,10209116.4100000001,
FS(7),2040164.1999999997,2077442.1399999999,2006863.8500000001,2005358.3200000001,2083921.4900000002,10213750.0000000000,
FS(8),2021499.6599999999,2067536.7500000000,2082039.3500000001,2016074.9600000002,2085363.4400000002,10272514.1600000020,
FS(9),2041818.0199999998,2115262.7199999997,2127471.5000000000,2048224.8799999999,2110453.3700000001,10443230.4900000002,
FS(10),2048433.2999999998,2094551.4500000002,2118319.7000000002,2042866.5600000001,2104685.5700000003,10408856.5800000001,
FS(11),2048669.5599999998,2088248.0200000000,2135969.6000000001,2056262.3600000001,2108146.2500000000,10437295.7899999991,
FS(12),2046306.9600000000,2130571.0499999998,2118646.5499999998,2074346.6899999999,2100936.5000000000,10470807.7500000000,
FS(13),2073476.8599999999,2144978.8900000001,2121915.0500000003,2318820.0400000000,2062869.0200000000,10722059.8600000013,
FS(14),2039691.6799999999,2095451.9399999999,2115704.9000000004,2317480.4600000000,2083633.1000000001,10651962.0800000001,
FS(15),2038037.8599999999,2090049.0000000000,2104592.0000000000,2271934.7400000002,2072097.5000000000,10576711.1000000015,
FS(16),2028351.1999999997,2092750.4699999997,2092498.5500000000,2284660.7500000000,2080460.8100000001,10578721.7800000012,
FS(17),1940698.7399999998,2105357.3300000001,2092498.5500000000,2320829.4100000001,2078730.4700000000,10538114.5000000000,
FS(18),1940462.4799999997,2174695.0600000001,2110148.4500000002,2342262.6899999999,2124584.4800000000,10692153.1600000020,
FS(19),1974956.4399999999,2184600.4500000002,2127471.5000000000,2392496.9399999999,2149097.6299999999,10828622.9600000009,
FS(20),2008269.0999999999,2157585.7500000000,2127798.3500000001,2429335.3900000001,2162363.5700000003,10885352.1600000020,
FS(21),2061427.5999999999,2101755.3700000001,2109494.7500000005,2435363.5000000000,2146502.1200000001,10854543.3399999999,
