代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10429758.5899999999
真實報酬,429758.5899999999
趨勢值,0.7577438338

選擇檔數,6
找到最佳解世代,2340
找到最佳解實驗,1
Stock#,HD,MCD,MRK,PFE,TRV,WBA,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,29347,18716,38535,70086,25783,46685,
剩餘資金,49.8700000000,6.2000000001,27.2500000000,20.9199999999,52.8800000000,11.4999999999,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000000,
FS(2),1659329.2500000000,1666853.1599999999,1673987.6499999999,1676478.0400000000,1663829.8699999999,1675069.2999999998,10015551.2699999996,
FS(3),1691904.4200000002,1696985.9199999999,1704815.6500000001,1705914.1599999999,1684714.0999999999,1643323.5000000000,10127661.7500000000,
FS(4),1680459.0900000001,1703536.5199999998,1697494.0000000000,1698905.5599999998,1681362.3099999998,1631185.3999999997,10092946.8799999990,
FS(5),1681632.9700000000,1708777.0000000000,1705586.3499999999,1689093.5200000000,1683940.6099999999,1640522.3999999999,10109556.8499999996,
FS(6),1664611.7100000000,1706905.3999999999,1708283.8000000000,1693999.5400000000,1726224.7300000000,1639121.8499999996,10139151.0299999993,
FS(7),1674296.2200000000,1699793.3199999998,1715990.8000000000,1686990.9399999999,1741436.7000000000,1650793.0999999996,10169305.0799999982,
FS(8),1710979.9700000000,1713830.3199999998,1721000.3499999999,1699606.4199999999,1764899.2300000000,1681605.2000000000,10291925.4899999984,
FS(9),1745022.4900000002,1716263.3999999999,1680923.9500000000,1668067.7200000000,1768251.0199999998,1681605.2000000000,10260137.7799999993,
FS(10),1728881.6399999999,1724498.4399999999,1695567.2500000000,1683486.6399999999,1765672.7200000000,1666666.0000000000,10264776.6899999995,
FS(11),1727414.2900000000,1742091.4800000000,1698650.0500000000,1682785.7800000000,1765157.0599999998,1664798.5999999996,10280901.2599999998,
FS(12),1745315.9600000000,1737412.4800000000,1715220.0999999999,1693298.6799999999,1759226.9700000000,1671801.3499999999,10322279.5399999991,
FS(13),1739740.0300000003,1743401.6000000001,1729863.3999999999,1710820.1799999999,1764899.2300000000,1659663.2499999995,10348391.6899999995,
FS(14),1743848.6100000001,1753882.5599999998,1730634.0999999999,1718529.6399999999,1769024.5099999998,1639121.8499999996,10355045.2699999996,
FS(15),1742968.2000000002,1753882.5599999998,1739497.1499999999,1734649.4199999999,1764125.7400000000,1665265.4500000000,10400392.5199999977,
FS(16),1752652.7100000000,1737973.9600000000,1738341.1000000001,1740957.1599999999,1765672.7200000000,1683939.4499999997,10419541.0999999978,
FS(17),1736511.8600000001,1744337.3999999999,1734487.5999999999,1740256.2999999998,1747624.6199999999,1672268.1999999997,10375489.9799999986,
FS(18),1757348.2300000002,1745647.5199999998,1742965.2999999998,1749367.4800000000,1763867.9099999999,1708682.4999999998,10467882.9399999995,
FS(19),1771728.2600000000,1717199.2000000000,1737955.7500000000,1741658.0200000000,1760000.4600000000,1701212.8999999997,10429758.5899999999,
