代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10371975.8800000008
真實報酬,371975.8800000008
趨勢值,0.1920128636

選擇檔數,2
找到最佳解世代,1844
找到最佳解實驗,1
Stock#,GS,TRV,
分配資金,5000000,5000000,
張數,42786,72390,
剩餘資金,28.0400000000,22.7000000005,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),5016686.5400000000,4973215.7000000002,9989902.2400000002,
FS(3),5044925.2999999998,4995656.6000000006,10040581.9000000004,
FS(4),5130069.4400000004,5015201.9000000004,10145271.3399999999,
FS(5),5104825.7000000002,5035471.1000000006,10140296.8000000007,
FS(6),5111243.5999999996,5034023.3000000007,10145266.9000000004,
FS(7),5118517.2199999997,5018097.5000000000,10136614.7199999988,
FS(8),5137770.9199999999,5023888.7000000002,10161659.6200000010,
FS(9),5219492.1799999997,5006515.0999999996,10226007.2799999993,
FS(10),5142905.2400000002,4974663.5000000000,10117568.7400000002,
FS(11),5326885.0400000000,5052120.8000000007,10379005.8399999999,
FS(12),5272118.9600000000,5102793.7999999998,10374912.7599999998,
FS(13),5344855.1600000001,5167220.8999999994,10512076.0600000005,
FS(14),5354695.9400000004,5352539.2999999998,10707235.2400000002,
FS(15),5289233.3600000003,5321411.6000000006,10610644.9600000009,
FS(16),5252865.2599999998,5356158.7999999998,10609024.0600000005,
FS(17),5091562.0400000000,5312000.8999999994,10403562.9399999995,
FS(18),5124507.2599999998,5297522.9000000004,10422030.1600000001,
FS(19),5122367.9600000000,5220789.5000000009,10343157.4600000009,
FS(20),5110387.8799999999,5180251.1000000006,10290638.9800000004,
FS(21),5236606.5800000001,5135369.2999999998,10371975.8800000008,
