代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10493004.3799999990
真實報酬,493004.3799999990
趨勢值,0.1593977157

選擇檔數,1
找到最佳解世代,2144
找到最佳解實驗,1
Stock#,BA,
分配資金,10000000,
張數,141262,
剩餘資金,63.0199999991,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),9895466.1199999992,9895466.1199999992,
FS(3),9946320.4399999995,9946320.4399999995,
FS(4),10173752.2599999998,10173752.2599999998,
FS(5),9903941.8399999999,9903941.8399999999,
FS(6),10026839.7799999993,10026839.7799999993,
FS(7),10347504.5199999996,10347504.5199999996,
FS(8),10409659.7999999989,10409659.7999999989,
FS(9),10363043.3399999999,10363043.3399999999,
FS(10),10070631.0000000000,10070631.0000000000,
FS(11),10035315.5000000000,10035315.5000000000,
FS(12),9997174.7599999998,9997174.7599999998,
FS(13),10165276.5399999991,10165276.5399999991,
FS(14),10247208.5000000000,10247208.5000000000,
FS(15),10333378.3200000003,10333378.3200000003,
FS(16),10416722.8999999985,10416722.8999999985,
FS(17),10491591.7599999998,10491591.7599999998,
FS(18),10522669.3999999985,10522669.3999999985,
FS(19),10466164.5999999996,10466164.5999999996,
FS(20),10470402.4600000009,10470402.4600000009,
FS(21),10493004.3799999990,10493004.3799999990,
