代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10795081.7000000011
真實報酬,795081.7000000011
趨勢值,0.4574207891

選擇檔數,3
找到最佳解世代,2322
找到最佳解實驗,1
Stock#,DD,JPM,NKE,
分配資金,3333333,3333333,3333333,
張數,79878,81679,136668,
剩餘資金,24.0600000002,13.0099999998,0.4799999999,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3332534.2199999997,3313730.0399999996,3337433.0400000000,9983698.3000000007,
FS(3),3354900.0600000001,3365187.8100000001,3337433.0400000000,10057521.9100000001,
FS(4),3371674.4399999999,3387241.1399999997,3363399.9600000000,10122316.5400000010,
FS(5),3446759.7599999998,3476271.2500000000,3368866.6799999997,10291898.6899999995,
FS(6),3481906.0800000005,3455851.5000000000,3351099.8399999999,10288858.4200000018,
FS(7),3532229.2199999997,3482805.5699999998,3396200.2800000003,10411236.0700000003,
FS(8),3543412.1400000001,3493423.8399999999,3389366.8799999999,10426203.8600000013,
FS(9),3529832.8799999999,3494240.6299999999,3325132.9199999999,10349207.4299999997,
FS(10),3573765.7800000003,3496691.0000000000,3311466.1200000001,10381923.9000000004,
FS(11),3619296.2400000002,3551415.9299999997,3348366.4800000000,10519079.6500000004,
FS(12),3730326.6600000001,3583270.7399999998,3379800.1200000001,10693398.5200000014,
FS(13),3688790.1000000001,3555499.8799999999,3341533.0800000001,10585824.0600000005,
FS(14),3695979.1200000001,3637178.8799999999,3382533.4800000000,10715692.4800000004,
FS(15),3639265.7400000002,3593889.0099999998,3591635.5200000000,10824791.2700000014,
FS(16),3660832.7999999998,3587354.6899999999,3608035.6799999997,10856224.1699999999,
FS(17),3687991.3200000003,3590621.8499999996,3508268.0400000000,10786882.2100000009,
FS(18),3653643.7800000003,3563667.7799999998,3536968.3199999998,10754280.8800000008,
FS(19),3596930.4000000004,3531812.9699999997,3485034.4800000000,10613778.8500000015,
FS(20),3677607.1800000002,3591438.6399999997,3526034.8799999999,10795081.7000000011,
