代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10704846.1400000006
真實報酬,704846.1400000006
趨勢值,0.9370899500

選擇檔數,8
找到最佳解世代,2488
找到最佳解實驗,1
Stock#,AAPL,AXP,CSCO,HD,INTC,JPM,MRK,TRV,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,19917,18306,61334,17179,52105,26036,27358,14863,
剩餘資金,9.0800000000,66.3200000000,13.0800000001,55.9599999999,1.0500000001,11.6400000001,12.9800000001,21.7000000001,
FS(1),1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,10000000.0000000019,
FS(2),1267726.1300000001,1270136.6000000001,1271466.9000000001,1259792.0300000000,1256252.6000000001,1251822.5200000000,1251094.3199999998,1254756.1600000001,10083047.2600000016,
FS(3),1280273.8400000001,1285696.7000000002,1277600.3000000000,1270614.7999999998,1248436.8500000001,1238544.1600000001,1249452.8400000001,1269470.5300000000,10120090.0199999996,
FS(4),1310946.0200000000,1282584.6800000002,1276373.6200000001,1292947.5000000000,1245831.6000000001,1254426.1200000001,1230575.8199999998,1267984.2300000002,10161669.5899999999,
FS(5),1304970.9199999999,1285879.7600000000,1250000.0000000000,1289683.4899999998,1258336.8000000000,1279420.6800000002,1238509.6400000001,1278536.9600000002,10185338.2500000000,
FS(6),1319709.5000000002,1287161.1800000002,1270853.5600000001,1295696.1399999999,1263547.3000000000,1295563.0000000000,1230849.4000000001,1297264.3400000003,10260644.4200000018,
FS(7),1299593.3300000001,1285330.5799999998,1277600.3000000000,1303426.6899999999,1269278.8500000001,1276817.0800000001,1244528.4000000001,1285076.6800000002,10241651.9100000020,
FS(8),1288838.1499999999,1282950.8000000000,1294160.4800000002,1305831.7500000000,1276573.5500000000,1274734.2000000002,1257113.0800000001,1285522.5700000001,10265724.5800000001,
FS(9),1293817.3999999999,1277642.0600000003,1304587.2600000000,1317169.8899999999,1254689.4500000000,1293219.7600000002,1263131.8400000001,1285671.2000000002,10289928.8600000013,
FS(10),1262946.0500000000,1309128.3800000001,1304587.2600000000,1328336.2399999998,1242184.2500000000,1307799.9200000002,1276263.6799999999,1306479.4000000004,10337725.1799999997,
FS(11),1220124.5000000000,1332377.0000000000,1300907.2200000002,1337956.4800000000,1260942.0500000000,1330190.8800000001,1278452.3199999998,1304695.8400000003,10365646.2900000010,
FS(12),1236456.4399999999,1322308.7000000002,1465282.3400000001,1318544.2100000000,1247394.7500000000,1327066.5600000001,1268603.4399999999,1291170.5100000002,10476826.9500000011,
FS(13),1232672.2100000002,1342262.2400000000,1486749.2400000000,1320433.8999999999,1252605.2500000000,1361694.4399999999,1258207.4000000001,1285671.2000000002,10540295.8800000008,
FS(14),1260356.8400000001,1362032.7200000002,1468962.3800000001,1318716.0000000000,1254689.4500000000,1361434.0800000001,1236868.1599999999,1271551.3500000001,10534610.9800000023,
FS(15),1250995.8500000001,1375029.9800000000,1472642.4200000002,1352215.0499999998,1258336.8000000000,1380440.3600000001,1294867.1199999999,1243014.3900000001,10627541.9700000007,
FS(16),1255775.9299999999,1362764.9600000000,1431548.6400000001,1369050.4700000000,1254168.4000000001,1396322.3200000003,1277905.1599999999,1245095.2100000002,10592631.0899999999,
FS(17),1257966.8000000000,1367341.4600000000,1441975.4200000002,1355650.8499999999,1253126.3000000000,1389032.2400000002,1294867.1199999999,1241082.2000000002,10601042.3900000006,
FS(18),1266531.1100000001,1377958.9399999999,1443202.1000000001,1357025.1699999999,1246352.6500000001,1397103.4000000001,1290216.2599999998,1242568.5000000000,10620958.1300000008,
FS(19),1255975.1000000001,1394251.2800000000,1465282.3400000001,1371283.7399999998,1254689.4500000000,1421577.2400000002,1302800.9399999999,1236920.5600000001,10702780.6500000004,
FS(20),1265933.6000000001,1388210.3000000000,1479389.1600000001,1365614.6699999999,1264589.4000000001,1423399.7600000002,1282282.4399999999,1243608.9100000001,10713028.2400000002,
FS(21),1284854.7500000002,1393885.1600000001,1494722.6600000001,1364755.7200000000,1261463.1000000001,1448133.9600000000,1287754.0400000000,1256836.9800000002,10792406.3700000010,
FS(22),1279676.3300000001,1386013.5799999998,1479389.1600000001,1351356.0999999999,1265110.4500000002,1421316.8800000001,1277631.5800000001,1244352.0600000001,10704846.1400000006,
