代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10581729.2300000004
真實報酬,581729.2300000004
趨勢值,0.6775955165

選擇檔數,5
找到最佳解世代,3640
找到最佳解實驗,1
Stock#,AAPL,BA,NKE,UNH,V,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,28653,19045,62208,27563,45187,
剩餘資金,20.6000000001,84.5499999999,12.8000000001,28.7199999999,23.3800000001,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2041260.3199999998,2025901.2000000000,2026127.3600000001,2021774.7699999998,1990510.7300000000,10105574.3800000008,
FS(3),2027220.3500000001,2031233.7999999998,2033592.3199999998,2040793.2400000002,1990510.7300000000,10123350.4400000013,
FS(4),2039254.6100000001,2020187.6999999997,2021150.7200000002,2041344.5000000000,1995933.1700000002,10117870.7000000011,
FS(5),2071919.0300000003,2041518.0999999999,2034214.4000000001,2046581.4700000000,2017171.0600000001,10211404.0600000005,
FS(6),2024641.5800000001,2060182.2000000000,2078382.0799999998,2057055.4099999999,2085403.4300000002,10305664.6999999993,
FS(7),1914614.0599999998,2080369.8999999999,2102643.2000000002,2072215.0600000001,2104833.8399999999,10274676.0599999987,
FS(8),1934957.6900000002,2091225.5499999998,2117573.1200000001,2060087.3399999999,2090825.8700000003,10294669.5700000003,
FS(9),1902866.3300000001,2120364.3999999999,2112596.4800000004,2052920.9600000002,2135109.1299999999,10323857.3000000007,
FS(10),1842408.5000000000,2203019.6999999997,2121305.6000000006,2070561.2800000000,2139627.8300000001,10376922.9100000001,
FS(11),1863898.2500000000,2230444.5000000000,2125038.0800000001,2048235.2500000000,2164480.6799999997,10432096.7600000016,
FS(12),1902006.7400000000,2255012.5499999998,2161118.7200000002,2013230.2400000002,2187526.0499999998,10518894.3000000007,
FS(13),1933238.5100000000,2267201.3500000001,2161740.8000000003,1952591.6400000001,2199726.5400000000,10514498.8399999999,
FS(14),1913181.4099999999,2221302.8999999999,2158008.3200000003,1945149.6299999999,2246269.1499999999,10483911.4100000001,
FS(15),2008309.3700000001,2238062.5000000000,2145566.7200000002,1979603.3799999999,2216897.6000000001,10588439.5700000003,
FS(16),2002005.7100000002,2266439.5499999998,2159874.5600000001,1993384.8799999999,2184362.9600000000,10606067.6600000001,
FS(17),1971060.4700000002,2257107.5000000000,2143700.4800000004,1984013.4600000002,2164028.8100000001,10519910.7200000007,
FS(18),1990257.9800000000,2273676.6499999999,2187868.1600000006,1988974.7999999998,2186622.3100000001,10627399.9000000004,
FS(19),1975931.4800000000,2261487.8499999996,2290511.3600000003,1984289.0899999999,2180748.0000000000,10692967.7799999993,
FS(20),1951576.4300000002,2237872.0499999998,2259407.3600000003,1973815.1499999999,2159058.2399999998,10581729.2300000004,
