代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10516494.2699999996
真實報酬,516494.2699999996
趨勢值,0.3207149294

選擇檔數,5
找到最佳解世代,2310
找到最佳解實驗,1
Stock#,AAPL,DD,MSFT,PG,XOM,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,28690,36656,59559,26260,23255,
剩餘資金,20.1000000002,48.6399999999,8.7800000001,38.4000000001,70.0000000000,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,9999999.9999999981,
FS(2),2006598.7000000000,2020160.7999999998,2020250.0600000001,1993960.2000000004,2001860.3999999999,10042830.1600000001,
FS(3),1981351.5000000002,2023826.3999999999,2016676.5200000000,1991596.8000000003,1988372.5000000000,10001823.7200000007,
FS(4),1979630.1000000001,2087607.8400000001,2017867.7000000002,1996323.6000000001,2007441.5999999999,10088870.8399999999,
FS(5),1999139.3000000003,2054250.8799999999,1983323.4799999997,1986607.4000000004,1997674.5000000002,10020995.5600000005,
FS(6),1971310.0000000000,2010996.7999999998,1966051.3699999999,2004464.2000000002,1988605.0500000000,9941427.4199999999,
FS(7),1994262.0000000002,2031890.7200000000,1969624.9100000001,2020745.4000000001,1980465.7999999998,9996988.8300000001,
FS(8),2006885.6000000001,2108868.3200000003,2010720.6199999999,2045429.8000000000,2000930.2000000002,10172834.5400000010,
FS(9),2019796.1000000003,2144058.0800000001,2032757.4500000002,2060923.2000000002,2022092.2500000000,10279627.0800000001,
FS(10),2032993.5000000000,2130861.9200000004,2051816.3300000003,2067750.8000000000,2037207.9999999998,10320630.5499999989,
FS(11),2043895.7000000000,2110701.1200000001,2054198.6900000002,2037814.3999999999,2018371.4500000002,10264981.3599999994,
FS(12),2053937.2000000002,2146990.5600000001,2063132.5400000000,2057246.8000000003,2030464.0500000000,10351771.1500000004,
FS(13),2067708.3999999999,2160553.2800000003,2079809.0600000001,2085607.6000000001,2034417.4000000001,10428095.7400000002,
FS(14),2085783.1000000001,2156521.1200000001,2082191.4200000002,2085345.0000000000,2036045.2500000000,10445885.8899999987,
FS(15),2136851.3000000003,2159087.0400000000,2083978.1900000002,2073790.6000000001,2028603.6500000001,10482310.7800000012,
FS(16),2130826.3999999999,2168984.1600000001,2059559.0000000000,2110817.1999999997,2046044.9000000001,10516231.6600000001,
FS(17),2151483.1999999997,2142225.2800000003,2010720.6199999999,2124735.0000000000,2037440.5500000000,10466604.6500000004,
FS(18),2180173.1999999997,2120598.2400000002,2008338.2600000000,2116857.0000000000,2056277.1000000001,10482243.7999999989,
FS(19),2155786.7000000002,2063048.3199999998,2128051.8500000001,2100838.3999999999,2045812.3499999999,10493537.6199999992,
FS(20),2171853.1000000001,2041787.8400000001,2118522.4100000001,2134976.3999999999,2051858.6500000001,10518998.4000000004,
FS(21),2117629.0000000000,2059749.2799999998,2115544.4600000004,2165437.9999999995,2068137.1500000001,10526497.8900000006,
FS(22),2151483.1999999997,2049485.5999999999,2116735.6400000001,2140753.5999999996,2065346.5500000000,10523804.5899999999,
FS(23),2142302.4000000004,2060482.3999999999,2108992.9700000002,2120533.3999999999,2084183.1000000001,10516494.2699999996,
