代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10556898.4000000004
真實報酬,556898.4000000004
趨勢值,1.0518411444

選擇檔數,6
找到最佳解世代,1987
找到最佳解實驗,4
Stock#,AAPL,CVX,IBM,MRK,PG,UNH,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,22434,14123,9299,36848,20538,24284,
剩餘資金,44.1399999999,10.7699999999,6.2300000001,30.9600000001,7.2999999999,55.0800000001,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000000,
FS(2),1688202.6399999999,1667937.0699999998,1676336.9600000000,1684721.5200000003,1670362.8399999999,1674436.8800000001,10062001.9100000001,
FS(3),1683940.1799999999,1672880.1200000001,1653833.3799999999,1671456.2400000002,1672416.6399999999,1668851.5600000001,10023382.1200000010,
FS(4),1669582.4199999999,1710870.9900000000,1666294.0400000000,1693565.0400000003,1700759.0799999998,1706977.4400000002,10148053.0099999998,
FS(5),1642437.2799999998,1693499.7000000000,1673826.2300000000,1688406.3200000003,1690695.4599999997,1694106.9200000002,10082975.9100000001,
FS(6),1668460.7200000000,1711577.1399999999,1673733.2400000000,1724517.3600000001,1694597.6799999999,1712077.0800000001,10184967.2200000007,
FS(7),1663525.2400000000,1710023.6100000001,1700607.3499999999,1731886.9600000002,1689463.1799999999,1712077.0800000001,10207587.4199999999,
FS(8),1666666.0000000000,1694770.7700000000,1702374.1599999999,1753627.2800000003,1700553.6999999997,1698720.8800000001,10216716.7900000010,
FS(9),1668685.0599999998,1696041.8400000001,1706837.6800000002,1744415.2800000003,1714930.2999999998,1724461.9200000002,10255376.0800000001,
FS(10),1692689.4399999999,1688556.6500000001,1694377.0200000000,1762102.3200000003,1731771.4599999997,1734904.0400000000,10304404.9299999997,
FS(11),1682594.1399999999,1695618.1500000001,1703490.0400000000,1771314.3200000003,1742451.2200000000,1745346.1600000001,10340818.0300000012,
FS(12),1662179.2000000000,1702679.6500000001,1715392.7600000000,1769103.4400000002,1736905.9599999997,1740732.2000000002,10326997.2100000009,
FS(13),1665095.6199999999,1723864.1500000001,1722645.9800000000,1771314.3200000003,1732182.2200000000,1739032.3200000001,10354138.6100000013,
FS(14),1650513.5199999998,1723016.7700000000,1722088.0400000000,1773525.2000000002,1739370.5199999998,1748017.4000000001,10356535.4500000011,
FS(15),1670255.4399999999,1743636.3499999999,1712231.0999999999,1791580.7200000002,1738959.7599999998,1770601.5200000000,10427268.8900000006,
FS(16),1665992.9800000000,1751686.4600000000,1685914.9300000002,1803372.0800000001,1744710.3999999999,1790757.2400000000,10442438.0900000017,
FS(17),1678556.0199999998,1747590.7900000000,1663969.2900000000,1829902.6400000001,1754157.8799999997,1798770.9600000000,10472951.5799999982,
FS(18),1709514.9399999999,1734032.7100000000,1648811.9199999999,1826954.8000000000,1738343.6199999999,1809698.7600000000,10467360.7500000000,
FS(19),1749671.7999999998,1728948.4299999999,1664248.2600000000,1836166.8000000000,1730949.9399999999,1805813.3200000001,10515802.5500000007,
FS(20),1782201.0999999999,1729230.8899999999,1670850.5500000000,1836166.8000000000,1729717.6599999997,1808727.4000000001,10556898.4000000004,
