代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10903655.9399999995
真實報酬,903655.9399999995
趨勢值,1.2905653685

選擇檔數,7
找到最佳解世代,1897
找到最佳解實驗,1
Stock#,DIS,HD,MRK,NKE,UNH,VZ,XOM,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,20411,19024,27430,40309,20194,30781,15864,
剩餘資金,5.1100000001,58.8399999999,16.6000000000,20.0400000001,47.4400000001,24.7900000001,17.8000000000,
FS(1),1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,10000000.0000000000,
FS(2),1450206.6600000001,1426288.1199999999,1467795.9000000001,1421315.3799999999,1423926.3800000004,1441191.2100000000,1428095.0800000001,10058821.7300000004,
FS(3),1464698.4700000002,1431805.0799999998,1468344.5000000002,1422927.7400000000,1430186.5200000000,1437189.6799999999,1421114.9199999999,10076269.9100000001,
FS(4),1542260.2700000003,1448926.6799999997,1474927.7000000002,1441469.8799999999,1431196.2200000002,1436881.8700000001,1424605.0000000000,10200270.6199999992,
FS(5),1544505.4800000002,1454443.6399999999,1502357.7000000002,1465252.1900000002,1441091.2800000003,1440883.4000000001,1436978.9199999999,10285515.6100000013,
FS(6),1572876.7700000003,1453682.6799999997,1505649.3000000000,1464849.1000000001,1408377.0000000000,1443961.5000000000,1420163.0800000001,10269562.4299999997,
FS(7),1587776.8000000003,1459199.6399999999,1527867.6000000001,1491049.9500000002,1426147.7200000002,1453195.8000000000,1441103.5600000001,10386344.0700000022,
FS(8),1590226.1200000001,1470233.5599999998,1508666.6000000001,1493871.5800000001,1418474.0000000000,1458120.7600000000,1444910.9199999999,10384506.5400000010,
FS(9),1590022.0100000002,1476131.0000000000,1511409.6000000001,1509189.0000000000,1438062.1799999999,1456273.9000000001,1450463.3200000001,10431554.0100000016,
FS(10),1617168.6400000001,1482599.1599999999,1520735.8000000000,1512816.8100000001,1484710.3200000001,1431649.0999999999,1492978.8400000001,10542661.6699999999,
FS(11),1624312.4900000000,1475750.5199999998,1527593.3000000000,1515638.4400000002,1490970.4600000002,1415335.1699999999,1492344.2800000000,10541947.6600000020,
FS(12),1609820.6800000002,1454443.6399999999,1509763.8000000000,1507979.7300000000,1485316.1400000001,1432264.7200000000,1490440.6000000001,10490032.3100000024,
FS(13),1616352.2000000000,1474038.3599999999,1530884.9000000001,1523297.1499999999,1483902.5600000003,1481206.5100000000,1512967.4800000002,10622652.1600000020,
FS(14),1635538.5400000000,1478984.5999999999,1536919.5000000002,1541436.2000000002,1490566.5800000003,1455042.6600000001,1507573.7200000000,10646064.8000000007,
FS(15),1647785.1400000001,1481457.7200000000,1541034.0000000000,1568846.3200000001,1534993.3800000004,1423030.4199999999,1529941.9600000000,10727091.9400000032,
FS(16),1637171.4199999999,1540622.3599999999,1533627.8999999999,1574489.5800000001,1521059.5200000000,1424877.2800000000,1527879.6400000001,10759730.7000000011,
FS(17),1634517.9900000000,1554319.6399999999,1543502.7000000002,1580535.9300000002,1536003.0800000003,1426724.1400000001,1519630.3600000001,10795236.8400000017,
FS(18),1642682.3900000001,1559456.1199999999,1554200.3999999999,1572474.1299999999,1535195.3200000001,1462122.2900000000,1520423.5600000001,10846557.2100000009,
FS(19),1649418.0200000003,1560597.5599999998,1563252.3000000000,1578117.3899999999,1560437.8200000001,1464584.7700000000,1527245.0800000001,10903655.9399999995,
