代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10558545.9500000011
真實報酬,558545.9500000011
趨勢值,0.8362935635

選擇檔數,2
找到最佳解世代,2234
找到最佳解實驗,1
Stock#,CAT,WMT,
分配資金,5000000,5000000,
張數,49741,67990,
剩餘資金,34.6800000002,15.3999999996,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),5064165.8900000006,5000000.0000000000,10064165.8900000006,
FS(3),5048746.1800000006,4986402.0000000000,10035148.1799999997,
FS(4),5048248.7700000005,5044873.3999999994,10093122.1699999999,
FS(5),5070632.2200000007,5027875.8999999994,10098508.1200000010,
FS(6),5137285.1600000011,5076828.6999999993,10214113.8600000013,
FS(7),5197969.1800000006,5055751.7999999998,10253720.9800000004,
FS(8),5189513.2100000009,5046233.1999999993,10235746.4100000001,
FS(9),5230798.2400000002,5033315.0999999996,10264113.3399999999,
FS(10),5255668.7400000002,5057791.4999999991,10313460.2400000002,
FS(11),5259648.0200000005,5024476.3999999994,10284124.4199999999,
FS(12),5321326.8600000013,5064590.4999999991,10385917.3600000013,
FS(13),5337243.9800000004,5091106.5999999987,10428350.5800000001,
FS(14),5357140.3800000008,5096545.7999999989,10453686.1799999997,
FS(15),5370570.4500000002,5136659.8999999994,10507230.3499999996,
FS(16),5337741.3900000006,5148898.0999999996,10486639.4900000002,
FS(17),5370570.4500000002,5146178.4999999991,10516748.9499999993,
FS(18),5375047.1400000006,5134620.1999999993,10509667.3399999999,
FS(19),5399420.2300000004,5157056.8999999994,10556477.1299999990,
FS(20),5404394.3300000010,5160456.3999999994,10564850.7300000004,
FS(21),5425285.5500000007,5133260.3999999994,10558545.9500000011,
