代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10877367.6800000016
真實報酬,877367.6800000016
趨勢值,0.2162051904

選擇檔數,1
找到最佳解世代,2400
找到最佳解實驗,1
Stock#,WBA,
分配資金,10000000,
張數,169376,
剩餘資金,40.9600000001,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),10121950.7200000007,10121950.7200000007,
FS(3),10293020.4800000023,10293020.4800000023,
FS(4),10272695.3600000013,10272695.3600000013,
FS(5),10135500.8000000007,10135500.8000000007,
FS(6),10409889.9200000018,10409889.9200000018,
FS(7),10425133.7599999998,10425133.7599999998,
FS(8),10669035.2000000011,10669035.2000000011,
FS(9),10279470.4000000004,10279470.4000000004,
FS(10),10279470.4000000004,10279470.4000000004,
FS(11),10323508.1600000020,10323508.1600000020,
FS(12),10228657.6000000015,10228657.6000000015,
FS(13),10208332.4800000023,10208332.4800000023,
FS(14),10196476.1600000020,10196476.1600000020,
FS(15),10425133.7599999998,10425133.7599999998,
FS(16),10416664.9600000009,10416664.9600000009,
FS(17),10513209.2800000012,10513209.2800000012,
FS(18),10611447.3600000013,10611447.3600000013,
FS(19),10689360.3200000003,10689360.3200000003,
FS(20),10789292.1600000020,10789292.1600000020,
FS(21),10641935.0400000010,10641935.0400000010,
FS(22),10663953.9200000018,10663953.9200000018,
FS(23),10877367.6800000016,10877367.6800000016,
