代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10756543.9000000004
真實報酬,756543.9000000004
趨勢值,0.4046671878

選擇檔數,3
找到最佳解世代,2681
找到最佳解實驗,1
Stock#,BA,MRK,UNH,
分配資金,3333333,3333333,3333333,
張數,25650,58285,33075,
剩餘資金,115.5000000003,13.8500000001,34.5000000000,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3310248.0000000009,3382875.2500000000,3278428.5000000000,9971552.7500000000,
FS(3),3271260.0000000005,3515765.0500000003,3271813.5000000000,10058839.5500000007,
FS(4),3322047.0000000000,3590952.7000000002,3305219.2500000000,10218219.9499999993,
FS(5),3380785.5000000009,3663226.1000000001,3462987.0000000000,10506999.6000000015,
FS(6),3374116.5000000005,3646323.4500000002,3430573.5000000000,10451014.4499999993,
FS(7),3356931.0000000005,3631169.3500000001,3391875.7500000000,10379977.0999999996,
FS(8),3364626.0000000000,3624758.0000000000,3409074.7500000000,10398459.7499999981,
FS(9),3344362.5000000005,3650986.2500000000,3417674.2500000000,10413024.0000000000,
FS(10),3338206.5000000000,3606689.6500000004,3455049.0000000000,10399946.1499999985,
FS(11),3354622.5000000005,3673717.4000000004,3498377.2500000000,10526718.1499999985,
FS(12),3365908.5000000005,3649237.7000000002,3493416.0000000000,10508563.1999999993,
FS(13),3396432.0000000005,3623009.4499999997,3615793.5000000000,10635235.9499999993,
FS(14),3479281.5000000000,3648072.0000000005,3765623.2500000000,10892977.7499999981,
FS(15),3453118.5000000005,3642243.5000000000,3704434.5000000000,10799797.5000000000,
FS(16),3439011.0000000005,3661477.5500000003,3691535.2500000000,10792024.7999999989,
FS(17),3398227.5000000000,3646323.4500000002,3638615.2500000000,10683167.1999999993,
FS(18),3581881.5000000000,3581627.1000000001,3587349.0000000000,10750858.5999999996,
FS(19),3790672.5000000005,3618929.5000000005,3618108.7500000000,11027711.7500000000,
FS(20),3728856.0000000005,3513433.6500000004,3514253.2500000000,10756543.9000000004,
