代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10473758.9499999993
真實報酬,473758.9499999993
趨勢值,0.6465387602

選擇檔數,5
找到最佳解世代,2510
找到最佳解實驗,2
Stock#,CAT,CSCO,CVX,DIS,KO,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,25113,73394,19085,18968,49164,
剩餘資金,0.6800000000,13.5000000000,82.8499999999,14.0800000000,8.4800000000,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2015067.7999999998,1991192.7200000000,2009351.6499999999,2010622.0800000001,2000000.0000000000,10026234.2500000000,
FS(3),2046459.0499999998,1997798.1799999999,2040651.0499999998,2003603.9199999999,2024090.3600000001,10112602.5600000005,
FS(4),2022601.7000000002,2010275.1600000001,2071568.7500000000,1999810.3200000003,2016224.1199999999,10120480.0500000007,
FS(5),2020090.3999999999,2022018.2000000000,2035688.9499999997,2017450.5600000001,2010324.4399999999,10105572.5500000007,
FS(6),2026117.5200000000,2027889.7200000000,2041223.5999999999,2025227.4399999999,2018190.6799999999,10138648.9600000009,
FS(7),2074334.4799999997,2057981.2600000000,2040460.1999999997,2028641.6800000002,2009832.8000000000,10211250.4199999981,
FS(8),2062782.5000000000,2053577.6200000001,2032635.3499999999,2020295.7600000002,2000983.2800000000,10170274.5099999998,
FS(9),2084379.6799999999,2041100.6399999999,2077294.2500000000,2023140.9600000000,1991642.1199999999,10217557.6500000004,
FS(10),2138623.7600000002,2073394.0000000000,2107257.7000000002,2029210.7200000002,1986234.0799999998,10334720.2599999998,
FS(11),2118031.1000000001,2099081.8999999999,2102486.4500000002,2050454.8799999999,1996066.8800000001,10366121.2099999990,
FS(12),2091411.3200000001,2049173.9800000002,2082447.2000000000,2023710.0000000000,1981317.6799999999,10228060.1799999997,
FS(13),2124560.4800000000,2090274.6200000001,2104967.5000000000,2052731.0400000000,1999016.7199999997,10371550.3599999994,
FS(14),2107483.6400000001,2105687.3599999999,2094279.8999999999,2042488.3200000003,2004916.4000000001,10354855.6200000010,
FS(15),2131340.9900000002,2100549.7800000003,2089890.3499999999,2047420.0000000000,2030973.3200000001,10400174.4399999995,
FS(16),2129331.9500000002,2104953.4199999999,2098860.3000000003,2067526.0800000001,2013274.2800000000,10413946.0300000012,
FS(17),2124560.4800000000,2115228.5800000001,2096951.8000000000,2077579.1200000001,2010324.4399999999,10424644.4199999999,
FS(18),2142892.9700000002,2120366.1600000001,2093707.3499999999,2089528.9600000000,2007374.5999999999,10453870.0399999991,
FS(19),2164741.2800000003,2151925.5800000001,2120808.0500000003,2084976.6400000001,2004424.7600000002,10526876.3099999987,
FS(20),2197388.1800000002,2132109.2000000002,2132449.9000000004,2082890.1600000001,1990658.8400000001,10535496.2799999993,
FS(21),2181818.1200000001,2115962.5200000000,2119662.9500000002,2062215.0400000000,1994100.3200000001,10473758.9499999993,
