代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10434702.2999999989
真實報酬,434702.2999999989
趨勢值,0.3277884719

選擇檔數,2
找到最佳解世代,2049
找到最佳解實驗,1
Stock#,JPM,NKE,
分配資金,5000000,5000000,
張數,75665,98270,
剩餘資金,56.8000000001,22.3999999997,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),4995460.0999999996,5017688.5999999996,10013148.6999999993,
FS(3),5046912.2999999998,5037342.5999999996,10084254.8999999985,
FS(4),5018916.2500000000,5009826.9999999991,10028743.2500000000,
FS(5),5101391.0999999996,5013757.7999999998,10115148.8999999985,
FS(6),5061288.6499999994,4984276.7999999989,10045565.4499999993,
FS(7),5083231.5000000000,4980345.9999999991,10063577.5000000000,
FS(8),5164949.7000000002,5077633.2999999998,10242583.0000000000,
FS(9),5184622.5999999996,5104166.1999999993,10288788.7999999989,
FS(10),5164193.0499999998,5099252.6999999993,10263445.7500000000,
FS(11),5144520.1499999994,5078615.9999999991,10223136.1499999985,
FS(12),5173272.8500000006,5137578.0000000000,10310850.8499999996,
FS(13),5155869.8999999994,5147405.0000000000,10303274.8999999985,
FS(14),5204295.5000000000,5208332.3999999994,10412627.8999999985,
FS(15),5151330.0000000000,5234865.2999999998,10386195.2999999989,
FS(16),5217915.1999999993,5247640.3999999994,10465555.5999999978,
FS(17),5277690.5499999998,5267294.3999999994,10544984.9499999993,
FS(18),5222455.0999999996,5219142.0999999996,10441597.1999999993,
FS(19),5194459.0499999998,5170007.0999999996,10364466.1499999985,
FS(20),5217158.5499999998,5391114.5999999996,10608273.1499999985,
FS(21),5084744.7999999998,5290879.2000000002,10375624.0000000000,
FS(22),5127117.2000000002,5307585.0999999996,10434702.2999999989,
