代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10601532.2900000010
真實報酬,601532.2900000010
趨勢值,0.4862916563

選擇檔數,3
找到最佳解世代,2099
找到最佳解實驗,1
Stock#,TRV,V,WMT,
分配資金,3333333,3333333,3333333,
張數,33568,49127,46373,
剩餘資金,30.6000000001,66.0500000003,41.7600000002,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3330983.2400000002,3352492.5300000003,3332405.5400000000,10015882.3100000005,
FS(3),3321248.5200000000,3346597.2900000005,3363475.4500000002,10031322.2599999998,
FS(4),3357837.6400000001,3329402.8400000003,3421905.4300000006,10109146.9100000001,
FS(5),3315206.2800000003,3278310.7600000002,3388053.1400000001,9981571.1800000016,
FS(6),3359180.3599999999,3294031.3999999999,3375068.7000000002,10028281.4599999990,
FS(7),3390398.6000000001,3361335.3900000001,3390835.5200000005,10142570.5099999998,
FS(8),3435044.0400000000,3415375.0900000003,3426079.0000000000,10276499.1299999990,
FS(9),3436722.4399999999,3443868.7500000000,3421905.4300000006,10302497.6199999992,
FS(10),3438065.1600000001,3439938.5900000003,3415413.2100000004,10293417.9600000009,
FS(11),3467269.3200000003,3466958.4399999999,3423760.3500000001,10357989.1099999994,
FS(12),3455520.5200000000,3482187.8100000001,3403356.2300000004,10341065.5600000005,
FS(13),3444443.0800000001,3571598.9500000007,3389908.0600000001,10405951.0899999999,
FS(14),3507215.2400000002,3538192.5900000003,3373213.7799999998,10418622.6099999994,
FS(15),3534741.0000000000,3535736.2400000002,3392690.4399999999,10463168.6799999997,
FS(16),3534741.0000000000,3524928.3000000003,3362547.9900000007,10422218.2900000010,
FS(17),3533733.9600000000,3674765.6499999999,3319421.1000000001,10527921.7100000009,
FS(18),3544475.7200000002,3628586.2700000000,3310146.5000000000,10483209.4900000002,
FS(19),3556224.5200000000,3671818.0300000003,3343535.0600000001,10571578.6099999994,
FS(20),3572672.8400000003,3734209.3200000003,3349563.5500000003,10656446.7100000009,
FS(21),3575022.6000000001,3752386.3100000001,3346317.4399999999,10673727.3499999996,
FS(22),3562266.7600000002,3701294.2300000004,3337970.3000000003,10601532.2900000010,
