代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10097393.6199999992
真實報酬,97393.6199999992
趨勢值,0.0436939086

選擇檔數,1
找到最佳解世代,2416
找到最佳解實驗,1
Stock#,AXP,
分配資金,10000000,
張數,131613,
剩餘資金,44.2599999995,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),9965780.6199999992,9965780.6199999992,
FS(3),9948670.9299999997,9948670.9299999997,
FS(4),9871019.2599999998,9871019.2599999998,
FS(5),10492232.6199999992,10492232.6199999992,
FS(6),10694916.6400000006,10694916.6400000006,
FS(7),10705445.6799999997,10705445.6799999997,
FS(8),10660697.2599999998,10660697.2599999998,
FS(9),10629110.1400000006,10629110.1400000006,
FS(10),10648852.0899999999,10648852.0899999999,
FS(11),10660697.2599999998,10660697.2599999998,
FS(12),10692284.3799999990,10692284.3799999990,
FS(13),10654116.6099999994,10654116.6099999994,
FS(14),10365884.1400000006,10365884.1400000006,
FS(15),10138193.6500000004,10138193.6500000004,
FS(16),9824954.7100000009,9824954.7100000009,
FS(17),9676232.0199999996,9676232.0199999996,
FS(18),9953935.4499999993,9953935.4499999993,
FS(19),10118451.6999999993,10118451.6999999993,
FS(20),10088180.7100000009,10088180.7100000009,
FS(21),10097393.6199999992,10097393.6199999992,
