代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10930651.5700000003
真實報酬,930651.5700000003
趨勢值,0.3761795812

選擇檔數,2
找到最佳解世代,2661
找到最佳解實驗,1
Stock#,MCD,NKE,
分配資金,5000000,5000000,
張數,53493,92047,
剩餘資金,9.2900000001,6.9600000000,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),5137477.0100000007,5094808.4100000001,10232285.4199999999,
FS(3),5135872.2200000007,5102172.1699999999,10238044.3900000006,
FS(4),5073820.3399999999,5048784.9100000001,10122605.2500000000,
FS(5),5177061.8300000001,5143593.3200000003,10320655.1500000004,
FS(6),5104846.2800000003,5056148.6699999999,10160994.9500000011,
FS(7),5095217.5400000000,5080080.8899999997,10175298.4299999997,
FS(8),5210762.4199999999,5146354.7299999995,10357117.1500000004,
FS(9),5187225.5000000000,5150036.6100000003,10337262.1099999994,
FS(10),5252486.9600000000,5239322.2000000002,10491809.1600000001,
FS(11),5279233.4600000000,5319403.0899999999,10598636.5500000007,
FS(12),5233764.4100000001,5305596.0400000000,10539360.4499999993,
FS(13),5191504.9399999995,5295470.8700000001,10486975.8099999987,
FS(14),5236973.9900000002,5364506.1200000001,10601480.1099999994,
FS(15),5199528.8900000006,5337812.4900000002,10537341.3800000008,
FS(16),5209157.6299999999,5312959.7999999998,10522117.4299999997,
FS(17),5204343.2600000007,5283504.7599999998,10487848.0200000014,
FS(18),5220391.1600000001,5752944.4600000000,10973335.6200000010,
FS(19),5133197.5699999994,5621317.2500000000,10754514.8199999984,
FS(20),5214506.9300000006,5508099.4400000004,10722606.3700000010,
FS(21),5270674.5800000001,5659976.9900000002,10930651.5700000003,
