代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10855602.8500000015
真實報酬,855602.8500000015
趨勢值,1.0225237645

選擇檔數,8
找到最佳解世代,1961
找到最佳解實驗,1
Stock#,AAPL,DIS,NKE,PG,TRV,UNH,VZ,XOM,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,11407,12174,20187,17373,12711,10719,29096,16878,
剩餘資金,20.9400000000,95.4200000000,20.9600000000,12.6500000000,0.2600000000,57.4100000000,35.8400000000,15.3200000000,
FS(1),1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,10000000.0000000000,
FS(2),1259125.5999999999,1254017.4199999999,1263929.0300000000,1258165.3099999998,1271481.5900000001,1273796.1799999999,1246508.4800000002,1280717.9600000000,10107741.5700000003,
FS(3),1263688.3999999999,1264365.3199999998,1254441.1399999999,1272063.7100000000,1294742.7200000000,1282585.7600000000,1280259.8400000001,1296414.5000000000,10208561.3900000006,
FS(4),1269734.1099999999,1263391.3999999999,1243540.1599999999,1275190.8500000001,1284701.0300000000,1243997.3599999999,1282005.6000000001,1314642.7400000000,10177203.2500000000,
FS(5),1263688.3999999999,1258765.2800000000,1232437.3099999998,1280750.2100000000,1298683.1300000001,1248070.5800000001,1275895.4400000002,1336752.9200000002,10195043.2699999996,
FS(6),1249087.4399999999,1273617.5599999998,1260900.9800000000,1292563.8500000001,1310377.2500000000,1244318.9299999999,1286951.9199999999,1350761.6600000001,10268579.5899999999,
FS(7),1278973.7800000000,1285182.8599999999,1261102.8499999999,1293953.6899999999,1308470.6000000001,1278512.5399999998,1284915.2000000000,1337765.6000000001,10328877.1200000010,
FS(8),1273042.1399999999,1294800.3199999998,1276243.0999999999,1291347.7400000000,1318385.1799999999,1313242.0999999999,1288988.6399999999,1338440.7200000000,10394489.9400000013,
FS(9),1275209.4700000000,1297722.0800000001,1269985.1299999999,1287525.6799999999,1313173.6699999999,1329106.2200000000,1290734.4000000001,1336077.8000000000,10399534.4500000011,
FS(10),1257186.4099999999,1287252.4399999999,1270187.0000000000,1289262.9799999997,1306309.7300000000,1308525.7399999998,1279968.8800000001,1352955.8000000000,10351648.9800000023,
FS(11),1276007.9600000000,1313548.2800000000,1300063.7600000000,1290305.3599999999,1334146.8199999998,1288159.6399999999,1299754.1600000001,1375234.7600000002,10477220.7400000002,
FS(12),1266654.2200000000,1317809.1799999999,1317020.8399999999,1301250.3500000001,1346095.1600000001,1286123.0300000000,1300627.0400000003,1392112.7600000002,10527692.5800000001,
FS(13),1274525.0500000000,1332783.2000000000,1344677.0300000000,1305767.3299999998,1351433.7800000000,1294162.2800000000,1300627.0400000003,1366964.5400000000,10570940.2500000000,
FS(14),1297795.3299999998,1337287.5800000001,1336198.4900000000,1293085.0400000000,1384863.7100000000,1290839.3899999999,1316338.8800000001,1364264.0600000001,10620672.4800000023,
FS(15),1297681.2600000000,1340331.0800000001,1337207.8399999999,1278491.7200000000,1407107.9600000000,1266078.5000000000,1305282.4000000001,1353799.7000000000,10585980.4600000009,
FS(16),1317529.4399999999,1378800.9199999999,1336602.2299999997,1300381.6999999997,1427699.7800000000,1219986.8000000000,1335251.2800000000,1399032.7400000000,10715284.8900000006,
FS(17),1358366.5000000000,1376853.0800000001,1317626.4500000000,1338254.8399999999,1427191.3400000001,1242603.8899999999,1343107.2000000000,1400551.7600000002,10804555.0600000005,
FS(18),1315019.8999999999,1382087.8999999999,1326104.9900000000,1346246.4199999999,1433419.7300000000,1249142.4800000000,1348926.4000000001,1370846.4800000000,10771794.3000000007,
FS(19),1306692.7899999998,1385131.3999999999,1320452.6299999999,1342771.8200000001,1441554.7700000000,1279584.4399999999,1343398.1600000001,1368652.3400000001,10788238.3499999996,
FS(20),1360533.8299999998,1392070.5800000001,1325297.5100000000,1329220.8799999999,1452359.1200000001,1283979.2300000000,1352417.9199999999,1388737.1600000001,10884616.2300000004,
FS(21),1374906.6499999999,1400592.3799999999,1323480.6799999999,1338081.1099999999,1452740.4500000002,1283228.8999999999,1350090.2400000000,1387893.2600000002,10911013.6699999999,
FS(22),1363157.4399999999,1384766.1799999999,1322673.2000000000,1326962.3899999999,1434945.0500000000,1262541.2300000000,1364056.3200000001,1396501.0400000000,10855602.8500000015,
