代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10394661.7100000028
真實報酬,394661.7100000028
趨勢值,0.5235528916

選擇檔數,6
找到最佳解世代,2481
找到最佳解實驗,1
Stock#,CSCO,GS,JPM,NKE,PG,V,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,54235,10536,26123,30078,19287,21296,
剩餘資金,24.4500000000,81.5199999999,18.6000000001,44.0200000001,76.3300000001,41.0399999999,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,10000000.0000000019,
FS(2),1660700.1499999999,1644329.6799999999,1662747.5500000000,1651927.7800000000,1673416.4500000002,1667091.9199999999,9960217.5300000012,
FS(3),1666123.6499999999,1668351.7600000000,1689131.7800000000,1646814.5200000000,1658179.7200000000,1676249.1999999997,10004854.6300000008,
FS(4),1670462.4500000000,1665296.3200000001,1686519.4800000002,1648017.6399999999,1659722.6799999999,1692647.1199999999,10022669.6900000013,
FS(5),1683478.8499999999,1707861.7600000000,1731973.5000000000,1679900.3200000001,1654515.1900000002,1706702.4799999997,10164436.0999999996,
FS(6),1681851.8000000000,1715658.4000000001,1726748.8999999999,1683810.4600000000,1654129.4500000002,1702656.2399999998,10164859.2500000000,
FS(7),1678055.3500000001,1722085.3600000001,1720740.6100000001,1677494.0800000001,1658565.4600000000,1704998.7999999998,10161943.6600000020,
FS(8),1673174.2000000000,1708915.3600000001,1705328.0400000000,1658244.1600000001,1664737.3000000000,1696906.3200000001,10107309.3800000008,
FS(9),1678597.7000000000,1726510.4800000002,1710030.1799999999,1706368.9600000000,1672837.8400000001,1706276.5599999998,10200625.7200000007,
FS(10),1674258.8999999999,1720083.5200000000,1706372.9600000000,1697947.1200000001,1678816.8100000003,1704146.9599999997,10181630.2699999996,
FS(11),1691614.1000000001,1744316.3200000001,1716822.1600000001,1707572.0800000001,1678431.0700000001,1723100.3999999997,10261860.1300000008,
FS(12),1687817.6499999999,1745369.9200000002,1716560.9299999999,1710880.6600000001,1669944.7900000000,1720970.7999999998,10251548.7500000000,
FS(13),1666123.6499999999,1745580.6399999999,1721263.0700000001,1710279.1000000001,1677273.8499999999,1721609.6799999999,10242133.9900000021,
FS(14),1653107.2500000000,1749689.6799999999,1722830.4500000002,1720806.4000000001,1686531.6100000001,1709470.9599999997,10242440.3499999996,
FS(15),1655276.6499999999,1751480.7999999998,1720479.3800000001,1771638.2200000000,1684024.3000000000,1713730.1599999997,10296633.5099999998,
FS(16),1661242.5000000000,1751796.8799999999,1718912.0000000000,1764419.5000000000,1675152.2800000000,1726294.7999999998,10297821.9600000009,
FS(17),1680224.7500000000,1749900.4000000001,1718128.3100000001,1793294.3799999999,1685760.1300000001,1720757.8399999999,10348069.8100000024,
FS(18),1684563.5499999998,1741682.3200000001,1722830.4500000002,1811341.1799999999,1684024.3000000000,1709896.8799999999,10354342.6800000016,
FS(19),1697037.5999999999,1748003.9200000002,1725965.2100000000,1781864.7400000000,1695403.6300000001,1710535.7599999995,10358814.8600000013,
FS(20),1700291.7000000000,1748741.4399999999,1729883.6600000001,1774646.0200000000,1689231.7900000000,1715859.7599999995,10358658.3700000010,
FS(21),1712765.7499999998,1758223.8400000001,1748953.4500000002,1763517.1600000001,1703118.4299999999,1722248.5599999998,10408831.1899999995,
FS(22),1710596.3499999999,1784563.8400000001,1763321.1000000001,1744568.0200000000,1688460.3100000003,1728637.3599999999,10420150.9800000004,
FS(23),1705172.8500000001,1785512.0800000001,1763321.1000000001,1733739.9399999999,1684024.3000000000,1722887.4399999999,10394661.7100000028,
