代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10543857.7100000009
真實報酬,543857.7100000009
趨勢值,1.7697098909

選擇檔數,8
找到最佳解世代,2117
找到最佳解實驗,1
Stock#,BA,CVX,KO,MRK,NKE,PFE,TRV,UTX,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,7623,11261,30295,20128,23576,39469,10725,11554,
剩餘資金,56.6900000000,29.0000000000,28.3000000001,51.2000000000,0.4799999999,16.7699999999,108.4999999999,88.2799999999,
FS(1),1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,10000000.0000000019,
FS(2),1236964.6699999999,1263625.8099999998,1254241.3000000000,1291866.2400000000,1244813.2800000000,1252368.1400000001,1261690.2500000000,1252079.7200000000,10057649.4100000001,
FS(3),1238031.8899999999,1278940.7700000000,1258482.6000000001,1294080.3200000001,1234439.8400000001,1266576.9800000002,1263299.0000000000,1266984.3800000001,10100835.7800000012,
FS(4),1250076.2300000000,1272296.7800000000,1259088.5000000000,1307163.5200000000,1244813.2800000000,1272102.6399999999,1262119.2500000000,1278885.0000000000,10146545.2000000030,
FS(5),1269286.1899999999,1254391.7900000000,1269388.8000000000,1292268.8000000000,1245049.0400000000,1266182.2900000000,1263084.5000000000,1285470.7800000000,10145122.1899999995,
FS(6),1248780.3200000001,1256531.3799999999,1273024.2000000002,1294684.1599999999,1270275.3600000001,1268550.4299999999,1263620.7500000000,1275649.8800000001,10151116.4800000004,
FS(7),1252363.1299999999,1264188.8600000001,1249697.0500000000,1296093.1199999999,1303989.0400000000,1278022.9900000002,1274024.0000000000,1272068.1400000001,10190446.3300000001,
FS(8),1267227.9800000000,1273085.0500000000,1229399.3999999999,1291262.4000000001,1325443.2000000000,1276838.9200000002,1284212.7500000000,1283159.9800000000,10230629.6799999997,
FS(9),1280949.3799999999,1282769.5100000000,1230611.2000000000,1303741.7599999998,1322378.3200000001,1287100.8600000001,1283998.2500000000,1294367.3599999999,10285916.6399999987,
FS(10),1284532.1899999999,1267116.7200000000,1227884.6500000001,1321655.6799999999,1330865.6799999999,1292626.5200000000,1289682.5000000000,1289168.0600000001,10303532.0000000000,
FS(11),1290630.5900000001,1267679.7700000000,1225158.1000000001,1311591.6799999999,1335345.1199999999,1322622.9600000000,1297619.0000000000,1293096.4199999999,10343743.6400000006,
FS(12),1302141.3200000001,1246396.4800000000,1248182.3000000000,1313604.4800000000,1327093.5200000000,1326964.5499999998,1306306.2500000000,1294945.0600000001,10365633.9600000009,
FS(13),1316625.0200000000,1242455.1299999999,1249091.1499999999,1316221.1199999999,1337938.4800000000,1326964.5499999998,1308022.2500000000,1295869.3800000001,10393187.0800000019,
FS(14),1338350.5700000001,1258107.9199999999,1256059.0000000000,1318032.6400000001,1352319.8400000001,1326964.5499999998,1303732.2500000000,1299913.2800000000,10453480.0500000007,
FS(15),1336825.9700000000,1243018.1799999999,1260300.3000000000,1314208.3200000001,1373066.7200000000,1325780.4800000002,1307486.0000000000,1301761.9199999999,10462447.8900000025,
FS(16),1348260.4700000000,1250225.2200000000,1262118.0000000000,1325479.9999999998,1353027.1199999999,1344330.9100000001,1312419.5000000000,1295176.1400000001,10491037.3599999994,
FS(17),1352681.8099999998,1240090.3200000001,1265753.4000000001,1331719.6799999999,1364107.8400000001,1352224.7100000000,1311454.2500000000,1299451.1199999999,10517483.1299999990,
FS(18),1367851.5800000001,1258445.7500000000,1262420.9500000002,1325479.9999999998,1360099.9199999999,1353014.0900000001,1308987.5000000000,1303495.0200000000,10539794.8100000024,
FS(19),1373949.9800000000,1266891.5000000000,1271206.5000000000,1325882.5600000001,1347604.6399999999,1346699.0499999998,1311132.5000000000,1300490.9800000000,10543857.7100000009,
