代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10152645.2300000004
真實報酬,152645.2300000004
趨勢值,0.2021343610

選擇檔數,4
找到最佳解世代,1770
找到最佳解實驗,1
Stock#,AAPL,DIS,JNJ,KO,
分配資金,2500000,2500000,2500000,2500000,
張數,17883,22514,20184,59297,
剩餘資金,135.4300000001,45.4399999999,9.7600000000,38.4800000002,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2485157.1100000003,2489868.7000000002,2495357.6800000002,2518382.0699999998,9988765.5600000005,
FS(3),2499821.1700000004,2504502.7999999998,2498587.1200000006,2518975.0399999996,10021886.1300000008,
FS(4),2491952.6500000004,2491669.8199999998,2496972.3999999999,2501185.9399999999,9981780.8100000005,
FS(5),2495171.5900000003,2495947.4800000000,2499394.4800000000,2489919.5100000002,9980433.0599999987,
FS(6),2485872.4300000002,2495497.2000000002,2504844.1600000001,2489919.5100000002,9976133.2999999989,
FS(7),2480149.8700000001,2499774.8599999999,2542184.5600000005,2492291.3900000001,10014400.6799999997,
FS(8),2488376.0499999998,2497298.3199999998,2547432.3999999999,2507708.6099999999,10040815.3799999990,
FS(9),2489449.0299999998,2510806.7199999997,2556918.8800000004,2492291.3900000001,10049466.0199999996,
FS(10),2485693.6000000006,2528592.7799999998,2564386.9600000000,2488733.5699999998,10067406.9100000001,
FS(11),2511981.6100000003,2518686.6200000001,2602938.4000000004,2497628.1199999996,10131234.7500000000,
FS(12),2516094.7000000002,2515084.3799999999,2592846.4000000004,2505336.7300000000,10129362.2100000009,
FS(13),2503576.6000000006,2516210.0800000001,2584772.8000000003,2492291.3900000001,10096850.8699999992,
FS(14),2529864.6100000003,2537598.3799999999,2584974.6400000001,2501185.9399999999,10153623.5700000003,
FS(15),2500894.1500000004,2515984.9399999999,2568423.7600000002,2520160.9800000000,10105463.8300000001,
FS(16),2529149.2900000000,2523414.5600000001,2548441.6000000006,2513045.3400000003,10114050.7899999991,
FS(17),2520207.7900000000,2527016.7999999998,2541175.3600000003,2500592.9700000002,10088992.9199999999,
FS(18),2515200.5499999998,2524765.3999999999,2532698.0800000005,2497628.1199999996,10070292.1500000004,
FS(19),2519492.4700000002,2530168.7599999998,2539156.9600000000,2509487.5200000000,10098305.7099999990,
FS(20),2571710.8300000005,2545253.1399999997,2536331.2000000002,2516010.1899999999,10169305.3599999994,
FS(21),2577433.3900000001,2533545.8599999999,2521395.0400000005,2515417.2200000002,10147791.5099999998,
FS(22),2574035.6200000001,2548179.9600000000,2516147.2000000002,2526090.6800000002,10164453.4599999990,
FS(23),2569207.2100000000,2552907.8999999999,2513926.9600000000,2516603.1599999997,10152645.2300000004,
