代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10300510.4799999986
真實報酬,300510.4799999986
趨勢值,0.4812257256

選擇檔數,3
找到最佳解世代,2638
找到最佳解實驗,1
Stock#,CAT,MCD,PG,
分配資金,3333333,3333333,3333333,
張數,29472,21639,36589,
剩餘資金,49.8000000002,61.4400000002,75.1000000002,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3333038.2800000003,3388512.4500000002,3331137.6600000001,10052689.3900000006,
FS(3),3346890.1200000006,3348047.5200000000,3324551.6400000001,10019490.2799999993,
FS(4),3370173.0000000000,3328572.4199999999,3317599.7300000000,10016346.1500000004,
FS(5),3380782.9199999999,3353457.2700000000,3345773.2600000002,10080014.4499999993,
FS(6),3371941.3200000003,3352375.3199999998,3350895.7200000002,10075213.3599999994,
FS(7),3369878.2800000003,3352375.3199999998,3363335.9800000000,10085590.5800000001,
FS(8),3334806.6000000006,3389161.6200000001,3356749.9600000000,10080719.1799999997,
FS(9),3325965.0000000000,3403876.1400000001,3342114.3600000003,10071956.5000000000,
FS(10),3351310.9199999999,3403010.5799999996,3353456.9500000002,10107779.4499999993,
FS(11),3349542.6000000006,3410800.6200000001,3373580.9000000004,10133925.1200000010,
FS(12),3363394.4400000004,3438498.5400000000,3382362.2600000002,10184256.2400000002,
FS(13),3334511.8800000004,3416643.1499999994,3368824.3300000001,10119980.3599999994,
FS(14),3357500.0400000005,3413830.0799999996,3383459.9300000002,10154791.0499999989,
FS(15),3348069.0000000000,3426813.4800000004,3397729.6400000001,10172613.1199999992,
FS(16),3413496.8399999999,3454511.3999999994,3395168.4100000001,10263177.6499999985,
FS(17),3381961.8000000003,3436551.0299999998,3382362.2600000002,10200876.0899999999,
FS(18),3382845.9600000004,3427895.4299999997,3376142.1299999999,10186884.5199999996,
FS(19),3399645.0000000000,3436767.4199999999,3384923.4900000002,10221336.9100000001,
FS(20),3391392.8399999999,3455160.5699999998,3383459.9300000002,10230014.3399999980,
FS(21),3419096.5200000005,3448885.2599999998,3377971.5800000001,10245954.3599999994,
FS(22),3464483.4000000004,3452131.1099999999,3361506.5300000003,10278122.0400000010,
FS(23),3462715.0800000001,3461652.2700000000,3376142.1299999999,10300510.4799999986,
