代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10414569.8499999996
真實報酬,414569.8499999996
趨勢值,0.9009773075

選擇檔數,4
找到最佳解世代,2867
找到最佳解實驗,10
Stock#,KO,MCD,NKE,PG,
分配資金,2500000,2500000,2500000,2500000,
張數,54585,15026,45396,28772,
剩餘資金,7.0000000002,124.3799999999,42.2800000000,0.9200000000,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2504366.8000000003,2525994.9800000000,2502269.7999999998,2489066.6400000001,10021698.2200000007,
FS(3),2509279.4499999997,2534259.2799999998,2529053.4399999999,2491080.6799999997,10063672.8499999996,
FS(4),2481986.9499999997,2555596.1999999997,2544034.1199999996,2475831.5200000000,10057448.7899999991,
FS(5),2507641.8999999999,2566114.3999999999,2503631.6799999997,2502589.4800000000,10079977.4600000009,
FS(6),2520742.2999999998,2556046.9800000000,2531323.2399999998,2519852.6799999997,10127965.1999999993,
FS(7),2523471.5499999998,2509466.3799999999,2548119.7599999998,2525607.0800000001,10106664.7699999996,
FS(8),2540392.8999999999,2488279.7199999997,2546303.9199999999,2536540.4399999999,10111516.9800000004,
FS(9),2550218.1999999997,2515026.0000000000,2538132.6399999997,2560708.9199999999,10164085.7599999998,
FS(10),2588973.5499999998,2526145.2400000002,2541310.3599999999,2556968.5600000001,10213397.7100000009,
FS(11),2555130.8500000001,2514274.6999999997,2570817.7599999998,2538554.4800000000,10178777.7900000010,
FS(12),2540938.7500000000,2525844.7199999997,2598055.3599999999,2567901.9199999999,10232740.7500000000,
FS(13),2495087.3500000001,2505259.1000000001,2687031.5199999996,2544308.8800000004,10231686.8500000015,
FS(14),2481441.1000000001,2508414.5600000001,2689755.2799999998,2539705.3599999999,10219316.3000000007,
FS(15),2498908.3000000003,2529000.1800000002,2696110.7199999997,2552652.7599999998,10276671.9600000009,
FS(16),2502183.4000000004,2540269.6800000002,2681584.0000000000,2541431.6799999997,10265468.7599999998,
FS(17),2504366.8000000003,2541171.2400000002,2692933.0000000000,2544884.3199999998,10283355.3599999994,
FS(18),2505458.5000000000,2538917.3399999999,2707005.7599999998,2559558.0399999996,10310939.6400000006,
FS(19),2501637.5499999998,2574679.2199999997,2704735.9599999995,2572217.7200000002,10353270.4499999993,
FS(20),2483624.5000000000,2561005.5600000001,2740144.8399999999,2571642.2799999998,10356417.1799999997,
FS(21),2498362.4500000002,2584145.6000000001,2742868.6000000001,2589193.1999999997,10414569.8499999996,
