代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10959084.5099999998
真實報酬,959084.5099999998
趨勢值,0.9971809964

選擇檔數,7
找到最佳解世代,2582
找到最佳解實驗,1
Stock#,BA,GS,IBM,NKE,TRV,UTX,WMT,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,4812,5587,9261,22500,10824,11146,14490,
剩餘資金,176.9200000001,142.7100000001,61.7500000000,46.0000000000,19.4800000001,99.6400000000,1.9000000000,
FS(1),1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,9999999.9999999981,
FS(2),1433190.5200000003,1415273.9399999999,1467837.6400000001,1428346.0000000000,1433117.0800000003,1449525.4800000000,1441032.3999999999,10068326.0600000005,
FS(3),1427752.9600000002,1435051.9199999999,1497565.4500000000,1427446.0000000000,1433117.0800000003,1454095.3400000001,1442336.5000000000,10117368.2500000000,
FS(4),1486315.0000000000,1427732.9500000000,1504881.6400000001,1439596.0000000000,1430519.3200000001,1466578.8600000001,1450885.5999999999,10206512.3699999992,
FS(5),1492618.7200000000,1407005.1799999999,1513957.4199999999,1452421.0000000000,1422834.2800000000,1480511.3600000001,1472330.7999999998,10241681.7600000016,
FS(6),1532462.0800000003,1418905.4900000000,1517291.3800000001,1442071.0000000000,1433874.7600000002,1496673.0600000003,1454653.0000000000,10295933.7700000014,
FS(7),1541268.0400000000,1421084.4199999999,1520532.7300000000,1444996.0000000000,1429978.1200000003,1503695.0400000003,1444220.2000000000,10305777.5500000026,
FS(8),1579090.3600000001,1425554.0200000000,1520717.9500000000,1446571.0000000002,1432467.6400000004,1504698.1800000002,1449291.7000000000,10358393.8500000015,
FS(9),1618019.4399999999,1436169.3199999998,1510901.2899999998,1455121.0000000000,1458337.0000000000,1522420.3200000003,1461608.2000000000,10462579.5700000003,
FS(10),1612966.8400000003,1444158.7299999997,1517476.5999999999,1426996.0000000000,1466887.9600000004,1493329.2600000000,1458999.9999999998,10420818.3900000006,
FS(11),1689237.0400000000,1417285.2600000000,1561929.4000000001,1435771.0000000000,1481392.1200000003,1498344.9600000000,1488124.8999999999,10572087.6800000016,
FS(12),1637026.8400000003,1402312.0999999999,1566282.0700000001,1442521.0000000000,1486587.6400000004,1500462.7000000002,1511308.8999999999,10546504.2500000000,
FS(13),1625333.6800000002,1431085.1499999999,1503770.3200000001,1512270.9999999998,1492107.8800000001,1514841.0400000003,1515511.0000000000,10594923.0700000003,
FS(14),1626632.9200000002,1461254.9500000000,1505900.3499999999,1493821.0000000000,1508343.8800000001,1507150.3000000003,1527972.3999999999,10631078.8000000007,
FS(15),1615036.0000000000,1453265.5399999998,1539703.0000000000,1510696.0000000000,1583137.7200000002,1516290.0200000003,1534492.8999999999,10752624.1800000016,
FS(16),1610705.2000000002,1484496.8700000001,1531553.3200000001,1530046.0000000000,1597858.3600000003,1512388.9200000002,1532899.0000000000,10799950.6699999999,
FS(17),1651222.2400000002,1503213.3199999998,1532479.4199999999,1523520.9999999998,1607058.7600000002,1535461.1400000001,1544635.8999999999,10897594.7799999993,
FS(18),1651751.5600000003,1498240.8899999999,1549797.4900000000,1530946.0000000002,1617341.5600000001,1538024.7200000000,1570573.0000000000,10956678.2199999988,
FS(19),1640202.7600000000,1522488.4700000000,1544796.5500000000,1520596.0000000000,1612362.5200000003,1523423.4600000000,1587381.3999999999,10951254.1600000001,
FS(20),1625237.4399999999,1502710.4900000000,1515346.5700000001,1514971.0000000000,1609764.7600000002,1521528.6400000001,1561009.5999999999,10850571.5000000000,
FS(21),1705405.3600000001,1496844.1399999999,1516087.4500000000,1534996.0000000000,1622753.5600000001,1538359.1000000001,1544635.8999999999,10959084.5099999998,
