代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10738608.6399999987
真實報酬,738608.6399999987
趨勢值,0.0656088082

選擇檔數,1
找到最佳解世代,2426
找到最佳解實驗,1
Stock#,CSCO,
分配資金,10000000,
張數,239808,
剩餘資金,6.3999999993,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),9815347.8399999980,9815347.8399999980,
FS(3),9299760.6399999987,9299760.6399999987,
FS(4),9633093.7599999998,9633093.7599999998,
FS(5),9673861.1199999992,9673861.1199999992,
FS(6),9297362.5599999987,9297362.5599999987,
FS(7),9479616.6399999987,9479616.6399999987,
FS(8),9736211.1999999993,9736211.1999999993,
FS(9),9887290.2399999984,9887290.2399999984,
FS(10),10093525.1199999992,10093525.1199999992,
FS(11),10570743.0399999972,10570743.0399999972,
FS(12),10630695.0399999972,10630695.0399999972,
FS(13),10565946.8799999990,10565946.8799999990,
FS(14),10386090.8799999990,10386090.8799999990,
FS(15),10297361.9199999981,10297361.9199999981,
FS(16),10551558.3999999985,10551558.3999999985,
FS(17),10877697.2799999975,10877697.2799999975,
FS(18),10800958.7199999988,10800958.7199999988,
FS(19),10738608.6399999987,10738608.6399999987,
