代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10464980.4400000013
真實報酬,464980.4400000013
趨勢值,0.1582063967

選擇檔數,2
找到最佳解世代,2229
找到最佳解實驗,1
Stock#,INTC,MCD,
分配資金,5000000,5000000,
張數,104515,32113,
剩餘資金,2.3999999996,5.9000000004,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000019,
FS(2),5119147.0999999987,4761400.4100000011,9880547.5099999998,
FS(3),5199623.6499999994,4850032.2900000000,10049655.9400000013,
FS(4),5299958.0499999998,4855491.5000000000,10155449.5500000007,
FS(5),5363712.1999999993,4893384.8399999999,10257097.0400000010,
FS(6),5303093.5000000000,4959537.6200000001,10262631.1200000010,
FS(7),5454640.2499999991,5049454.0200000005,10504094.2700000014,
FS(8),5384615.2000000002,5065510.5200000005,10450125.7200000025,
FS(9),5411789.0999999996,5080924.7600000007,10492713.8600000013,
FS(10),5420150.2999999998,5081567.0200000005,10501717.3200000022,
FS(11),5317725.5999999996,5189787.8300000010,10507513.4300000016,
FS(12),5348034.9499999993,5213872.5800000010,10561907.5300000012,
FS(13),5312499.8499999996,5106294.0300000003,10418793.8800000008,
FS(14),5387750.6499999994,5118175.8399999999,10505926.4900000002,
FS(15),5388795.7999999998,5095054.4800000004,10483850.2800000012,
FS(16),5312499.8499999996,5043031.4199999999,10355531.2700000014,
FS(17),5158862.7999999998,4976878.6399999997,10135741.4400000013,
FS(18),5484949.5999999987,5074181.0300000003,10559130.6299999990,
FS(19),5350125.2499999991,5057161.1399999997,10407286.3900000006,
FS(20),5183946.3999999994,5087026.2300000004,10270972.6300000008,
FS(21),5443143.5999999996,5021836.8399999999,10464980.4400000013,
