代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11017900.3900000006
真實報酬,1017900.3900000006
趨勢值,0.6475920402

選擇檔數,7
找到最佳解世代,2034
找到最佳解實驗,1
Stock#,BA,GS,IBM,MCD,PG,TRV,WBA,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,4411,8304,12399,8114,15650,12171,20996,
剩餘資金,245.0900000000,33.8800000000,82.2100000001,20.1600000000,39.0000000000,60.7299999999,3.1599999999,
FS(1),1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,10000000.0000000000,
FS(2),1371624.9900000000,1407644.9199999999,1400053.2999999998,1419158.7600000000,1418555.0000000000,1402890.1899999999,1413663.8399999999,9833594.0000000000,
FS(3),1442994.9700000000,1453649.0800000001,1454732.8899999999,1446584.0799999998,1447507.5000000000,1444515.0100000000,1460694.8799999999,10150681.4100000001,
FS(4),1447538.3000000000,1461703.9600000000,1465024.0600000001,1462325.2400000000,1441717.0000000000,1439890.0300000000,1469093.2799999998,10187294.8699999992,
FS(5),1502322.9199999999,1456306.3599999999,1485854.3799999999,1465408.5599999998,1447038.0000000000,1434291.3700000001,1498487.6799999999,10289712.2700000014,
FS(6),1516879.2200000000,1465440.7599999998,1496517.5200000000,1462893.2199999997,1423406.5000000000,1444515.0100000000,1516544.2400000000,10326199.4699999988,
FS(7),1555607.8000000000,1461537.8799999999,1510156.4199999999,1473116.8600000001,1426849.5000000000,1463866.8999999999,1521793.2400000000,10412931.6000000015,
FS(8),1556886.9900000000,1469260.5999999999,1506064.7500000000,1479770.3399999999,1436239.5000000000,1466301.0999999999,1505626.3199999998,10420152.5999999996,
FS(9),1545683.0500000000,1484124.7599999998,1492797.8200000001,1470439.2400000000,1426536.5000000000,1467639.9099999999,1483370.5600000001,10370594.8400000017,
FS(10),1553975.7300000002,1494006.5199999998,1509412.4800000000,1468816.4399999999,1439995.5000000000,1482731.9500000000,1507306.0000000000,10456247.6200000010,
FS(11),1553181.7500000000,1636586.2000000000,1508048.5900000001,1455266.0599999998,1429979.5000000000,1488574.0300000000,1511715.1599999999,10583354.2900000010,
FS(12),1584191.0800000001,1653277.2400000000,1515116.0200000000,1469546.7000000000,1418555.0000000000,1496363.4700000000,1511505.1999999997,10648557.7099999990,
FS(13),1609069.1200000001,1681926.0399999998,1535326.3899999999,1481393.1399999999,1430762.0000000000,1509386.4399999999,1520743.4399999999,10768609.5700000003,
FS(14),1578941.9900000000,1641568.5999999999,1519207.6899999999,1497621.1399999999,1415425.0000000000,1489304.2900000000,1503106.8000000000,10645178.5099999998,
FS(15),1582073.8000000000,1635091.4800000000,1647785.3199999998,1509954.4199999999,1484285.0000000000,1497337.1499999999,1505626.3199999998,10862156.4900000002,
FS(16),1580574.0600000001,1642565.0800000001,1643321.6799999999,1520340.3399999999,1475834.0000000000,1513889.7100000000,1497437.8799999999,10873965.7500000000,
FS(17),1606731.2900000000,1666978.8399999999,1661176.2400000000,1492996.1599999999,1464879.0000000000,1521192.3100000001,1509405.5999999999,10923362.4399999995,
FS(18),1601305.7600000002,1658508.7599999998,1664895.9400000002,1489750.5599999998,1463627.0000000000,1521800.8600000001,1502896.8399999999,10902788.7200000007,
FS(19),1609863.1000000001,1664985.8799999999,1665639.8800000001,1478147.5399999998,1463940.0000000000,1519244.9500000000,1501217.1599999999,10903041.5099999998,
FS(20),1710478.0100000002,1681427.7999999998,1666259.8299999998,1474901.9399999999,1479277.0000000000,1532146.2100000000,1503526.7200000000,11048020.5100000016,
FS(21),1701214.9100000001,1644308.9199999999,1666755.7899999998,1450641.0799999998,1509794.5000000000,1528008.0700000001,1517174.1200000001,11017900.3900000006,
