代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10666002.0599999987
真實報酬,666002.0599999987
趨勢值,0.8831547752

選擇檔數,8
找到最佳解世代,2419
找到最佳解實驗,2
Stock#,AXP,BA,CSCO,MSFT,NKE,PG,TRV,WMT,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,12128,3226,26404,12161,15335,12824,9882,13317,
剩餘資金,88.3200000000,150.8200000000,34.6399999999,92.4200000000,44.1499999999,44.7200000000,25.8200000001,66.3800000000,
FS(1),1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,1250000.0000000000,9999999.9999999981,
FS(2),1254366.0800000001,1280872.8200000001,1250264.0400000000,1285996.5599999998,1257360.7999999998,1257181.4399999999,1245553.1000000001,1262118.4700000000,10093713.3099999987,
FS(3),1260187.5200000000,1323391.5000000000,1247887.6799999999,1303994.8399999999,1270702.2500000000,1249615.2800000000,1246936.5800000001,1273171.5800000001,10175887.2299999986,
FS(4),1273043.2000000000,1326391.6800000002,1253696.5599999998,1289523.2500000000,1268401.9999999998,1255770.8000000000,1240710.9199999999,1273704.2600000002,10181242.6699999999,
FS(5),1266130.2400000000,1307229.2400000002,1233101.4399999999,1280280.8899999999,1263494.7999999998,1245768.0800000001,1252668.1400000001,1288219.7900000003,10136892.6200000010,
FS(6),1267706.8800000001,1306390.4800000002,1246039.3999999999,1285145.2900000000,1263034.7500000000,1253077.7599999998,1243082.6000000001,1272905.2400000000,10137382.3999999985,
FS(7),1278500.8000000000,1303293.5200000000,1256336.9600000000,1280037.6699999999,1283276.9500000000,1260259.2000000000,1239426.2600000000,1281161.7800000003,10182293.1399999987,
FS(8),1297784.3200000001,1325133.5400000000,1264522.2000000000,1299981.7100000000,1299071.9999999998,1272954.9600000000,1257609.1400000001,1291415.8700000001,10308473.7400000002,
FS(9),1304576.0000000000,1324681.8999999999,1254224.6399999999,1299008.8299999998,1309653.1499999999,1272698.4800000000,1265317.1000000001,1304333.3600000001,10334493.4599999990,
FS(10),1293175.6800000002,1322230.1400000001,1277988.2399999998,1300103.3200000001,1298611.9500000000,1262695.7599999998,1254348.0800000001,1312057.2200000000,10321210.3900000006,
FS(11),1302392.9600000000,1348522.0400000000,1305184.3599999999,1316155.8399999999,1309346.4500000000,1262952.2400000000,1272234.5000000002,1331633.2100000000,10448421.5999999996,
FS(12),1291720.3200000001,1343005.5800000001,1310993.2399999998,1315547.7900000000,1296925.0999999999,1282316.4800000000,1275792.0200000000,1361063.7800000003,10477364.3099999987,
FS(13),1295116.1600000001,1360071.1200000001,1310465.1599999999,1303143.5700000001,1301065.5500000000,1273211.4399999999,1282116.5000000002,1330168.3400000001,10455357.8399999999,
FS(14),1293054.4000000001,1347263.8999999999,1304656.2799999998,1330627.4299999999,1287417.3999999999,1279623.4399999999,1282907.0600000001,1323643.0100000002,10449192.9199999999,
FS(15),1303120.6400000001,1368136.1200000001,1323139.0799999998,1349598.5899999999,1299838.7500000000,1285650.7200000000,1294765.4600000002,1325773.7300000000,10550023.0899999999,
FS(16),1296935.3600000001,1377233.4400000002,1341093.7999999998,1357138.4099999999,1306126.0999999999,1276930.3999999999,1309292.0000000002,1320047.4200000002,10584796.9300000016,
FS(17),1297056.6400000001,1376910.8400000001,1351391.3599999999,1366502.3799999999,1315787.1499999999,1280264.6399999999,1316999.9600000002,1314321.1100000001,10619234.0800000001,
FS(18),1302878.0800000001,1404880.2600000000,1362217.0000000000,1364191.7900000000,1321461.0999999999,1268466.5599999998,1310576.6600000001,1306597.2500000000,10641268.6999999993,
FS(19),1306759.0400000000,1419461.7800000000,1366969.7200000000,1362489.2500000000,1314713.7000000000,1263849.9199999999,1313442.4399999999,1318316.2100000000,10666002.0599999987,
