代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10569886.2400000002
真實報酬,569886.2400000002
趨勢值,0.3985975393

選擇檔數,1
找到最佳解世代,3214
找到最佳解實驗,3
Stock#,PG,
分配資金,10000000,
張數,101584,
剩餘資金,71.0400000002,
FS(1),10000000.0000000000,10000000.0000000000,
FS(2),10043681.1200000010,10043681.1200000010,
FS(3),10066029.6000000015,10066029.6000000015,
FS(4),10049776.1600000020,10049776.1600000020,
FS(5),10011174.2400000002,10011174.2400000002,
FS(6),9996952.4800000004,9996952.4800000004,
FS(7),10115805.7600000016,10115805.7600000016,
FS(8),10163550.2400000002,10163550.2400000002,
FS(9),10278340.1600000020,10278340.1600000020,
FS(10),10292561.9199999999,10292561.9199999999,
FS(11),10406336.0000000000,10406336.0000000000,
FS(12),10311862.8800000008,10311862.8800000008,
FS(13),10351480.6400000025,10351480.6400000025,
FS(14),10333195.5200000014,10333195.5200000014,
FS(15),10411415.2000000011,10411415.2000000011,
FS(16),10327100.4800000004,10327100.4800000004,
FS(17),10357575.6799999997,10357575.6799999997,
FS(18),10465254.7200000007,10465254.7200000007,
FS(19),10453064.6400000025,10453064.6400000025,
FS(20),10519094.2400000002,10519094.2400000002,
FS(21),10569886.2400000002,10569886.2400000002,
