代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11179937.5899999999
真實報酬,1179937.5899999999
趨勢值,0.3858658159

選擇檔數,3
找到最佳解世代,2343
找到最佳解實驗,1
Stock#,AAPL,PFE,UNH,
分配資金,3333333,3333333,3333333,
張數,14841,94082,15346,
剩餘資金,192.8099999999,7.7400000000,28.3399999999,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3249778.1700000004,3264653.1400000006,3326273.8399999999,9840706.1500000022,
FS(3),3277382.4300000002,3335214.6400000006,3304942.8999999999,9917540.9700000007,
FS(4),3369248.2199999997,3380374.0000000000,3373079.1400000001,10122702.3600000013,
FS(5),3369990.2700000000,3370965.8000000003,3395177.3799999999,10136134.4500000011,
FS(6),3330513.2100000000,3333333.0000000000,3377836.3999999999,10041683.6100000013,
FS(7),3369545.0400000000,3357794.3199999998,3408068.0200000000,10135408.3800000008,
FS(8),3414958.5000000000,3367202.5200000000,3433388.9199999999,10215550.9399999995,
FS(9),3505785.4200000004,3397308.7600000002,3407914.5599999996,10311009.7400000002,
FS(10),3500739.4800000000,3415184.3399999999,3385202.4800000000,10301127.3000000007,
FS(11),3492576.9300000002,3434000.7400000002,3661430.4800000000,10588009.1500000004,
FS(12),3478477.9800000000,3418947.6200000006,3636876.8799999999,10534303.4800000004,
FS(13),3491983.2900000000,3430237.4600000004,3739388.1599999997,10661609.9100000001,
FS(14),3508753.6200000001,3430237.4600000004,3765015.9800000000,10704008.0600000005,
FS(15),3569601.7199999997,3430237.4600000004,3743224.6599999997,10743064.8399999999,
FS(16),3561439.1700000004,3427415.0000000000,3828548.4199999999,10817403.5899999999,
FS(17),3609227.1899999999,3459402.8800000004,3802767.1400000001,10871398.2100000009,
FS(18),3615163.5900000003,3423651.7200000002,3752278.7999999998,10791095.1100000013,
FS(19),3659686.5900000003,3459402.8800000004,3758417.1999999997,10877507.6700000018,
FS(20),3696343.8600000003,3507384.7000000002,3791257.6400000001,10994987.2000000011,
FS(21),3610859.6999999997,3594880.9600000004,3871670.6799999997,11077412.3399999999,
FS(22),3610414.4699999997,3620283.1000000001,3910189.1400000001,11140887.7100000009,
FS(23),3692039.9699999997,3609934.0800000001,3877962.5399999996,11179937.5899999999,
