代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12375897.3599999994
真實報酬,2375897.3599999994
趨勢值,0.2191700523

選擇檔數,4
找到最佳解世代,2160
找到最佳解實驗,1
Stock#,AAPL,GS,MSFT,PFE,
分配資金,2500000,2500000,2500000,2500000,
張數,160978,22667,129466,178699,
剩餘資金,11.6600000001,56.5699999999,11.5400000002,0.9900000000,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2591757.4600000004,2589081.3099999996,2497410.6799999997,2460686.2199999997,10138935.6699999999,
FS(3),2667417.1200000001,2706496.3700000001,2427499.0400000000,2421372.4399999999,10222784.9699999988,
FS(4),2723759.4200000004,2644162.1200000001,2428793.7000000002,2449964.2799999998,10246679.5200000014,
FS(5),2644880.2000000002,2631241.9299999997,2428793.7000000002,2414224.4799999995,10119140.3100000005,
FS(6),2675466.0200000005,2601094.8199999998,2484464.0800000001,2408863.5099999998,10169888.4299999997,
FS(7),2749515.8999999999,2818244.6799999997,2546607.7600000002,2421372.4399999999,10535740.7799999993,
FS(8),2764003.9200000004,2950166.6200000001,2536250.4800000000,2408863.5099999998,10659284.5300000012,
FS(9),2720539.8599999999,2609254.9399999999,2505178.6400000001,2383845.6499999999,10218819.0899999999,
FS(10),2706051.8399999999,2747070.2999999998,2437856.3199999998,2476769.1299999999,10367747.5899999980,
FS(11),2792979.9600000004,2747070.2999999998,2558259.7000000002,2483917.0899999999,10582227.0500000007,
FS(12),2838053.7999999998,2733696.7699999996,2485758.7399999998,2530378.8299999996,10587888.1400000006,
FS(13),2770443.0400000005,2606988.2399999998,2409373.7999999998,2428520.3999999999,10215325.4800000004,
FS(14),2799419.0800000001,2728256.6899999999,2455981.5600000001,2416011.4699999997,10399668.7999999989,
FS(15),2794589.7400000002,2731203.3999999999,2431383.0200000000,2330235.9499999997,10287412.1099999994,
FS(16),2883127.6400000001,2783790.8399999999,2449508.2600000002,2373123.7099999995,10489550.4500000011,
FS(17),2849322.2600000002,2749563.6699999999,2707145.6000000001,2353466.8199999998,10659498.3499999996,
FS(18),2868639.6200000001,2740496.8700000001,2641117.9399999999,2410650.5000000000,10660904.9299999997,
FS(19),2849322.2600000002,2735283.4600000000,2580268.9199999999,2392780.5999999996,10557655.2400000002,
FS(20),2878298.2999999998,2882845.6299999999,2621698.0400000000,2399928.5599999996,10782770.5299999993,
FS(21),2894396.1000000001,2912766.0699999998,2622992.7000000002,2387419.6299999999,10817574.5000000000,
FS(22),2926591.7000000002,2880578.9299999997,2620403.3799999999,2426733.4099999997,10854307.4199999999,
FS(23),3037666.5200000005,3041061.2899999996,2613930.0800000001,2498213.0099999998,11190870.9000000004,
FS(24),3052154.5400000005,3064634.9699999997,2562143.6799999997,2551822.7099999995,11230755.9000000004,
FS(25),3047325.2000000002,3155756.3099999996,2562143.6799999997,2485704.0799999996,11250929.2699999996,
FS(26),2968445.9800000004,3031314.4799999995,2501294.6600000001,2530378.8299999996,11031433.9499999993,
FS(27),2971665.5400000005,3164143.1000000001,2514241.2600000002,2573266.5899999999,11223316.4900000002,
FS(28),2979714.4400000004,3077781.8300000001,2501294.6600000001,2528591.8399999999,11087382.7699999996,
FS(29),2860590.7200000002,3069395.0399999996,2575090.2800000003,2667977.0599999996,11173053.0999999996,
FS(30),2747906.1200000001,2929992.9899999998,2556965.0400000000,2728734.7199999997,10963598.8699999992,
FS(31),2826785.3399999999,3028367.7699999996,2597099.5000000000,2741243.6499999999,11193496.2599999998,
FS(32),2815516.8799999999,3046501.3700000001,2617814.0600000001,2682272.9799999995,11162105.2899999991,
FS(33),2912103.6800000002,3244837.6200000001,2667011.1400000001,2714438.7999999998,11538391.2400000002,
FS(34),2931421.0400000005,3199503.6200000001,2629466.0000000000,2698355.8899999997,11458746.5500000007,
FS(35),2894396.1000000001,3092742.0499999998,2638528.6200000001,2700142.8799999999,11325809.6500000004,
FS(36),2855761.3799999999,3109062.2899999996,2566027.6600000001,2650107.1599999997,11180958.4899999984,
FS(37),2817126.6600000001,3090702.0199999996,2556965.0400000000,2673338.0299999998,11138131.7500000000,
FS(38),3007080.7000000002,3219903.9199999999,2633349.9800000000,2684059.9699999997,11544394.5700000003,
FS(39),3060203.4400000004,3173663.2399999998,2606162.1200000001,2619728.3299999996,11459757.1299999990,
FS(40),3106887.0600000001,3278838.1200000001,2647591.2399999998,2625089.2999999998,11658405.7200000007,
FS(41),3122984.8599999999,3277024.7599999998,2704556.2800000003,2714438.7999999998,11819004.6999999993,
FS(42),3205083.6400000001,3271584.6800000002,2770583.9399999999,2637598.2299999995,11884850.4900000002,
FS(43),3208303.2000000002,3244384.2799999998,2770583.9399999999,2676912.0099999998,11900183.4299999997,
FS(44),3242108.5800000001,3222170.6200000001,2813307.7200000002,2660829.0999999996,11938416.0199999996,
FS(45),3304890.0000000005,3388093.0599999996,2826254.3199999998,2616154.3499999996,12135391.7299999986,
FS(46),3327426.9200000004,3377666.2399999998,2866388.7800000003,2592923.4799999995,12164405.4199999999,
FS(47),3308109.5600000001,3362706.0199999996,2854736.8400000003,2557183.6799999997,12082736.0999999996,
FS(48),3282353.0800000001,3384466.3399999999,2858620.8199999998,2525017.8599999999,12050458.1000000015,
FS(49),3226010.7799999998,3324852.1299999999,2919469.8400000003,2510721.9399999999,11981054.6899999995,
FS(50),3217961.8799999999,3290171.6200000001,2955720.3199999998,2614367.3599999999,12078221.1799999997,
FS(51),3150351.1200000001,3301278.4499999997,3020453.3199999998,2637598.2299999995,12109681.1199999992,
FS(52),3129423.9800000004,3241664.2399999998,3032105.2600000002,2525017.8599999999,11928211.3400000017,
FS(53),3135863.1000000001,3267731.2899999996,3035989.2399999998,2530378.8299999996,11969962.4599999990,
FS(54),3118155.5200000005,3167316.4799999995,3065766.4199999999,2605432.4099999997,11956670.8300000001,
FS(55),3124594.6400000001,3243477.6000000001,3042462.5400000000,2666190.0699999998,12076724.8499999996,
FS(56),3208303.2000000002,3244384.2799999998,3116258.1600000001,2680485.9899999998,12249431.6299999990,
FS(57),3158400.0200000005,3105662.2399999998,3013980.0200000000,2642959.1999999997,11921001.4799999986,
