代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12310251.2500000019
真實報酬,2310251.2500000019
趨勢值,0.2210277854

選擇檔數,7
找到最佳解世代,2345
找到最佳解實驗,1
Stock#,AAPL,AXP,KO,PG,TRV,UTX,WBA,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,70027,62111,58095,27472,34733,27325,48690,
剩餘資金,20.2000000001,18.0000000000,14.9500000000,27.0000000000,2.7099999999,20.0000000000,6.4000000000,
FS(1),1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,10000000.0000000000,
FS(2),1400560.2000000002,1383229.9700000000,1419856.7500000000,1404120.9199999999,1361536.3100000001,1372828.0000000000,1397409.3999999999,9739544.5500000007,
FS(3),1386554.8000000003,1460868.7200000000,1423342.4500000000,1433241.2400000000,1387238.7300000000,1390862.5000000000,1436848.3000000000,9918959.7400000002,
FS(4),1354342.3800000001,1405589.9299999999,1412885.3499999999,1426098.5200000000,1355979.0300000000,1350694.7500000000,1405199.7999999998,9710792.7599999998,
FS(5),1372549.4000000004,1411179.9199999999,1409399.6500000001,1446153.0800000001,1357021.0200000000,1357526.0000000000,1449020.8000000000,9802852.8699999992,
FS(6),1364146.1600000001,1416148.8000000000,1415209.1499999999,1439834.5200000000,1356326.3599999999,1356706.2500000000,1430518.5999999999,9778892.8399999980,
FS(7),1385854.5300000000,1442235.4199999999,1403590.1499999999,1434614.8400000001,1354589.7100000000,1356433.0000000000,1404226.0000000000,9781546.6500000004,
FS(8),1423669.1100000001,1522979.7200000000,1425085.3000000000,1455493.5599999998,1403215.9099999999,1405071.5000000000,1427597.2000000000,10063115.3000000007,
FS(9),1422968.8400000003,1519253.0600000001,1432056.7000000000,1470877.8799999999,1373345.5300000000,1409443.5000000000,1431492.3999999999,10059440.9100000001,
FS(10),1469186.6600000001,1690679.4199999999,1468075.5999999999,1501371.8000000000,1401479.2600000000,1468738.7500000000,1460219.4999999998,10459753.9899999984,
FS(11),1475489.0900000003,1756517.0800000001,1475627.9500000000,1516756.1200000001,1408078.5300000000,1474750.2500000000,1431005.5000000000,10538227.5199999996,
FS(12),1518205.5600000001,1740989.3300000001,1461685.1499999999,1536261.2400000000,1403910.5700000001,1470105.0000000000,1451942.2000000000,10583102.0500000007,
FS(13),1529409.8800000001,1794404.7900000000,1482599.3499999999,1526371.3200000001,1405647.2200000000,1502075.2500000000,1464114.7000000000,10704625.5099999998,
FS(14),1515404.4800000002,1824839.1799999999,1462847.0500000000,1524448.2800000000,1413983.1399999999,1474750.2500000000,1458758.8000000000,10675034.1799999997,
FS(15),1567924.7300000002,1786330.3600000001,1427409.0999999999,1507415.6399999999,1436559.5899999999,1451524.0000000000,1450968.3999999999,10628134.8199999984,
FS(16),1579129.0500000003,1829186.9500000000,1428571.0000000000,1515382.5200000000,1479975.8399999999,1458628.5000000000,1448046.9999999998,10738923.8599999994,
FS(17),1600837.4200000002,1832913.6100000001,1433799.5500000000,1534063.4800000000,1501162.9700000000,1427204.7500000000,1481156.2000000000,10811140.9800000004,
FS(18),1601537.6900000002,1762728.1799999999,1438447.1500000001,1532415.1599999999,1512277.5300000000,1423925.7500000000,1478721.7000000000,10750056.1600000001,
FS(19),1600837.4200000002,1719250.4800000000,1434961.4500000000,1530492.1200000001,1505678.2600000000,1432943.0000000000,1472878.8999999999,10697044.6299999990,
FS(20),1600837.4200000002,1723598.2500000000,1431475.7500000000,1541755.6399999999,1480670.5000000000,1453710.0000000000,1497223.8999999999,10729274.4599999990,
FS(21),1628848.2200000002,1753411.5300000000,1443094.7500000000,1544777.5599999998,1456704.7300000000,1481854.7500000000,1509883.3000000000,10818577.8399999980,
