代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11981368.8200000003
真實報酬,1981368.8200000003
趨勢值,0.3683080412

選擇檔數,3
找到最佳解世代,2143
找到最佳解實驗,1
Stock#,MSFT,V,VZ,
分配資金,3333333,3333333,3333333,
張數,133976,192901,118793,
剩餘資金,10.1200000001,3.7199999998,1.4200000002,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3344051.0800000001,3269675.6699999995,3320265.7700000000,9933993.5199999996,
FS(3),3301178.7600000002,3287036.7599999998,3327393.3500000001,9915609.8699999992,
FS(4),3364147.4800000000,3292823.7899999996,3351151.9500000002,10008124.2199999988,
FS(5),3362807.7200000002,3418209.4399999995,3263245.1299999999,10044263.2899999991,
FS(6),3439174.0400000005,3458718.6499999999,3238298.6000000001,10136192.2900000010,
FS(7),3423096.9200000004,3518517.9599999995,3238298.6000000001,10179914.4800000004,
FS(8),3445872.8399999999,3555169.1499999999,3220479.6499999999,10221522.6399999987,
FS(9),3457930.6800000002,3601465.3900000001,3222855.5099999998,10282252.5800000001,
FS(10),3478027.0800000001,3607252.4199999995,3214540.0000000000,10299820.5000000000,
FS(11),3578509.0800000001,3620755.4899999998,3233546.8799999999,10432812.4499999993,
FS(12),3550374.1200000001,3582175.2899999996,3209788.2799999998,10342338.6899999995,
FS(13),3531617.4800000000,3614968.4599999995,3216915.8599999999,10363502.7999999989,
FS(14),3532957.2400000002,3618826.4800000000,3199096.9099999997,10350881.6300000008,
FS(15),3561092.1999999997,3626542.5200000000,3224043.4399999999,10411679.1600000001,
FS(16),3562431.9600000000,3649690.6400000001,3222855.5099999998,10434979.1099999994,
FS(17),3754017.6400000001,3574459.2500000000,3203848.6299999999,10532326.5199999996,
FS(18),3842441.8000000003,3510801.9199999995,3181277.9600000000,10534522.6799999997,
FS(19),3830383.9600000000,3564814.1999999997,3243050.3199999998,10638249.4800000004,
FS(20),3754017.6400000001,3692128.8599999999,3326205.4199999999,10772352.9199999999,
FS(21),3780812.8399999999,3726851.0399999996,3336896.7900000000,10844561.6699999999,
FS(22),3715164.6000000001,3653548.6600000001,3285815.7999999998,10654530.0600000005,
FS(23),3735261.0000000000,3726851.0399999996,3266808.9199999999,10728921.9599999990,
FS(24),3688369.4000000004,3744212.1299999999,3228795.1599999997,10661377.6899999995,
FS(25),3759376.6800000002,3777005.2999999993,3232358.9500000002,10768741.9299999997,
FS(26),3814306.8399999999,3838733.6199999996,3254929.6199999996,10907971.0799999982,
