代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11018899.5499999989
真實報酬,1018899.5499999989
趨勢值,0.1533464323

選擇檔數,5
找到最佳解世代,1895
找到最佳解實驗,1
Stock#,BA,MCD,PG,TRV,UNH,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,35599,31857,32722,40152,63431,
剩餘資金,48.1800000000,17.5400000000,31.3600000001,28.8799999999,20.5699999999,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2065502.1600000001,1984708.6399999999,2000654.4400000002,1952620.6399999999,1996828.4500000000,10000314.3300000001,
FS(3),2128156.4000000004,1957630.1900000002,1991165.0600000001,1924915.7599999998,2016492.0599999998,10018359.4699999988,
FS(4),2214305.9800000004,1971965.8400000001,1980366.8000000003,1952620.6399999999,2093877.8799999997,10213137.1399999987,
FS(5),2192946.5800000001,1970054.4200000002,1977749.0400000000,1949810.0000000000,2074214.2700000000,10164774.3099999987,
FS(6),2166959.3100000001,1985345.7800000000,1969895.7600000002,1949006.9600000000,2088169.0899999999,10159376.9000000004,
FS(7),2151295.7500000000,1996177.1599999999,1992473.9400000002,1961454.0799999998,2032984.1199999996,10134385.0499999989,
FS(8),2177283.0200000000,1993947.1700000002,2013088.8000000003,1968279.9199999999,2064065.3099999998,10216664.2199999988,
FS(9),2191522.6200000001,1995858.5900000001,2015052.1200000001,1978719.4399999999,2113541.4899999998,10294694.2599999998,
FS(10),2165179.3600000003,1984071.5000000000,1990183.4000000001,1959044.9600000000,2140816.8199999998,10239296.0399999991,
FS(11),2159127.5300000003,2022299.8999999999,2019633.2000000000,1984742.2400000000,2228351.6000000001,10414154.4699999988,
FS(12),2143107.9800000004,2007327.1099999999,1978076.2600000002,1964666.2400000000,2191561.6199999996,10284739.2100000009,
FS(13),2107508.9800000004,2013379.9400000002,1958115.8400000003,1965469.2800000000,2099586.6699999999,10144060.7100000009,
FS(14),2056602.4100000001,2019432.7700000000,1973495.1800000002,1939772.0000000000,2103392.5299999998,10092694.8899999987,
FS(15),2056958.3999999999,2009875.6700000002,1983966.2200000002,1963060.1599999999,2093243.5699999998,10107104.0199999996,
FS(16),2054466.4700000000,2032812.7100000002,1985929.5400000000,2016863.8399999999,2057722.2099999997,10147794.7699999996,
FS(17),2204694.2500000000,2030264.1499999999,1989856.1800000002,2043765.6799999999,2108467.0099999998,10377047.2699999996,
FS(18),2227121.6200000001,2001592.8500000001,2018324.3200000001,2018469.9199999999,2120518.8999999999,10386027.6099999994,
