代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10680304.5999999996
真實報酬,680304.5999999996
趨勢值,0.0648946879

選擇檔數,2
找到最佳解世代,1892
找到最佳解實驗,1
Stock#,AAPL,MCD,
分配資金,5000000,5000000,
張數,101957,58377,
剩餘資金,28.7200000001,9.9499999997,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),5089722.1600000001,4999416.2299999995,10089138.3900000006,
FS(3),5123367.9699999997,5012259.1699999990,10135627.1400000006,
FS(4),5202894.4299999997,5023934.5699999994,10226829.0000000000,
FS(5),5239598.9500000002,4997081.1499999985,10236680.0999999996,
FS(6),5155994.2100000000,4982486.8999999985,10138481.1099999994,
FS(7),5152935.5000000000,4961471.1799999988,10114406.6799999997,
FS(8),5215129.2699999996,4959719.8699999992,10174849.1399999987,
FS(9),5211050.9899999993,5009340.3199999994,10220391.3100000005,
FS(10),5315047.1299999999,4990075.9099999992,10305123.0400000010,
FS(11),5444532.5199999996,4985405.7500000000,10429938.2699999996,
FS(12),5489393.5999999996,5032691.1199999992,10522084.7199999988,
FS(13),5635192.1100000003,5036193.7399999993,10671385.8499999996,
FS(14),5641309.5299999993,5051955.5299999993,10693265.0600000005,
FS(15),5728992.5499999998,5169877.0699999994,10898869.6200000010,
FS(16),5804440.7299999995,5144191.1899999995,10948631.9199999999,
FS(17),5875810.6299999999,5138353.4899999993,11014164.1199999992,
FS(18),5717777.2799999993,5084062.8799999999,10801840.1600000001,
FS(19),5706562.0099999998,5065966.0099999998,10772528.0199999996,
FS(20),5687190.1799999997,5048452.9099999992,10735643.0899999999,
FS(21),5778951.4799999995,5043198.9799999995,10822150.4599999990,
FS(22),5664759.6399999997,4965557.5699999994,10630317.2100000009,
FS(23),5717777.2799999993,4993578.5299999993,10711355.8100000005,
FS(24),5496530.5899999999,4920023.5099999998,10416554.0999999996,
FS(25),5441473.8099999996,4966725.1099999994,10408198.9199999999,
FS(26),5144778.9399999995,4793345.4199999990,9938124.3599999994,
FS(27),5447591.2299999995,5018096.8699999992,10465688.0999999996,
FS(28),5297714.4399999995,4908348.1099999994,10206062.5499999989,
FS(29),5443512.9500000002,5036777.5099999998,10480290.4600000009,
FS(30),5491432.7399999993,5049620.4499999993,10541053.1899999995,
FS(31),5584213.6100000003,5068301.0899999989,10652514.6999999993,
FS(32),5541391.6699999999,5059544.5399999991,10600936.2100000009,
FS(33),5541391.6699999999,5107997.4499999993,10649389.1199999992,
FS(34),5331360.2500000000,4997664.9199999990,10329025.1699999999,
FS(35),5185561.7399999993,5092235.6599999992,10277797.4000000004,
FS(36),5191679.1600000001,5123175.4699999997,10314854.6300000008,
FS(37),5441473.8099999996,5226502.7599999998,10667976.5700000003,
FS(38),5479197.9000000004,5261528.9599999990,10740726.8599999994,
FS(39),5443512.9500000002,5178633.6199999992,10622146.5700000003,
FS(40),5587272.3199999994,5249853.5599999996,10837125.8800000008,
FS(41),5680053.1899999995,5300057.7799999993,10980110.9700000007,
FS(42),5680053.1899999995,5299474.0099999998,10979527.1999999993,
FS(43),5605624.5799999991,5277874.5199999986,10883499.0999999996,
FS(44),5549548.2299999995,5258026.3399999989,10807574.5699999984,
FS(45),5448610.7999999998,5200816.8799999999,10649427.6799999997,
FS(46),5531195.9699999997,5185055.0899999989,10716251.0599999987,
FS(47),5592370.1699999999,5212492.2799999993,10804862.4500000011,
FS(48),5595428.8799999999,5172795.9199999990,10768224.8000000007,
FS(49),5498569.7299999995,4963806.2599999998,10462375.9900000002,
FS(50),5534254.6799999997,5031523.5799999991,10565778.2599999998,
FS(51),5602565.8700000001,5027437.1899999995,10630003.0600000005,
FS(52),5669857.4899999993,5064214.6999999993,10734072.1899999995,
FS(53),5723894.7000000002,5141272.3399999989,10865167.0399999991,
FS(54),5832988.6899999995,5154115.2799999993,10987103.9700000007,
FS(55),5995100.3199999994,5184471.3199999994,11179571.6400000006,
FS(56),6021609.1399999997,5213659.8199999994,11235268.9600000009,
FS(57),6003256.8799999999,5109164.9899999993,11112421.8699999992,
FS(58),5852360.5199999996,5019848.1799999988,10872208.6999999993,
FS(59),5889065.0399999991,5100408.4399999995,10989473.4800000004,
FS(60),5872751.9199999999,5215411.1299999999,11088163.0500000007,
FS(61),5815656.0000000000,5238761.9299999988,11054417.9299999997,
FS(62),5783029.7599999998,5138937.2599999998,10921967.0199999996,
FS(63),5689229.3199999994,5182720.0099999998,10871949.3300000001,
FS(64),5553626.5099999998,5126678.0899999989,10680304.5999999996,
