代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12304411.6500000004
真實報酬,2304411.6500000004
趨勢值,0.1704909209

選擇檔數,3
找到最佳解世代,2262
找到最佳解實驗,1
Stock#,HD,MCD,MRK,
分配資金,3333333,3333333,3333333,
張數,105518,38750,105585,
剩餘資金,19.3800000000,58.0000000002,14.5500000000,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3426188.8399999999,3351158.0000000000,3310104.2999999998,10087452.1400000006,
FS(3),3464175.3199999998,3325970.5000000000,3321718.6499999999,10111865.4699999988,
FS(4),3522210.2200000002,3375570.5000000000,3317495.2500000000,10215276.9699999988,
FS(5),3579189.9399999999,3379058.0000000000,3337556.3999999999,10295805.3399999999,
FS(6),3657273.2599999993,3429820.5000000000,3415689.2999999998,10502784.0600000005,
FS(7),3662549.1600000001,3461983.0000000000,3371343.5999999996,10495876.7599999998,
FS(8),3663604.3399999999,3424008.0000000000,3438918.0000000000,10526531.3399999999,
FS(9),3630893.7599999993,3460820.5000000000,3452644.0500000003,10544359.3100000005,
FS(10),3698425.2799999998,3485233.0000000000,3482207.8499999996,10665867.1299999990,
FS(11),3656218.0799999996,3435633.0000000000,3411465.8999999999,10503317.9799999986,
FS(12),3793391.4800000000,3473608.0000000000,3462146.6999999997,10729147.1799999997,
FS(13),3735356.5799999996,3472833.0000000000,3435750.4499999997,10643941.0299999993,
FS(14),3770177.5199999996,3449195.5000000000,3463202.5499999993,10682576.5699999984,
FS(15),3889412.8599999999,3577457.9999999995,3521274.2999999998,10988146.1600000001,
FS(16),3872529.9800000000,3565445.5000000000,3540279.6000000001,10978256.0800000001,
FS(17),3802888.0999999996,3556145.5000000000,3474816.8999999994,10833851.5000000000,
FS(18),3856702.2799999998,3556533.0000000000,3541335.4499999997,10954571.7300000004,
FS(19),3943227.0399999996,3623570.5000000000,3622635.8999999999,11189434.4399999995,
FS(20),3811329.5399999996,3615045.5000000005,3707103.8999999999,11133479.9399999995,
FS(21),3777563.7799999998,3597995.5000000000,3642697.0499999998,11018257.3299999982,
FS(22),3750129.0999999996,3561570.5000000000,3596239.6499999999,10907940.2500000000,
FS(23),3797612.2000000002,3585595.5000000000,3609965.6999999997,10993174.4000000004,
FS(24),3846150.4800000000,3603808.0000000000,3645864.6000000001,11095824.0800000001,
FS(25),3839819.3999999999,3635195.5000000000,3592016.2500000000,11067032.1500000004,
FS(26),3940061.5000000005,3666583.0000000000,3623691.7500000000,11230337.2500000000,
FS(27),4003372.2999999998,3665808.0000000000,3639529.4999999995,11308710.7999999989,
FS(28),3921068.2599999993,3590245.5000000000,3567731.6999999997,11079046.4599999990,
FS(29),3925288.9800000000,3613883.0000000000,3692321.9999999995,11231494.9800000004,
FS(30),4016034.4600000000,3672008.0000000000,3797906.9999999995,11485950.4599999990,
FS(31),4036082.8799999999,3644883.0000000000,3766231.5000000000,11447198.3799999990,
FS(32),4017089.6400000001,3660770.5000000000,3772566.5999999996,11450427.7399999984,
FS(33),3992820.5000000005,3609620.5000000000,3704992.2000000002,11307434.2000000011,
FS(34),3969606.5399999996,3576295.5000000005,3678595.9500000002,11224498.9900000002,
FS(35),3997041.2200000002,3593733.0000000000,3690210.3000000003,11280985.5199999996,
FS(36),3910516.4600000000,3575908.0000000000,3604686.4499999997,11091111.9100000001,
FS(37),3914737.1800000002,3590245.5000000000,3569843.3999999999,11074827.0800000001,
FS(38),3853536.7400000002,3560020.5000000000,3504380.6999999997,10917938.9399999995,
FS(39),3848260.8399999999,3568933.0000000000,3501213.1499999994,10918407.9900000002,
FS(40),3935840.7799999998,3633258.0000000000,3617356.6499999994,11186456.4299999997,
FS(41),4111000.6600000001,3621632.9999999995,3640585.3499999996,11373220.0099999998,
FS(42),4138435.3399999999,3701458.0000000000,3774678.2999999998,11614572.6400000006,
FS(43),4151097.5000000005,3700683.0000000000,3767287.3499999996,11619068.8500000015,
FS(44),4214408.2999999998,3708433.0000000000,3746170.3499999996,11669012.6499999985,
FS(45),4245008.5199999996,3694870.5000000000,3722941.6499999994,11662821.6699999999,
FS(46),4254505.1399999997,3720445.5000000000,3737723.5499999998,11712675.1899999995,
FS(47),4297767.5199999996,3737495.5000000000,3759896.3999999999,11795160.4199999999,
FS(48),4211242.7599999998,3755708.0000000000,3715550.6999999997,11682502.4599999990,
FS(49),4245008.5199999996,3798720.5000000000,3767287.3499999996,11811017.3699999992,
FS(50),4226015.2799999993,3816158.0000000000,3738779.3999999994,11780953.6799999997,
FS(51),4169035.5599999996,3797558.0000000000,3694433.7000000002,11661028.2599999998,
FS(52),4129993.8999999999,3782445.5000000000,3754617.1499999999,11667057.5499999989,
FS(53),4159538.9399999999,3802983.0000000000,3839085.1499999999,11801608.0899999999,
FS(54),4265056.9400000004,3777795.5000000000,3827470.7999999998,11870324.2400000002,
FS(55),4241842.9800000004,3768108.0000000000,3850699.4999999995,11860651.4800000004,
FS(56),4426499.4800000004,3829332.9999999995,3914050.5000000000,12169883.9800000004,
FS(57),4431775.3799999999,3844058.0000000000,3941502.5999999996,12217336.9800000004,
FS(58),4423333.9400000004,3820808.0000000000,3965787.1499999999,12209930.0899999999,
FS(59),4441272.0000000000,3880870.5000000000,4001686.0499999998,12323829.5499999989,
FS(60),4454989.3399999999,3896370.5000000000,3985848.2999999998,12337209.1400000006,
FS(61),4382181.9199999999,3858783.0000000000,3952061.0999999996,12193027.0199999996,
FS(62),4432830.5599999996,3906445.5000000000,3983736.5999999996,12323013.6599999983,
FS(63),4435996.0999999996,3887845.5000000000,3980569.0500000003,12304411.6500000004,
