代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11237499.5399999991
真實報酬,1237499.5399999991
趨勢值,0.4400302709

選擇檔數,7
找到最佳解世代,2910
找到最佳解實驗,1
Stock#,AXP,JNJ,MMM,MRK,PG,TRV,VZ,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,24316,20166,15072,34556,20587,19607,32269,
剩餘資金,6.0000000000,11.5599999999,46.8400000000,25.9599999999,39.0700000000,4.9800000000,22.3699999999,
FS(1),1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,10000000.0000000000,
FS(2),1434650.0000000000,1426554.3999999997,1426913.0800000001,1462781.4399999999,1419512.7200000002,1439550.9199999999,1421794.5100000000,10031760.0700000003,
FS(3),1449482.7600000000,1442888.8599999999,1437463.4800000002,1450341.2800000000,1422394.9000000001,1452099.4000000001,1429539.0699999998,10084212.7500000000,
FS(4),1455561.7600000000,1439863.9600000000,1439272.1200000001,1455524.6799999999,1412719.0100000002,1432492.4000000001,1442123.9799999997,10077560.9100000001,
FS(5),1463829.2000000000,1440065.6199999996,1439422.8400000001,1457598.0400000000,1410454.4400000002,1435041.3099999998,1390816.2700000000,10037230.7199999988,
FS(6),1465288.1599999999,1446518.7400000000,1453138.3600000001,1471766.0000000000,1418071.6299999999,1449746.5599999998,1387589.3699999999,10092121.8199999984,
FS(7),1478175.6399999999,1455795.0999999999,1460372.9200000002,1478331.6399999999,1426100.5600000001,1459746.1300000001,1406628.0800000001,10165153.0700000003,
FS(8),1489117.8400000001,1459021.6599999997,1451179.0000000000,1493881.8399999999,1425071.2100000000,1467588.9299999999,1397270.0699999998,10183133.5499999970,
FS(9),1488388.3600000001,1463256.5199999998,1463236.6000000001,1497683.0000000000,1433511.8799999999,1469549.6300000001,1374359.0800000001,10189988.0700000003,
FS(10),1477446.1599999999,1459424.9800000000,1466401.7200000002,1481441.6799999999,1438658.6299999999,1481509.9000000001,1354352.2999999998,10159238.3699999992,
FS(11),1474041.9199999999,1463659.8399999999,1471074.0400000000,1470038.2000000000,1427541.6500000001,1481313.8299999998,1339508.5599999998,10127181.0399999991,
FS(12),1476959.8400000001,1470112.9600000000,1478308.6000000001,1477294.9600000000,1434335.3600000001,1488176.2800000000,1359515.3399999999,10184706.3399999999,
FS(13),1453616.4800000000,1476767.7400000000,1488256.1200000001,1485242.8399999999,1439893.8500000001,1496215.1500000001,1372745.6299999999,10212740.8100000005,
FS(14),1444376.3999999999,1465878.0999999999,1497148.6000000001,1492845.1600000001,1440099.7200000002,1528370.6300000001,1385653.2299999997,10254374.8399999999,
FS(15),1432947.8799999999,1469104.6599999997,1499560.1200000001,1479713.8799999999,1455334.1000000001,1522292.4600000000,1380812.8799999999,10239768.9799999986,
FS(16),1441944.8000000000,1474146.1599999997,1502273.0800000001,1485933.9600000000,1449775.6100000001,1531115.6100000001,1374359.0800000001,10259551.3000000007,
FS(17),1446808.0000000000,1490682.2799999998,1516139.3200000001,1501829.7200000000,1508036.8200000001,1536213.4299999999,1376940.5999999999,10376653.1699999999,
FS(18),1436352.1200000001,1484632.4800000000,1517043.6400000001,1483515.0400000000,1518742.0600000001,1516606.4299999999,1380167.5000000000,10337062.2699999996,
FS(19),1445592.2000000000,1500563.6199999996,1534527.1600000001,1508740.9199999999,1544064.0700000001,1525625.6500000001,1403723.8699999999,10462840.4900000002,
FS(20),1442674.2800000000,1494110.5000000000,1519304.4399999999,1503211.9600000000,1545711.0300000000,1521116.0400000000,1407273.4600000000,10433404.7099999990,
FS(21),1430029.9600000000,1490682.2799999998,1515536.4399999999,1494572.9600000000,1547357.9900000000,1538370.2000000000,1407273.4600000000,10423826.2899999991,
FS(22),1456777.5599999998,1495925.4399999999,1530759.1600000001,1445503.4399999999,1563004.1100000001,1566408.2100000000,1437929.0100000000,10496309.9299999997,
FS(23),1444619.5599999998,1494513.8199999998,1518852.2800000000,1411638.5600000001,1549210.8200000001,1529350.9800000000,1436638.2500000000,10384827.2699999996,
FS(24),1475014.5599999998,1505605.1199999996,1529704.1200000001,1431681.0400000000,1558474.9700000002,1542095.5300000000,1437929.0100000000,10480507.3499999996,
FS(25),1472582.9600000000,1520326.2999999998,1547790.5200000000,1419932.0000000000,1567739.1200000001,1548173.7000000000,1444060.1199999999,10520607.7199999988,
FS(26),1511002.2400000000,1513671.5199999998,1540706.6800000002,1416821.9600000000,1567739.1200000001,1551310.8200000001,1434702.1099999999,10535957.4499999993,
FS(27),1502734.8000000000,1522141.2400000000,1547338.3600000001,1423042.0400000000,1559504.3200000001,1546213.0000000000,1431152.5200000000,10532129.2799999993,
FS(28),1507111.6799999999,1520729.6199999996,1546735.4800000002,1429953.2400000000,1560739.5400000000,1553075.4500000000,1430184.4500000000,10548532.4599999990,
FS(29),1512461.2000000000,1528594.3599999999,1559395.9600000000,1432372.1600000001,1564239.3300000001,1566604.2800000000,1434056.7299999997,10597727.0199999996,
FS(30),1510029.6000000001,1525771.1199999996,1550352.7600000000,1422005.3599999999,1576179.7900000000,1568368.9099999999,1436638.2500000000,10589348.7900000010,
FS(31),1515865.4400000002,1528796.0199999998,1549147.0000000000,1423387.5999999999,1580708.9300000002,1575231.3600000001,1430507.1399999999,10603646.4900000002,
FS(32),1500060.0400000000,1535854.1199999996,1555929.4000000001,1431335.4800000000,1575768.0500000003,1576211.7100000000,1432765.9699999997,10607927.7699999996,
FS(33),1514406.4800000000,1551986.9199999997,1570247.8000000003,1458980.2800000000,1593061.1299999999,1580329.1799999999,1435992.8699999999,10705007.6599999983,
FS(34),1505409.5599999998,1545735.4600000000,1554723.6400000001,1474184.9199999999,1586885.0300000000,1570721.7500000000,1449545.8499999999,10687209.2099999990,
FS(35),1496412.6399999999,1550171.9800000000,1548242.6800000002,1468655.9600000000,1586061.5500000003,1576015.6399999999,1455999.6499999999,10681563.0999999996,
FS(36),1521458.1200000001,1537669.0599999998,1560601.7200000002,1484897.2800000000,1585032.2000000000,1588368.0500000000,1465034.9699999997,10743064.3999999985,
FS(37),1508084.3200000001,1523956.1799999997,1533622.8400000001,1469347.0800000001,1563004.1100000001,1553859.7300000000,1475361.0499999998,10627238.3099999987,
FS(38),1505652.7200000000,1527586.0599999998,1542063.1600000001,1465891.4800000000,1566298.0300000000,1569349.2600000000,1488268.6499999999,10665112.3599999994,
FS(39),1519756.0000000000,1539080.6799999997,1561053.8799999999,1484897.2800000000,1580091.3200000001,1583858.4399999999,1495690.5200000000,10764431.1199999992,
FS(40),1511245.3999999999,1534845.8199999998,1567534.8400000001,1476603.8399999999,1568356.7300000002,1576799.9199999999,1501498.9399999999,10736888.4900000002,
FS(41),1516594.9199999999,1546743.7599999998,1564068.2800000000,1473148.2400000000,1574738.7000000000,1582093.8099999998,1507630.0499999998,10765020.7599999979,
FS(42),1529239.2400000000,1556826.7599999998,1556683.0000000000,1497683.0000000000,1578650.2300000002,1578760.6199999999,1520214.9600000000,10818060.8099999987,
FS(43),1559147.9200000002,1566103.1199999996,1574317.2400000002,1494572.9600000000,1586267.4199999999,1597191.2000000000,1538930.9799999997,10916533.8399999980,
FS(44),1572035.4000000001,1560658.2999999998,1577482.3600000001,1509432.0400000000,1589355.4700000002,1589544.4699999997,1525700.6899999999,10924211.7300000004,
FS(45),1569846.9600000000,1567918.0599999998,1575673.7200000002,1495264.0800000001,1583179.3700000001,1592093.3800000001,1532154.4899999998,10916133.0599999987,
FS(46),1573251.2000000000,1576791.0999999999,1593307.9600000000,1484897.2800000000,1588943.7300000002,1600916.5300000000,1547643.6099999999,10965754.4100000001,
FS(47),1592704.0000000000,1581832.5999999999,1594815.1600000001,1508740.9199999999,1592443.5200000000,1602877.2300000000,1542803.2600000000,11016219.6899999995,
FS(48),1587597.6400000001,1584252.5199999998,1584566.2000000000,1556428.2000000000,1588737.8600000001,1602681.1599999999,1560551.2100000000,11064817.7899999991,
FS(49),1587840.8000000000,1584050.8599999999,1583963.3200000001,1540878.0000000000,1581120.6699999999,1610131.8200000001,1546998.2299999997,11034986.6999999993,
FS(50),1589786.0799999998,1595142.1599999997,1597980.2800000000,1529820.0800000001,1593267.0000000000,1614837.5000000000,1564423.4899999998,11085259.5899999980,
