代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11475632.7500000000
真實報酬,1475632.7500000000
趨勢值,0.1668325826

選擇檔數,3
找到最佳解世代,2722
找到最佳解實驗,1
Stock#,BA,INTC,UNH,
分配資金,3333333,3333333,3333333,
張數,39100,155545,56525,
剩餘資金,58.0000000000,3.6500000000,53.7500000001,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3287977.0000000000,3337999.3500000001,3489907.2500000000,10115884.6000000015,
FS(3),3298534.0000000000,3274225.8999999999,3485950.5000000000,10058711.4000000004,
FS(4),3321603.0000000000,3288224.9500000002,3506299.5000000000,10116128.4500000011,
FS(5),3369305.0000000000,3257115.9500000002,3510256.2500000000,10136678.2000000011,
FS(6),3391983.0000000000,3280447.6999999997,3498386.0000000000,10170817.7000000011,
FS(7),3409968.9999999995,3383107.3999999999,3514778.2500000000,10307855.6500000004,
FS(8),3433819.9999999995,3462435.3500000001,3527779.0000000000,10424035.3499999996,
FS(9),3461581.0000000000,3395550.9999999995,3559998.2500000000,10417131.2500000000,
FS(10),3475657.0000000000,3372219.2500000000,3562824.5000000000,10410701.7500000000,
FS(11),3392765.0000000000,3325555.7499999995,3481428.5000000000,10199750.2500000000,
FS(12),3397457.0000000000,3409550.0500000003,3550389.0000000000,10357397.0500000007,
FS(13),3389637.0000000000,3411105.5000000000,3506299.5000000000,10307043.0000000000,
FS(14),3367350.0000000000,3459324.4499999997,3374031.0000000000,10200706.4499999993,
FS(15),3439293.9999999995,3490433.4500000002,3393814.7500000000,10323543.1999999993,
FS(16),3399412.0000000000,3558873.2499999995,3347464.2500000000,10305750.5000000000,
FS(17),3447896.0000000005,3636645.7499999995,3309027.2500000000,10393570.0000000000,
FS(18),3551511.0000000000,3680198.3500000001,3323158.5000000000,10554868.8499999996,
FS(19),3584355.0000000000,3636645.7499999995,3354247.2500000000,10575249.0000000000,
FS(20),3630493.0000000000,3639756.6499999999,3362160.7500000000,10632411.4000000004,
FS(21),3593348.0000000000,3695752.8500000001,3392119.0000000000,10681220.8499999996,
FS(22),3574189.0000000000,3725306.3999999999,3387597.0000000000,10687093.4000000004,
FS(23),3565196.0000000005,3731528.1999999997,3375726.7500000000,10672451.9499999993,
FS(24),3605468.9999999995,3750193.5999999996,3362160.7500000000,10717824.3499999996,
FS(25),3665292.0000000000,3726861.8500000001,3330506.7500000000,10722661.6000000015,
FS(26),3682887.0000000000,3719084.6000000001,3402858.7500000000,10804831.3500000015,
FS(27),3706347.0000000005,3756415.3999999999,3419816.2500000000,10882579.6500000004,
FS(28),3677022.0000000005,3771969.8999999999,3533431.5000000000,10982424.4000000004,
FS(29),3699309.0000000000,3789079.8499999996,3505169.0000000000,10993558.8499999996,
FS(30),3684842.0000000000,3810856.1499999999,3556041.5000000000,11051740.6500000004,
FS(31),3705174.0000000000,3745527.2499999995,3526648.5000000000,10977350.7500000000,
FS(32),3757959.0000000000,3708196.4499999997,3489342.0000000000,10955498.4499999993,
FS(33),3793540.0000000000,3764192.6499999999,3482559.0000000000,11040292.6500000004,
FS(34),3776336.0000000000,3723750.9500000002,3512517.2500000000,11012605.2000000011,
FS(35),3867830.0000000000,3739305.4499999997,3552084.7500000000,11159221.2000000011,
FS(36),3860010.0000000000,3745527.2499999995,3536257.7500000000,11141796.0000000000,
FS(37),3861183.0000000000,3756415.3999999999,3553780.5000000000,11171379.9000000004,
FS(38),3829121.0000000005,3743971.7999999998,3520430.7500000000,11093524.5500000007,
FS(39),3900283.0000000000,3740860.8999999999,3524952.7500000000,11166097.6500000004,
FS(40),3910058.0000000000,3720640.0500000003,3507995.2500000000,11138694.3000000007,
FS(41),3914359.0000000000,3745527.2499999995,3580347.2500000000,11240234.5000000000,
FS(42),3874477.0000000000,3775080.7999999998,3580912.5000000000,11230471.3000000007,
FS(43),3931172.0000000005,3765748.1000000001,3654960.2500000000,11351881.3499999996,
FS(44),3871740.0000000000,3776636.2500000000,3540214.5000000000,11188591.7500000019,
FS(45),3938992.0000000000,3925959.4499999997,3549823.7500000000,11414776.1999999993,
FS(46),3894809.0000000000,3944624.8499999996,3524952.7500000000,11364387.5999999996,
FS(47),3851017.0000000000,3841965.1499999999,3490472.5000000000,11183455.6500000004,
FS(48),3900674.0000000000,3834187.8999999999,3500081.7500000000,11234944.6500000004,
FS(49),4007417.0000000000,3824855.1999999997,3536823.0000000000,11369096.2000000011,
FS(50),3997642.0000000000,3890184.1000000001,3599565.7500000000,11487392.8499999996,
FS(51),3978483.0000000000,3843520.6000000001,3613697.0000000000,11435701.5999999996,
FS(52),3944466.0000000000,3804634.3500000001,3608044.5000000000,11357145.8499999996,
FS(53),3994514.0000000000,3887073.1999999997,3626132.5000000005,11507720.7000000011,
FS(54),3981611.0000000000,3876185.0500000003,3606348.7500000000,11464145.8000000007,
FS(55),4028531.0000000000,3904183.1499999999,3638568.0000000005,11571283.1500000004,
FS(56),4069586.0000000000,3961734.7999999998,3712615.7500000005,11743937.5500000007,
FS(57),3998033.0000000000,3888628.6499999999,3688875.2500000005,11575537.9000000004,
FS(58),3895982.0000000000,3762637.2000000002,3606348.7500000000,11264968.9499999993,
FS(59),3909276.0000000000,3764192.6499999999,3612001.2500000000,11285470.9000000004,
FS(60),3825993.0000000000,3667754.7499999995,3654395.0000000005,11148143.7500000000,
