代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10853180.5799999982
真實報酬,853180.5799999982
趨勢值,0.1500555074

選擇檔數,4
找到最佳解世代,3017
找到最佳解實驗,1
Stock#,AAPL,GS,MSFT,PG,
分配資金,2500000,2500000,2500000,2500000,
張數,26732,14987,59708,31533,
剩餘資金,23.3600000001,18.5300000000,26.0400000002,63.7600000000,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,9999999.9999999981,
FS(2),2498930.7200000007,2501198.9599999995,2501791.2399999998,2508829.2399999998,10010750.1600000001,
FS(3),2513633.3200000003,2539715.5499999998,2495820.4399999999,2522073.1000000001,10071242.4100000001,
FS(4),2565493.4000000004,2514537.3899999997,2507164.9600000000,2528695.0299999998,10115890.7799999993,
FS(5),2548919.5600000001,2471524.6999999997,2494626.2800000003,2540362.2399999998,10055432.7799999993,
FS(6),2549988.8400000003,2467927.8199999998,2488058.3999999999,2575363.8699999996,10081338.9299999997,
FS(7),2540632.6400000006,2449194.0699999998,2489252.5600000001,2573471.8899999997,10052551.1600000001,
FS(8),2545444.4000000004,2469876.1299999999,2513135.7600000002,2559282.0399999996,10087738.3300000001,
FS(9),2578324.7600000002,2502847.5299999998,2516121.1600000001,2564327.3199999994,10161620.7699999996,
FS(10),2548117.6000000001,2535369.3199999998,2534630.6400000001,2562435.3399999999,10180552.9000000004,
FS(11),2533682.3200000003,2554852.4199999999,2631954.6800000002,2552344.7799999998,10272834.1999999993,
FS(12),2488505.2400000002,2549906.7099999995,2658823.2800000003,2535316.9600000000,10232552.1899999995,
FS(13),2524326.1200000006,2569839.4199999999,2668376.5600000001,2540046.9099999997,10302589.0099999998,
FS(14),2511227.4400000004,2573586.1699999999,2677332.7600000002,2531533.0000000000,10293679.3699999992,
FS(15),2532078.4000000004,2623043.2700000000,2676735.6800000002,2525857.0599999996,10357714.4100000001,
FS(16),2598106.4400000004,2650019.8699999996,2679124.0000000000,2522388.4299999997,10449638.7399999984,
FS(17),2593829.3200000003,2641627.1499999994,2651061.2399999998,2530902.3399999999,10417420.0500000007,
FS(18),2610937.8000000003,2628738.3300000001,2657032.0400000000,2508829.2399999998,10405537.4100000001,
FS(19),2647026.0000000000,2636981.1799999997,2625386.7999999998,2499369.3399999999,10408763.3199999984,
FS(20),2629917.5200000000,2630836.5099999998,2620610.1600000001,2480134.2100000000,10361498.3999999985,
FS(21),2623769.1600000006,2634133.6499999994,2602100.6800000002,2464683.0399999996,10324686.5299999993,
FS(22),2555602.5600000001,2590821.2199999997,2577023.3199999998,2438195.3199999994,10161642.4199999999,
FS(23),2569770.5200000000,2551555.2799999998,2559110.9199999999,2511667.2100000000,10192103.9299999997,
FS(24),2555335.2400000002,2573136.5599999996,2589562.0000000000,2498108.0199999996,10216141.8200000003,
FS(25),2542771.2000000007,2539116.0699999998,2572246.6800000002,2504099.2899999996,10158233.2399999984,
FS(26),2538494.0800000001,2543911.9100000001,2551945.9600000000,2557074.7300000000,10191426.6799999997,
FS(27),2525662.7200000007,2534320.2299999995,2581202.8799999999,2527118.3799999999,10168304.2099999990,
FS(28),2532613.0400000000,2581679.1499999994,2579411.6400000001,2552660.1099999999,10246363.9399999995,
FS(29),2566028.0400000000,2584676.5499999998,2579411.6400000001,2569372.6000000001,10299488.8300000001,
FS(30),2565493.4000000004,2582728.2399999998,2598518.2000000002,2567480.6199999996,10314220.4599999990,
FS(31),2599443.0400000000,2583327.7199999997,2631954.6800000002,2569372.6000000001,10384098.0399999991,
FS(32),2606393.3600000003,2588723.0399999996,2643299.2000000002,2584193.1099999999,10422608.7099999990,
FS(33),2619224.7200000007,2576283.8300000001,2674347.3599999999,2578832.5000000000,10448688.4100000001,
FS(34),2650768.4800000004,2615999.3799999999,2693453.9199999999,2599644.2799999998,10559866.0600000005,
FS(35),2687391.3200000003,2607157.0499999998,2706589.6800000002,2607527.5299999998,10608665.5800000001,
FS(36),2688460.6000000001,2608206.1399999997,2683900.6400000001,2611311.4899999998,10591878.8699999992,
FS(37),2688727.9200000004,2624991.5800000001,2700021.7999999998,2626132.0000000000,10639873.2999999989,
FS(38),2708509.6000000001,2629787.4199999999,2695842.2399999998,2629600.6299999999,10663739.8899999987,
FS(39),2714390.6400000006,2665756.2199999997,2697036.3999999999,2634330.5800000001,10711513.8399999999,
FS(40),2697014.8400000003,2666205.8300000001,2687483.1200000001,2629285.2999999998,10679989.0899999999,
FS(41),2730162.5200000000,2664857.0000000000,2679124.0000000000,2627077.9899999998,10701221.5099999998,
FS(42),2733370.3600000003,2662459.0800000001,2679721.0800000001,2618248.7500000000,10693799.2699999996,
FS(43),2740053.3600000003,2684340.1000000001,2712560.4800000000,2620771.3899999997,10757725.3300000001,
FS(44),2761438.9600000004,2694231.5200000000,2692259.7600000002,2616672.1000000001,10764602.3399999999,
FS(45),2644887.4400000004,2691683.7299999995,2684497.7200000002,2614149.4600000000,10635218.3499999996,
FS(46),2622967.2000000007,2698877.4899999998,2702410.1200000001,2639375.8599999999,10663630.6699999999,
FS(47),2645689.4000000004,2693931.7799999998,2741220.3199999998,2641583.1699999995,10722424.6699999999,
FS(48),2629382.8800000004,2699327.1000000001,2774656.7999999998,2627393.3199999994,10730760.0999999996,
FS(49),2619492.0400000000,2658712.3300000001,2791972.1200000001,2616987.4299999997,10687163.9199999981,
FS(50),2699955.3600000003,2695730.2199999997,2796748.7600000002,2637483.8799999999,10829918.2199999988,
FS(51),2711450.1200000006,2712665.5299999998,2806302.0400000000,2632753.9299999997,10863171.6199999992,
FS(52),2717598.4800000004,2745187.3199999998,2788389.6400000001,2625501.3399999999,10876676.7800000012,
FS(53),2716796.5200000000,2757326.7899999996,2760923.9600000000,2644736.4699999997,10879783.7400000002,
FS(54),2696212.8800000004,2758226.0099999998,2791972.1200000001,2651358.3999999999,10897769.4100000001,
FS(55),2715459.9200000004,2769915.8699999996,2777642.2000000002,2653881.0399999996,10916899.0299999993,
