代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10959755.2099999990
真實報酬,959755.2099999990
趨勢值,0.2206711765

選擇檔數,4
找到最佳解世代,2285
找到最佳解實驗,1
Stock#,DIS,GS,JPM,NKE,
分配資金,2500000,2500000,2500000,2500000,
張數,23710,13005,41701,50220,
剩餘資金,17.6000000001,48.8500000001,25.0499999999,48.3999999999,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2513277.6000000001,2491156.6000000001,2523769.5699999998,2502511.0000000000,10030714.7700000014,
FS(3),2504504.8999999999,2497659.1000000001,2521684.5199999996,2504519.7999999998,10028368.3200000003,
FS(4),2499762.9000000004,2502080.7999999998,2537530.8999999999,2501506.6000000001,10040881.1999999993,
FS(5),2521813.2000000002,2504291.6499999999,2545871.0999999996,2532140.7999999998,10104116.7500000000,
FS(6),2531534.2999999998,2534593.2999999998,2563385.5199999996,2529127.6000000001,10158640.7199999988,
FS(7),2535802.1000000001,2544347.0499999998,2572976.7500000000,2510546.2000000002,10163672.1000000015,
FS(8),2525369.7000000002,2543566.7500000005,2588406.1199999996,2492969.1999999997,10150311.7700000014,
FS(9),2528926.2000000002,2571397.4500000002,2628856.0899999999,2499497.8000000003,10228677.5400000010,
FS(10),2536513.4000000004,2615354.3500000001,2677646.2599999998,2507030.7999999998,10336544.8100000005,
FS(11),2563068.6000000001,2603779.9000000004,2660965.8599999999,2508537.3999999999,10336351.7600000016,
FS(12),2529637.5000000000,2566585.6000000001,2620515.8900000001,2474890.0000000000,10191628.9900000002,
FS(13),2565913.8000000003,2576339.3500000001,2637196.2900000000,2511048.3999999999,10290497.8400000017,
FS(14),2553110.4000000004,2559953.0500000003,2598414.3599999999,2518581.3999999999,10230059.2100000009,
FS(15),2559275.0000000000,2579200.4500000002,2624685.9899999998,2515066.0000000000,10278227.4399999995,
FS(16),2584407.6000000001,2592075.3999999999,2618847.8499999996,2539171.6000000001,10334502.4499999993,
FS(17),2596973.8999999999,2574908.8000000003,2610507.6499999999,2535153.9999999995,10317544.3499999996,
FS(18),2611911.2000000002,2555791.4500000002,2599665.3900000001,2534651.7999999998,10302019.8399999999,
FS(19),2606220.8000000003,2568406.3000000003,2617179.8099999996,2507533.0000000000,10299339.9100000001,
FS(20),2603612.7000000002,2582321.6499999999,2652208.6499999999,2515568.2000000002,10353711.2000000011,
FS(21),2577768.8000000003,2554490.9499999997,2638030.3099999996,2481920.7999999998,10252210.8599999994,
FS(22),2620446.7999999998,2568926.5000000000,2652625.6599999997,2530634.1999999997,10372633.1600000001,
FS(23),2632538.8999999999,2591945.3500000001,2698913.7699999996,2532140.7999999998,10455538.8200000003,
