代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12482690.4399999995
真實報酬,2482690.4399999995
趨勢值,0.2335032098

選擇檔數,3
找到最佳解世代,2074
找到最佳解實驗,1
Stock#,BA,GS,MSFT,
分配資金,3333333,3333333,3333333,
張數,25180,20694,58051,
剩餘資金,4.6000000001,150.4200000001,44.5799999999,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3330059.6000000001,3358165.8000000003,3322883.8200000003,10011110.2199999988,
FS(3),3390743.3999999999,3443632.0200000000,3346104.2200000002,10180480.6400000006,
FS(4),3384700.1999999997,3459152.5200000000,3351909.3200000003,10195763.0399999991,
FS(5),3370347.6000000001,3514612.4400000004,3355392.3799999999,10240353.4199999999,
FS(6),3420455.8000000003,3539652.1799999997,3369324.6200000001,10329433.5999999996,
FS(7),3367577.8000000003,3498264.1799999997,3319981.2700000000,10185824.2500000000,
FS(8),3352973.3999999999,3503644.6200000001,3315337.1899999999,10171956.2099999990,
FS(9),3358513.0000000000,3464739.8999999994,3304307.5000000000,10127561.4000000004,
FS(10),3361534.6000000001,3528891.3000000003,3333333.0000000000,10223759.9000000004,
FS(11),3374124.6000000001,3497436.4199999999,3321722.7999999998,10193284.8200000003,
FS(12),3401822.6000000001,3572555.6399999997,3347265.2399999998,10321644.4799999986,
FS(13),3429017.0000000005,3611460.3599999999,3339718.6100000003,10380196.9699999988,
FS(14),3420455.8000000003,3611460.3599999999,3323464.3300000001,10355381.4900000002,
FS(15),3415168.0000000000,3614771.3999999994,3463367.2399999998,10493307.6399999987,
FS(16),3460995.5999999996,3624083.7000000002,3541155.5800000001,10626235.8799999990,
FS(17),3500528.2000000002,3632982.1200000001,3540575.0700000003,10674086.3900000006,
FS(18),3664701.7999999998,3664437.0000000000,3519676.7100000004,10848816.5099999998,
FS(19),3608550.4000000004,3678508.9199999999,3488909.6800000002,10775970.0000000000,
FS(20),3600996.3999999999,3665885.5799999996,3475557.9499999997,10742440.9299999997,
FS(21),3586392.0000000005,3688648.9800000000,3478460.5000000000,10753502.4800000004,
FS(22),3585888.3999999999,3684924.0600000001,3471494.3799999999,10742307.8399999999,
FS(23),3544089.6000000001,3654296.9400000004,3450015.5100000002,10648403.0500000007,
FS(24),3525708.2000000002,3646640.1600000001,3437244.2900000000,10609593.6500000004,
FS(25),3513621.7999999998,3640638.8999999994,3408218.7900000000,10562480.4900000002,
FS(26),3601500.0000000000,3755697.5399999996,3507486.0000000000,10864684.5399999991,
FS(27),3580600.5999999996,3764802.8999999994,3510388.5499999998,10855793.0499999989,
FS(28),3653370.8000000003,3986435.6399999997,3492973.2500000000,11132780.6899999995,
FS(29),3718838.7999999998,4156954.2000000002,3407638.2800000003,11283432.2799999993,
FS(30),3739738.2000000002,4220484.7800000003,3426214.6000000001,11386438.5800000001,
FS(31),3776752.8000000003,4328921.3399999999,3373968.6999999997,11479643.8399999999,
FS(32),3729414.4000000004,4370516.2800000003,3417506.9499999997,11517438.6299999990,
FS(33),3687363.7999999998,4268494.8599999994,3462786.7300000000,11418646.3899999987,
FS(34),3659414.0000000005,4338233.6399999997,3520257.2200000002,11517905.8599999994,
FS(35),3685097.6000000001,4353133.3199999994,3503422.4300000002,11541654.3499999996,
FS(36),3701968.2000000002,4368239.9400000004,3533028.4399999999,11603237.5800000001,
FS(37),3764918.2000000002,4368860.7599999998,3548121.6999999997,11681901.6600000001,
FS(38),3770457.8000000003,4393693.5599999996,3506324.9800000000,11670477.3399999999,
FS(39),3778011.7999999998,4374448.1399999997,3513871.6100000003,11666332.5499999989,
FS(40),3771213.2000000002,4353133.3199999994,3518515.6899999999,11642863.2099999990,
FS(41),3818299.7999999998,4382104.9199999999,3546380.1700000004,11746785.8899999987,
FS(42),3791105.4000000004,4538137.6799999997,3498197.8399999999,11827441.9199999999,
FS(43),3837184.7999999998,4690031.6399999997,3436663.7800000003,11963881.2199999988,
FS(44),3833659.6000000001,4622362.2599999998,3439566.3300000001,11895589.1899999995,
FS(45),3831393.3999999999,4729764.1200000001,3495875.7999999998,12057034.3200000003,
FS(46),3833407.8000000003,4788328.1399999997,3480202.0300000003,12101938.9699999988,
FS(47),3881249.7999999998,4874829.0599999996,3562634.4499999997,12318714.3099999987,
FS(48),3912724.7999999998,4996716.7199999997,3541736.0899999999,12451178.6099999994,
FS(49),3940422.8000000003,5004994.3199999994,3597465.0499999998,12542883.1699999999,
FS(50),3957293.3999999999,4908146.3999999994,3609075.2500000000,12474516.0499999989,
FS(51),3944703.3999999999,4936704.1200000001,3656096.5600000001,12537505.0800000001,
