代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10917010.7899999991
真實報酬,917010.7899999991
趨勢值,0.2924414122

選擇檔數,6
找到最佳解世代,1639
找到最佳解實驗,1
Stock#,AAPL,DIS,HD,KO,MCD,MSFT,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,14349,15711,12409,39872,13933,26632,
剩餘資金,29.6499999999,43.1200000000,13.2100000000,16.4000000001,0.5399999999,35.4400000000,
FS(1),1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,1666666.0000000000,9999999.9999999981,
FS(2),1664800.6299999999,1688032.9600000000,1681432.7100000000,1660685.2000000002,1664715.3800000001,1659209.0399999998,10018879.9199999999,
FS(3),1673266.5399999998,1687090.3000000000,1661578.3100000001,1664672.4000000001,1667780.6400000001,1659209.0399999998,10013601.2299999986,
FS(4),1691920.2399999998,1712227.9000000001,1656986.9800000000,1664273.6800000002,1682549.6200000001,1673590.3200000001,10081552.7400000002,
FS(5),1707417.1599999999,1702487.0800000001,1666666.0000000000,1647527.4400000002,1677951.7300000002,1668263.9199999999,10070317.3300000001,
FS(6),1709139.0399999998,1702801.3000000000,1688878.1099999999,1636363.2800000000,1675443.7900000000,1667731.2799999998,10080360.7999999989,
FS(7),1718322.3999999999,1719454.9600000000,1683914.5099999998,1636762.0000000000,1684221.5800000001,1682911.5199999998,10125590.9699999988,
FS(8),1711147.8999999999,1689446.9500000002,1676096.8399999999,1632774.8000000003,1701219.8399999999,1667464.9600000000,10078155.2899999991,
FS(9),1708134.6100000001,1697773.7800000003,1675724.5699999998,1629983.7600000002,1692860.0400000000,1669861.8400000001,10074342.5999999996,
FS(10),1721909.6499999999,1696359.7900000000,1686768.5800000001,1643540.2400000000,1710276.2900000000,1665334.3999999999,10124192.9499999993,
FS(11),1721766.1599999999,1699344.8800000001,1689622.6499999999,1646331.2800000000,1709718.9700000000,1664535.4399999999,10131323.3799999990,
FS(12),1718752.8699999999,1685519.2000000002,1680067.7199999997,1640350.4800000002,1702334.4800000002,1659209.0399999998,10086237.7899999991,
FS(13),1721909.6499999999,1691489.3800000001,1682673.6099999999,1647527.4400000002,1703449.1200000001,1670927.1200000001,10117980.3199999984,
FS(14),1723057.5699999998,1683005.4400000002,1713323.8399999999,1651913.3600000001,1691188.0800000001,1676786.1599999999,10139278.4499999993,
FS(15),1721479.1799999999,1695260.0200000003,1713199.7500000000,1670653.2000000002,1686590.1899999999,1691700.0800000001,10178886.4199999999,
FS(16),1748885.7699999998,1697459.5600000003,1706002.5299999998,1679425.0400000000,1696900.6100000001,1695961.2000000000,10224638.7099999990,
FS(17),1749746.7100000000,1697773.7800000003,1718163.3500000001,1667064.7200000002,1698154.5800000001,1711674.0799999998,10242581.2200000007,
FS(18),1749890.2000000000,1717255.4200000002,1716550.1800000002,1652710.8000000003,1711808.9199999999,1751888.3999999999,10300107.9200000018,
FS(19),1745298.5199999998,1743021.4600000000,1718287.4399999999,1649919.7600000002,1714038.2000000000,1734577.5999999999,10305146.9800000004,
FS(20),1741280.7999999998,1738465.2700000003,1707243.4300000002,1657495.4400000002,1707768.3499999999,1721794.2400000000,10274051.5299999993,
FS(21),1847463.3999999999,1748677.4200000002,1705506.1699999999,1645135.1200000001,1705678.4000000001,1693298.0000000000,10345762.5099999998,
FS(22),1844306.6199999999,1737836.8300000001,1699425.7599999998,1650717.2000000002,1716824.8000000000,1682378.8799999999,10331494.0899999999,
FS(23),1852198.5700000001,1732966.4200000002,1712207.0299999998,1656299.2800000000,1731036.4600000000,1695961.2000000000,10380672.9599999990,
FS(24),1869560.8599999999,1721497.3899999999,1693717.6200000001,1657096.7200000002,1733962.3900000001,1694895.9199999999,10370734.9000000004,
FS(25),1887353.6199999999,1712542.1200000001,1695703.0600000001,1670653.2000000002,1735913.0100000000,1689303.2000000000,10391472.2099999990,
FS(26),1894671.6099999999,1712542.1200000001,1710966.1299999999,1675437.8400000003,1737027.6500000001,1686906.3200000001,10417555.6699999999,
FS(27),1900124.2299999997,1720240.5100000000,1721265.6000000001,1644736.4000000001,1734380.3800000001,1706081.3600000001,10426832.4799999986,
FS(28),1895819.5300000000,1716626.9800000002,1735411.8599999999,1618022.1600000001,1753050.5999999999,1704483.4399999999,10423418.5700000003,
FS(29),1912607.8599999999,1722754.2700000003,1735660.0400000000,1619617.0400000000,1749149.3600000001,1723658.4800000000,10463451.0499999970,
FS(30),1937431.6300000001,1733437.7500000000,1754149.4500000002,1616028.5600000003,1752911.2700000000,1719663.6799999997,10513626.3399999999,
FS(31),1944462.6399999997,1731081.1000000003,1764448.9199999999,1612440.0800000001,1762246.3800000001,1718598.3999999999,10533281.5199999996,
FS(32),1942166.7999999998,1739407.9299999999,1756383.0699999998,1642742.8000000003,1765311.6400000001,1718332.0799999998,10564348.3200000003,
FS(33),1947475.9299999999,1729195.7800000003,1774500.2100000000,1643938.9600000000,1780637.9399999999,1720995.2800000000,10596748.0999999978,
FS(34),1961537.9499999997,1728410.2300000002,1799566.3900000001,1653109.5200000003,1783981.8599999999,1717533.1199999999,10644143.0699999984,
FS(35),1967421.0400000000,1730138.4400000002,1802420.4600000000,1658691.6000000001,1781334.5899999999,1714070.9600000000,10654081.0899999999,
FS(36),1959098.6199999999,1724011.1500000001,1795719.6000000001,1661083.9199999999,1787186.4500000002,1720995.2800000000,10648099.0199999977,
FS(37),1960963.9899999998,1733280.6399999999,1811106.7599999998,1665868.5600000003,1792480.9900000002,1720995.2800000000,10684700.2199999988,
FS(38),1964838.2200000000,1731866.6500000001,1803040.9100000001,1661482.6400000001,1769352.2100000000,1710608.8000000000,10641193.4299999997,
FS(39),1965699.1600000001,1729667.1100000001,1798201.3999999999,1673045.5200000003,1778547.9900000002,1703950.7999999998,10649115.9799999986,
FS(40),2005876.3599999999,1744592.5600000003,1820165.3300000001,1681019.9199999999,1798054.1900000002,1729517.5199999998,10779229.8799999990,
FS(41),1993966.6899999999,1737522.6100000001,1835924.7599999998,1693380.2400000000,1786629.1299999999,1704749.7600000000,10752177.1899999995,
FS(42),2005732.8699999999,1747734.7600000000,1834187.5000000000,1693778.9600000000,1782031.2400000002,1711141.4399999999,10774610.7699999977,
FS(43),1999419.3100000001,1738779.4900000002,1825749.3799999999,1681817.3600000001,1783842.5300000000,1711674.0799999998,10741286.1500000004,
FS(44),2002002.1300000001,1741764.5800000001,1811975.3900000001,1674241.6800000002,1784399.8499999999,1715136.2400000000,10729523.8700000010,
FS(45),1994540.6499999999,1741450.3600000001,1823143.4899999998,1674241.6800000002,1784678.5100000000,1730849.1199999999,10748907.8100000005,
FS(46),1989948.9700000000,1744435.4500000002,1819420.7900000000,1675836.5600000003,1785375.1599999999,1723924.8000000000,10738945.7299999986,
FS(47),1996549.5099999998,1742707.2400000002,1822274.8599999999,1686203.2800000000,1783145.8800000001,1729251.2000000002,10760135.9699999988,
FS(48),1997410.4499999997,1752133.8400000001,1829472.0800000001,1675836.5600000003,1777990.6699999999,1723392.1599999997,10756239.7599999998,
FS(49),1994397.1600000001,1764545.5300000003,1826121.6499999999,1673444.2400000000,1780637.9399999999,1715402.5599999998,10754553.0799999982,
FS(50),2015490.1899999999,1757632.6900000002,1835924.7599999998,1679425.0400000000,1781752.5800000001,1724457.4399999999,10794686.6999999993,
