代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10749613.9600000009
真實報酬,749613.9600000009
趨勢值,0.2496327495

選擇檔數,7
找到最佳解世代,2537
找到最佳解實驗,2
Stock#,AXP,CAT,HD,MCD,PG,UNH,V,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,16786,13354,9275,9367,16281,7653,15303,
剩餘資金,82.4000000001,93.6200000000,128.2500000001,103.5000000000,76.0600000001,138.5500000000,35.9500000001,
FS(1),1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,1428571.0000000000,10000000.0000000000,
FS(2),1425045.9400000002,1435515.0800000001,1416328.0000000000,1433910.1899999999,1427431.3300000001,1440815.8000000000,1438670.9800000002,10017720.3200000003,
FS(3),1405742.0400000000,1422428.1600000001,1410392.0000000000,1434097.5300000000,1422547.0300000000,1430790.3700000001,1427040.7000000002,9953040.8300000001,
FS(4),1415645.7800000000,1427903.3000000000,1412061.5000000000,1463884.5900000001,1427105.7100000002,1438596.4300000002,1437293.7100000002,10022494.0199999996,
FS(5),1415142.2000000002,1440188.9800000002,1402322.7500000000,1456859.3400000001,1417988.3500000001,1430866.8999999999,1455198.2200000002,10018569.7400000002,
FS(6),1412792.1600000001,1445530.5800000001,1396943.2500000000,1451145.4700000000,1412778.4299999999,1423213.8999999999,1460095.1800000002,10002501.9700000007,
FS(7),1423870.9199999999,1455145.4600000000,1415400.5000000000,1466788.3600000001,1415871.8200000001,1428877.1200000001,1471878.4900000002,10077835.6700000018,
FS(8),1433103.2200000002,1448602.0000000000,1421893.0000000000,1452363.1799999999,1411638.7600000000,1419616.9900000000,1468205.7700000003,10055425.9199999999,
FS(9),1431592.4800000002,1452608.2000000000,1418090.2500000000,1454611.2600000000,1418151.1599999999,1430484.2500000000,1483355.7400000002,10088896.3399999999,
FS(10),1430585.3200000001,1453542.9800000002,1427457.9999999998,1454423.9199999999,1425477.6100000001,1426275.1000000001,1481825.4400000002,10099591.3699999992,
FS(11),1435621.1200000001,1429906.3999999999,1411505.0000000000,1442246.8200000001,1443223.9000000001,1430101.6000000001,1493302.6900000002,10085910.5300000012,
FS(12),1442503.3800000004,1440322.5200000000,1421985.7500000000,1441591.1299999999,1438502.4099999999,1448009.6200000001,1503555.7000000002,10136473.5099999998,
FS(13),1432767.5000000000,1433244.8999999999,1363831.5000000000,1444588.5700000001,1442572.6599999999,1465688.0500000000,1501413.2800000003,10084109.4600000009,
FS(14),1436796.1400000001,1423496.4800000002,1360307.0000000000,1441872.1399999999,1442735.4700000000,1467830.8900000001,1524214.7500000000,10097255.8700000010,
FS(15),1426892.4000000001,1444729.3400000003,1341107.7500000000,1422482.4500000000,1435734.6400000001,1461019.7200000000,1535998.0600000003,10067967.3599999994,
FS(16),1433774.6600000001,1529660.7800000003,1363275.0000000000,1490112.1899999999,1451364.4000000001,1457269.7500000000,1530182.9200000002,10255642.6999999993,
FS(17),1431928.2000000002,1516039.7000000000,1360678.0000000000,1466132.6699999999,1453969.3600000001,1459948.3000000000,1543343.5000000000,10232042.7300000004,
FS(18),1407588.5000000000,1527390.6000000001,1370324.0000000000,1470254.1499999999,1476437.1400000001,1446019.8400000001,1523755.6600000001,10221772.8899999987,
FS(19),1423535.2000000002,1523785.0200000000,1373570.2500000000,1459950.4500000000,1468785.0700000001,1463009.5000000000,1517328.4000000004,10229966.8899999987,
FS(20),1430753.1800000002,1521781.9200000002,1387668.2500000000,1453299.8799999999,1478716.4800000000,1468060.4800000000,1523602.6300000001,10263885.8200000003,
FS(21),1430921.0400000000,1510431.0200000000,1389987.0000000000,1442996.1799999999,1483275.1599999999,1471274.7400000000,1543649.5600000003,10272537.6999999993,
FS(22),1431928.2000000002,1510297.4800000002,1396015.7500000000,1466882.0300000000,1482298.3000000000,1477167.5500000000,1549923.7900000003,10314516.0999999996,
FS(23),1435956.8400000003,1516573.8600000001,1398705.5000000000,1449365.7400000000,1479367.7200000000,1490713.3600000001,1539364.7200000002,10310050.7400000002,
FS(24),1443174.8200000001,1527123.5200000000,1416884.5000000000,1440935.4399999999,1476274.3300000001,1491555.1899999999,1543955.6200000001,10339906.4199999999,
FS(25),1441160.5000000000,1531930.9600000000,1422449.5000000000,1451707.4900000000,1488810.7000000000,1490789.8900000001,1553137.4200000002,10379989.4600000009,
FS(26),1442671.2400000000,1527924.7600000000,1422449.5000000000,1451239.1399999999,1491090.0400000000,1491708.2500000000,1549923.7900000003,10377009.7199999988,
FS(27),1438474.7400000000,1526989.9800000002,1440164.7500000000,1451239.1399999999,1496625.5800000001,1491172.5400000000,1545179.8600000001,10389849.5899999999,
FS(28),1419506.5600000003,1511098.7200000002,1427365.2500000000,1467163.0400000000,1493695.0000000000,1473876.7600000000,1522531.4200000002,10315239.7500000000,
FS(29),1414974.3400000003,1507092.5200000000,1436640.2500000000,1473532.6000000001,1487182.6000000001,1477320.6100000001,1531713.2200000002,10328459.1400000006,
FS(30),1434781.8200000001,1518576.9600000000,1430889.7500000000,1473157.9199999999,1492229.7100000002,1482601.1800000002,1558952.5600000003,10391192.9000000004,
FS(31),1456939.3400000003,1517775.7200000002,1392955.0000000000,1476530.0400000000,1501184.2600000000,1488647.0500000000,1570582.8400000001,10404617.2500000019,
FS(32),1467010.9400000002,1524052.1000000001,1412247.0000000000,1488519.8000000000,1505091.7000000000,1483060.3600000001,1581141.9100000001,10461126.8099999987,
FS(33),1445189.1400000001,1510965.1800000002,1388317.5000000000,1479059.1299999999,1499067.7300000000,1474871.6499999999,1563390.4300000002,10360863.7599999998,
FS(34),1433271.0800000001,1521381.3000000000,1368098.0000000000,1477841.4199999999,1505580.1300000001,1460484.0100000000,1568746.4800000002,10335405.4199999999,
FS(35),1431928.2000000002,1517108.0200000000,1383958.2500000000,1483461.6200000001,1511929.7200000000,1469744.1400000001,1579611.6100000001,10377744.5600000005,
FS(36),1431928.2000000002,1546753.8999999999,1390543.5000000000,1495451.3799999999,1510790.0500000000,1490866.4199999999,1592619.1600000001,10458955.6099999994,
FS(37),1431592.4800000002,1532465.1200000001,1383030.7500000000,1487676.7700000000,1505091.7000000000,1486657.2700000000,1578999.4900000002,10405516.5800000019,
FS(38),1432935.3600000001,1532865.7400000002,1375147.0000000000,1483929.9700000000,1502323.9299999999,1490560.3000000000,1579611.6100000001,10397376.9100000001,
FS(39),1434781.8200000001,1540477.5200000000,1388132.0000000000,1487770.4399999999,1506231.3700000001,1487575.6300000001,1581601.0000000000,10426572.7800000012,
FS(40),1433774.6600000001,1536738.3999999999,1404270.4999999998,1495732.3899999999,1505580.1300000001,1493162.3200000001,1588181.2900000003,10457442.6899999995,
FS(41),1433942.5200000003,1549291.1600000001,1389894.2500000000,1493015.9600000000,1503137.9800000000,1505713.2400000000,1588028.2600000000,10463026.3700000010,
FS(42),1438474.7400000000,1569856.3200000001,1391378.2500000000,1494421.0100000000,1495811.5300000000,1499208.1899999999,1587416.1400000004,10476569.1799999997,
FS(43),1445357.0000000000,1569055.0800000001,1390172.5000000000,1498542.4900000000,1502323.9299999999,1522320.2500000000,1584202.5100000000,10511976.7599999998,
FS(44),1446028.4400000002,1579604.7400000002,1398612.7500000000,1497043.7700000000,1506556.9900000000,1528825.3000000000,1590017.6500000004,10546692.6399999987,
FS(45),1432096.0600000003,1579871.8200000001,1418554.0000000000,1490393.2000000000,1509650.3800000001,1525457.9800000000,1576397.9800000002,10532424.4199999999,
FS(46),1430753.1800000002,1562244.5400000003,1452222.2500000000,1482150.2400000000,1509650.3800000001,1518340.6899999999,1578999.4900000002,10534363.7700000014,
FS(47),1416988.6600000001,1572794.2000000000,1464929.0000000000,1497886.8000000000,1513720.6300000001,1516733.5600000001,1600117.6300000001,10583173.4800000004,
FS(48),1414302.9000000001,1573461.8999999999,1480974.7500000000,1496107.0700000001,1511604.1000000001,1513519.3000000000,1598128.2400000002,10588101.2600000016,
FS(49),1438474.7400000000,1587483.6000000001,1469010.0000000000,1513155.0100000000,1530327.2500000000,1527524.2900000000,1624449.4000000004,10690427.2899999991,
FS(50),1452910.7000000002,1615126.3800000001,1483293.5000000000,1464446.6100000001,1522512.3700000001,1511376.4600000000,1625367.5800000001,10675036.6000000015,
FS(51),1454421.4400000002,1597632.6400000001,1484313.7500000000,1470722.5000000000,1523163.6100000001,1517958.0400000000,1619552.4400000002,10667767.4199999999,
FS(52),1446867.7400000000,1608983.5400000003,1478377.7500000000,1470722.5000000000,1523163.6100000001,1513366.2400000000,1623378.1900000002,10664862.5700000003,
FS(53),1460296.5400000000,1620868.6000000001,1469288.2500000000,1469973.1399999999,1518604.9299999999,1516810.0900000001,1611441.8500000001,10667286.4000000004,
FS(54),1475068.2200000002,1653719.4400000002,1463816.0000000000,1467725.0600000001,1516651.2100000002,1516886.6200000001,1604249.4400000002,10698118.9900000021,
FS(55),1494036.4000000001,1665871.5800000001,1462424.7500000000,1474750.3100000001,1533257.8300000001,1489795.0000000000,1613125.1800000002,10733264.0500000007,
FS(56),1484468.3800000004,1667340.5200000000,1471885.2500000000,1497699.4600000000,1537002.4600000002,1498213.3000000000,1613125.1800000002,10769737.5500000026,
FS(57),1484300.5200000003,1666539.2800000003,1476615.5000000000,1489737.5100000000,1508347.9000000001,1494080.6800000002,1611594.8800000001,10731219.2699999996,
FS(58),1483964.8000000003,1661731.8400000003,1483850.0000000000,1488613.4700000000,1501835.5000000000,1477397.1400000001,1615420.6300000001,10712816.3799999990,
FS(59),1480775.4600000000,1660262.8999999999,1494330.7500000000,1463790.9199999999,1509650.3800000001,1467601.3000000000,1576551.0100000000,10652965.7200000007,
FS(60),1488832.7400000000,1662800.1600000001,1495814.7500000000,1436532.9500000000,1508510.7100000002,1474871.6499999999,1575326.7700000003,10642692.7300000004,
FS(61),1502261.5400000000,1662933.7000000000,1492661.2500000000,1443089.8500000001,1479530.5300000000,1488570.5200000000,1589864.6200000001,10658915.0099999998,
FS(62),1513172.4400000002,1672415.0400000003,1506017.2500000002,1475312.3300000001,1479856.1500000001,1500891.8500000001,1600423.6900000002,10748091.7500000000,
FS(63),1518543.9600000000,1665470.9600000000,1517147.2500000000,1467725.0600000001,1481321.4400000002,1498978.6000000001,1600423.6900000002,10749613.9600000009,
