代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11391534.2500000000
真實報酬,1391534.2500000000
趨勢值,0.1710514193

選擇檔數,4
找到最佳解世代,1913
找到最佳解實驗,1
Stock#,HD,NKE,V,VZ,
分配資金,2500000,2500000,2500000,2500000,
張數,14459,38989,21116,53011,
剩餘資金,38.8999999999,25.3199999998,76.7600000000,1.2400000002,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000019,
FS(2),2512434.7399999998,2600591.6200000001,2517103.9600000000,2518023.7400000002,10148154.0600000005,
FS(3),2565643.8599999999,2667652.6999999997,2529984.7199999997,2540818.4700000002,10304099.7500000000,
FS(4),2590079.5699999998,2713269.8300000001,2559124.7999999998,2557251.8800000004,10419726.0800000001,
FS(5),2522411.4499999997,2633732.2699999996,2485429.9600000000,2516963.5200000000,10158537.2000000011,
FS(6),2494360.9899999998,2619306.3400000003,2508446.3999999999,2487277.3600000003,10109391.0900000017,
FS(7),2508530.8100000001,2612288.3199999998,2549200.2799999998,2558842.2100000004,10228861.6200000010,
FS(8),2499421.6400000001,2605660.1899999999,2529351.2399999998,2522264.6200000001,10156697.6900000013,
FS(9),2506651.1400000001,2642309.8499999996,2556590.8799999994,2530746.3800000004,10236298.2500000019,
FS(10),2498554.1000000001,2622035.5699999998,2549833.7599999998,2526505.5000000000,10196928.9300000016,
FS(11),2522122.2700000000,2614627.6600000001,2573694.8399999999,2565203.5300000003,10275648.3000000007,
FS(12),2529062.5899999999,2632172.7100000000,2614237.5599999996,2589588.5900000003,10365061.4500000011,
FS(13),2600490.0499999998,2581097.1200000001,2614237.5599999996,2577396.0600000001,10373220.7900000010,
FS(14),2560438.6200000001,2562772.2900000000,2617616.1199999996,2567323.9700000002,10308151.0000000000,
FS(15),2559426.4899999998,2576808.3300000001,2622683.9600000000,2539228.1400000001,10298146.9199999999,
FS(16),2568824.8399999999,2607609.6399999997,2628174.1199999996,2579516.5000000000,10384125.0999999996,
FS(17),2548582.2399999998,2611118.6499999999,2560814.0799999996,2633057.6100000003,10353572.5800000001,
FS(18),2564920.9099999997,2599421.9499999997,2559547.1199999996,2655852.3400000003,10379742.3200000003,
FS(19),2685364.3799999999,2653226.7699999996,2683498.0399999996,2637828.6000000001,10659917.7900000010,
FS(20),2696064.0400000000,2712100.1600000001,2660903.9199999999,2733778.5100000002,10802846.6300000008,
FS(21),2672062.1000000001,2666483.0299999998,2679274.8399999999,2616094.0900000003,10633914.0600000005,
FS(22),2669604.0699999998,2655176.2199999997,2692577.9199999999,2587998.2600000002,10605356.4700000007,
FS(23),2688111.5899999999,2661414.4600000000,2668716.8399999999,2531276.4900000002,10549519.3800000008,
FS(24),2648783.1099999999,2608389.4199999999,2685609.6400000001,2536047.4800000004,10478829.6500000004,
FS(25),2675387.6699999999,2655176.2199999997,2706303.3199999998,2554601.3300000001,10591468.5400000010,
FS(26),2654132.9399999999,2703522.5800000001,2729530.9199999995,2530216.2700000000,10617402.7100000009,
FS(27),2675532.2599999998,2669212.2599999998,2743045.1599999997,2492578.4600000004,10580368.1400000006,
FS(28),2694618.1400000001,2649327.8700000001,2762894.1999999997,2458651.4200000004,10565491.6300000008,
FS(29),2706185.3399999999,2648158.1999999997,2762894.1999999997,2502120.4400000004,10619358.1800000016,
FS(30),2751731.1899999999,2668042.5900000003,2783587.8799999994,2577396.0600000001,10780757.7200000007,
FS(31),2762864.6200000001,2684028.0800000001,2770707.1200000001,2570504.6300000004,10788104.4500000011,
FS(32),2718041.7199999997,2709760.8199999998,2768384.3599999999,2533396.9300000002,10729583.8300000001,
FS(33),2694907.3199999998,2781500.5800000001,2763949.9999999995,2537107.7000000002,10777465.5999999996,
FS(34),2679725.3700000001,2765904.9799999995,2743678.6400000001,2536577.5900000003,10725886.5800000001,
FS(35),2709944.6799999997,2780720.7999999993,2743678.6400000001,2530746.3800000004,10765090.5000000000,
FS(36),2744212.5099999998,2783060.1399999997,2759093.3199999998,2567323.9700000002,10853689.9399999995,
FS(37),2701992.2300000000,2780330.9100000001,2760149.1200000001,2587468.1500000004,10829940.4100000001,
FS(38),2699100.4299999997,2781500.5800000001,2784854.8399999999,2575805.7300000004,10841261.5800000001,
FS(39),2706040.7500000000,2814251.3400000003,2785065.9999999995,2578456.2800000003,10883814.3699999992,
FS(40),2701703.0499999998,2816980.5699999998,2772185.2399999998,2572094.9600000004,10862963.8200000022,
FS(41),2674953.8999999999,2765125.1999999997,2738610.7999999998,2555131.4400000004,10733821.3399999999,
FS(42),2705173.2100000000,2816200.7900000000,2758670.9999999995,2576335.8400000003,10856380.8399999999,
FS(43),2697365.3500000001,2799435.5199999996,2760360.2799999998,2527035.6100000003,10784196.7599999998,
FS(44),2708932.5499999998,2836864.9600000000,2763105.3599999999,2534457.1500000004,10843360.0199999996,
FS(45),2766913.1400000001,2878583.1899999999,2809982.8799999994,2534987.2600000002,10990466.4700000007,
FS(46),2775299.3599999999,2887160.7699999996,2820329.7199999997,2542938.9100000001,11025728.7600000016,
FS(47),2799156.7100000000,2914453.0699999998,2877765.2399999998,2566263.7500000000,11157638.7700000014,
FS(48),2836460.9299999997,2914842.9600000000,2826242.1999999997,2598070.3500000001,11175616.4399999995,
FS(49),2867692.3700000001,2920301.4199999999,2845246.6000000001,2607082.2200000002,11240322.6100000013,
FS(50),2886633.6599999997,2908214.8300000001,2827720.3199999998,2613443.5400000000,11236012.3500000015,
FS(51),2910780.1899999999,2896518.1299999999,2847780.5200000000,2587468.1500000004,11242546.9900000021,
FS(52),2896321.1899999999,2889500.1099999999,2838067.1599999997,2512722.6400000001,11136611.1000000015,
FS(53),2887067.4299999997,2912503.6200000001,2850736.7599999998,2534987.2600000002,11185295.0700000003,
FS(54),2899646.7599999998,2956951.0800000001,2852848.3599999999,2547709.9000000004,11257156.1000000015,
FS(55),2901815.6099999999,2947983.6099999999,2876075.9599999995,2515903.3000000003,11241778.4800000004,
FS(56),2880416.2900000000,2895348.4600000000,2853059.5200000000,2571034.7400000002,11199859.0100000016,
FS(57),2878536.6200000001,2913283.3999999999,2861294.7599999998,2549300.2300000004,11202415.0100000016,
FS(58),2896321.1899999999,2882871.9799999995,2840812.2399999998,2577926.1700000004,11197931.5800000001,
FS(59),2854390.0899999999,2862987.5900000003,2857705.0400000000,2637828.6000000001,11212911.3200000003,
FS(60),2839497.3199999998,2820879.4699999997,2764794.6400000001,2629346.8400000003,11054518.2699999996,
FS(61),2839208.1400000001,2829067.1600000001,2799002.5600000001,2613443.5400000000,11080721.4000000022,
FS(62),2819833.0800000001,2781890.4699999997,2766695.0800000001,2613973.6500000004,10982392.2800000012,
FS(63),2822580.2900000000,2795536.6200000001,2803014.6000000001,2696140.7000000002,11117272.2100000028,
FS(64),2820989.7999999998,3106668.8400000003,2796890.9599999995,2666984.6500000004,11391534.2500000000,
