代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12522455.7199999988
真實報酬,2522455.7199999988
趨勢值,0.1727221814

選擇檔數,2
找到最佳解世代,2294
找到最佳解實驗,1
Stock#,BA,UNH,
分配資金,5000000,5000000,
張數,103584,189250,
剩餘資金,0.3199999997,14.9999999997,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),4982390.7199999997,5092732.5000000000,10075123.2199999988,
FS(3),4979283.1999999993,5274412.5000000000,10253695.6999999993,
FS(4),5155376.0000000000,5338757.5000000000,10494133.5000000000,
FS(5),5146053.4399999995,5425812.5000000000,10571865.9399999995,
FS(6),5319038.7199999997,5512867.5000000000,10831906.2199999988,
FS(7),5212347.1999999993,5482587.5000000000,10694934.6999999974,
FS(8),5249637.4399999995,5558287.5000000000,10807924.9399999995,
FS(9),5208203.8399999999,5442845.0000000000,10651048.8399999999,
FS(10),5249637.4399999995,5503405.0000000000,10753042.4399999976,
FS(11),5436088.6399999987,5516652.5000000000,10952741.1399999969,
FS(12),5441267.8399999999,5482587.5000000000,10923855.3399999980,
FS(13),5388440.0000000000,5463662.5000000000,10852102.5000000000,
FS(14),5327325.4399999995,5418242.5000000000,10745567.9399999976,
FS(15),5355293.1200000001,5404995.0000000000,10760288.1199999992,
FS(16),5451626.2399999993,5503405.0000000000,10955031.2399999984,
FS(17),5383260.7999999989,5594245.0000000000,10977505.7999999970,
FS(18),5482701.4399999995,5590460.0000000000,11073161.4399999976,
FS(19),5432981.1200000001,5571535.0000000000,11004516.1199999992,
FS(20),5428837.7599999988,5425812.5000000000,10854650.2599999979,
FS(21),5564532.7999999989,5431490.0000000000,10996022.7999999970,
FS(22),5570747.8399999999,5353897.5000000000,10924645.3399999980,
FS(23),5569712.0000000000,5172217.5000000000,10741929.4999999981,
FS(24),5663973.4399999995,5196820.0000000000,10860793.4399999995,
FS(25),5782059.1999999993,5355790.0000000000,11137849.1999999993,
FS(26),5765485.7599999988,5386070.0000000000,11151555.7599999979,
FS(27),5745804.7999999989,5393640.0000000000,11139444.7999999989,
FS(28),5698156.1599999992,5736182.5000000000,11434338.6599999983,
FS(29),5759270.7199999997,5768355.0000000000,11527625.7199999988,
FS(30),5805883.5199999986,5857302.5000000000,11663186.0199999977,
FS(31),5766521.5999999996,5927325.0000000000,11693846.5999999996,
FS(32),5710586.2399999993,6093865.0000000009,11804451.2399999984,
FS(33),5642220.7999999989,6021950.0000000000,11664170.7999999989,
FS(34),5535529.2799999993,5968960.0000000000,11504489.2799999975,
FS(35),5624611.5199999986,6088187.5000000000,11712799.0199999977,
FS(36),5707478.7199999997,6116575.0000000000,11824053.7199999988,
FS(37),5692976.9599999990,5984100.0000000000,11677076.9599999990,
FS(38),5746840.6399999987,5995455.0000000000,11742295.6399999969,
FS(39),5711622.0799999991,5940572.5000000000,11652194.5799999982,
FS(40),5718872.9599999990,5838377.5000000000,11557250.4599999990,
FS(41),5692976.9599999990,5868657.5000000000,11561634.4599999990,
FS(42),5607002.2399999993,5768355.0000000000,11375357.2399999984,
FS(43),5819349.4399999995,5967067.5000000000,11786416.9399999995,
FS(44),6009944.0000000000,5957605.0000000000,11967549.0000000000,
FS(45),6192251.8399999999,6016272.5000000000,12208524.3399999980,
FS(46),6442925.1200000001,6247157.5000000000,12690082.6199999992,
FS(47),6380774.7199999997,6188490.0000000009,12569264.7199999988,
FS(48),6305158.3999999994,6230125.0000000000,12535283.3999999985,
FS(49),6259581.4399999995,6065477.4999999991,12325058.9399999976,
FS(50),6335197.7599999988,6158210.0000000000,12493407.7599999979,
FS(51),6376631.3599999994,6305825.0000000000,12682456.3599999994,
FS(52),6299979.1999999993,6387202.5000000000,12687181.6999999974,
FS(53),6282369.9199999990,6648367.5000000009,12930737.4199999981,
FS(54),6235757.1200000001,6538602.4999999991,12774359.6199999992,
FS(55),6132173.1200000001,6264190.0000000000,12396363.1199999992,
FS(56),5984048.0000000000,6275544.9999999991,12259592.9999999981,
FS(57),5985083.8399999999,6245265.0000000000,12230348.8399999980,
FS(58),5977832.9599999990,6139285.0000000000,12117117.9599999972,
FS(59),6414957.4399999995,6290685.0000000000,12705642.4399999995,
FS(60),6480215.3599999994,6326642.5000000000,12806857.8599999975,
FS(61),6277190.7199999997,6245265.0000000000,12522455.7199999988,
